# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
上矢状窦血栓形成	shang shi zhuang dou xue shuan xing cheng	2
上纵隔	shang zong ge	2
上肢肌	shang zhi ji	1
上肢长	shang zhi chang	4
上肢骨	shang zhi gu	3
上脘	shang wan	4
上脘穴	shang wan xue	1
上腔静脉	shang qiang jing mai	36
上腔静脉综合征	shang qiang jing mai zong he zheng	3
上臂假肢	shang bi jia zhi	3
上迎香	shang ying xiang	3
上颌前突	shang he qian tu	1
上颌动脉	shang he dong mai	11
上颌后缩	shang he hou suo	1
上颌神经	shang he shen jing	13
上颌窦	shang he dou	19
上颌窦囊肿	shang he dou nang zhong	3
上颌窦炎	shang he dou yan	3
上颌窦骨折	shang he dou gu zhe	2
上颌骨骨折	shang he gu gu zhe	3
上髎	shang liao	3
下丘脑性闭经	xia qiu nao xing bi jing	2
下丘脑综合征	xia qiu nao zong he zheng	3
下乳涌泉散	xia ru yong quan san	2
下关穴	xia guan xue	2
下利清谷	xia li qing gu	2
下巨虚	xia ju xu	4
下廉	xia lian	4
下木	xia mu	6
下极俞	xia ji shu	2
下火王	xia huo wang	4
下疳	xia gan	36
下肢动脉硬化	xia zhi dong mai ying hua	7
下肢深静脉血栓形成	xia zhi shen jing mai xue shuan xing cheng	6
下肢溃疡	xia zhi kui yang	3
下肢肌	xia zhi ji	9
下肢脉管炎	xia zhi mai guan yan	3
下肢静脉	xia zhi jing mai	13
下肢静脉功能不全	xia zhi jing mai gong neng bu quan	1
下肢静脉炎	xia zhi jing mai yan	1
下肢静脉血栓形成	xia zhi jing mai xue shuan xing cheng	5
下肢静脉造影	xia zhi jing mai zao ying	1
下肢骨	xia zhi gu	5
下脘	xia wan	3
下脘穴	xia wan xue	1
下颌下腺	xia he xia xian	1
下颌关节脱位	xia he guan jie tuo wei	4
下颌前突	xia he qian tu	8
下颌后缩	xia he hou suo	5
下颌角	xia he jiao	26
下颌骨骨折	xia he gu gu zhe	2
下颌骨髁突	xia he gu ke tu	2
下髎	xia liao	2
下鼻甲	xia bi jia	20
下鼻甲部分切除术	xia bi jia bu fen qie chu shu	3
不典型增生	bu dian xing zeng sheng	10
不内外因	bu nei wai yin	2
不分离	bu fen li	9
不动关节	bu dong guan jie	5
不孕不育	bu yun bu yu	34
不安腿综合征	bu an tui zong he zheng	2
不完全显性	bu wan quan xian xing	3
不完全流产	bu wan quan liu chan	30
不寐病	bu mei bing	2
不换金正气散	bu huan jin zheng qi san	2
不育性	bu yu xing	7
不育症	bu yu zheng	28
不规则散光	bu gui ze san guang	4
不规则热	bu gui ze re	1
不规则阴道出血	bu gui ze yin dao chu xue	2
不规则骨	bu gui ze gu	5
不随意肌	bu sui yi ji	5
不随意运动	bu sui yi yun dong	5
丘墟	qiu xu	21
丘小庆	qiu xiao qing	14
丘疱疹	qiu pao zhen	1
丘疹性荨麻疹	qiu zhen xing xun ma zhen	8
丘脑出血	qiu nao chu xue	5
丙咪嗪	bing mi qin	11
丙型病毒性肝炎	bing xing bing du xing gan yan	2
丙戊酰胺片	bing wu xian an pian	3
丙戊酸	bing wu suan	32
丙戊酸钠	bing wu suan na	20
丙戊酸钠口服液	bing wu suan na kou fu ye	2
丙戊酸钠片	bing wu suan na pian	3
丙戊酸钠缓释片	bing wu suan na huan shi pian	3
丙戊酸镁	bing wu suan mei	3
丙戊酸镁缓释片	bing wu suan mei huan shi pian	2
丙氧匹林片	bing yang pi lin pian	6
丙氧氨酚复方片	bing yang an fen fu fang pian	2
丙氧氨酚片	bing yang an fen pian	6
丙氨酸氨基转移酶	bing an suan an ji zhuan yi mei	8
丙氨酸转氨酶	bing an suan zhuan an mei	7
丙泊酚	bing bo fen	27
丙泊酚注射液	bing bo fen zhu she ye	5
丙硫异烟胺	bing liu yi yan an	2
丙硫氧嘧啶	bing liu yang mi ding	40
丙硫氧嘧啶片	bing liu yang mi ding pian	4
丙磺舒	bing huang shu	1
丙种球蛋白	bing zhong qiu dan bai	20
丙类传染病	bing lei chuan ran bing	5
丙肝抗体	bing gan kang ti	9
丙胺卡因	bing an ka yin	6
丙谷胺	bing gu an	3
丙酮酸激酶缺乏症	bing tong suan ji mei que fa zheng	3
丙酸倍氯米松	bing suan bei lv mi song	1
丙酸倍氯米松鼻喷雾剂	bing suan bei lv mi song bi pen wu ji	3
丙酸氟替卡松	bing suan fu ti ka song	3
丙酸氟替卡松气雾剂	bing suan fu ti ka song qi wu ji	2
丙酸氯倍他索	bing suan lv bei ta suo	8
丙酸氯倍他索乳膏	bing suan lv bei ta suo ru gao	3
丙酸睾丸素	bing suan gao wan su	2
丙酸血症	bing suan xue zheng	3
丛林斑疹伤寒	cong lin ban zhen shang han	5
丛集性头痛	cong ji xing tou tong	41
东方田鼠	dong fang tian shu	18
东方疖	dong fang jie	3
东方福尔灵	dong fang fu er ling	2
东茛菪碱	dong gen dang jian	1
东莨菪碱	dong lang dang jian	48
东风桔	dong feng ju	2
丝状疣	si zhuang you	2
丝瓜络	si gua luo	18
丝竹空	si zhu kong	20
丝竹空穴	si zhu kong xue	4
丝腺	si xian	8
丝萸养血益肾颗粒	si yu yang xue yi shen ke li	2
丝裂原	si lie yuan	18
丝裂霉素	si lie mei su	38
丢了棒	diu le bang	2
两对半	liang dui ban	2
两性畸形	liang xing ji xing	3
两课	liang ke	8
两面针	liang mian zhen	24
严用和	yan yong he	6
严迪	yan di	13
个人识别	ge ren shi bie	32
个虫	ge chong	6
中冲	zhong chong	10
中冲穴	zhong chong xue	1
中医五官科学	zhong yi wu guan ke xue	3
中医伤科学	zhong yi shang ke xue	2
中医儿科学	zhong yi er ke xue	4
中医内科学	zhong yi nei ke xue	46
中医各家学说	zhong yi ge jia xue shuo	6
中医基础理论	zhong yi ji chu li lun	21
中医外科学	zhong yi wai ke xue	23
中医妇科学	zhong yi fu ke xue	14
中医学基础	zhong yi xue ji chu	2
中医心理学	zhong yi xin li xue	4
中医护理学	zhong yi hu li xue	1
中医护理技术	zhong yi hu li ji shu	5
中医杂志	zhong yi za zhi	5
中医正骨学	zhong yi zheng gu xue	2
中医男科学	zhong yi nan ke xue	7
中医眼科学	zhong yi yan ke xue	5
中医美容学	zhong yi mei rong xue	2
中医耳鼻咽喉科学	zhong yi er bi yan hou ke xue	1
中医药学	zhong yi yao xue	38
中医药学概论	zhong yi yao xue gai lun	2
中医药膳学	zhong yi yao shan xue	3
中医诊断	zhong yi zhen duan	10
中医针灸疗法	zhong yi zhen jiu liao fa	6
中医预防医学	zhong yi yu fang yi xue	2
中医骨伤科学	zhong yi gu shang ke xue	7
中华口腔医学杂志	zhong hua kou qiang yi xue za zhi	3
中华按蚊	zhong hua an wen	6
中华跌打丸	zhong hua die da wan	4
中华跌打酒	zhong hua die da jiu	2
中厚皮片	zhong hou pi pian	3
中和汤	zhong he tang	1
中和试验	zhong he shi yan	4
中央成分	zhong yang cheng fen	2
中封	zhong feng	7
中封穴	zhong feng xue	3
中心卫生院	zhong xin wei sheng yuan	43
中心静脉压	zhong xin jing mai ya	18
中心静脉导管	zhong xin jing mai dao guan	21
中性皮肤	zhong xing pi fu	6
中性粒细胞减少	zhong xing li xi bao jian shao	24
中恶	zhong e	7
中斜角肌	zhong xie jiao ji	4
中暑痉挛	zhong shu jing luan	3
中暑衰竭	zhong shu shuai jie	1
中极穴	zhong ji xue	1
中枢兴奋药	zhong shu xing fen yao	2
中枢性眩晕	zhong shu xing xuan yun	3
中枢神经系统感染	zhong shu shen jing xi tong gan ran	5
中柱	zhong zhu	8
中毒性休克	zhong du xing xiu ke	13
中毒性休克综合征	zhong du xing xiu ke zong he zheng	7
中毒性巨结肠	zhong du xing ju jie chang	4
中毒性弱视	zhong du xing ruo shi	4
中毒性心肌炎	zhong du xing xin ji yan	2
中毒性痢疾	zhong du xing li ji	1
中毒性白内障	zhong du xing bai nei zhang	1
中毒性红斑	zhong du xing hong ban	2
中毒性肝炎	zhong du xing gan yan	4
中毒性肝病	zhong du xing gan bing	1
中毒性肝硬化	zhong du xing gan ying hua	2
中毒性肺水肿	zhong du xing fei shui zhong	1
中毒性肺炎	zhong du xing fei yan	4
中毒性脑病	zhong du xing nao bing	5
中毒病	zhong du bing	1
中毒颗粒	zhong du ke li	3
中气下陷	zhong qi xia xian	2
中气下陷证	zhong qi xia xian zheng	2
中注	zhong zhu	7
中渎	zhong du	2
中渚	zhong zhu	3
中老年高钙片	zhong lao nian gao gai pian	3
中耳胆脂瘤	zhong er dan zhi liu	2
中肠	zhong chang	6
中肾	zhong shen	5
中脘	zhong wan	8
中脘穴	zhong wan xue	1
中膈	zhong ge	49
中药化学	zhong yao hua xue	7
中药学专业知识	zhong yao xue zhuan ye zhi shi	2
中药散剂	zhong yao san ji	5
中药汤剂	zhong yao tang ji	6
中药炮制学	zhong yao pao zhi xue	3
中药药剂学	zhong yao yao ji xue	3
中药药理学	zhong yao yao li xue	8
中药鉴定学	zhong yao jian ding xue	1
中间型	zhong jian xing	7
中间清醒期	zhong jian qing xing qi	3
中间缺失	zhong jian que shi	2
中静脉	zhong jing mai	4
中风回春丸	zhong feng hui chun wan	3
中风回春片	zhong feng hui chun pian	3
中风安口服液	zhong feng an kou fu ye	3
中髎	zhong liao	2
中鼻甲	zhong bi jia	10
中鼻道	zhong bi dao	3
丰隆穴	feng long xue	1
临床免疫学	lin chuang mian yi xue	17
临床护理	lin chuang hu li	33
临床检验基础	lin chuang jian yan ji chu	3
临床死亡	lin chuang si wang	24
临床法医学	lin chuang fa yi xue	2
临床流行病学	lin chuang liu xing bing xue	17
临床病理学	lin chuang bing li xue	17
临床药学	lin chuang yao xue	42
临床药理学	lin chuang yao li xue	38
临床营养学	lin chuang ying yang xue	16
临床诊断学	lin chuang zhen duan xue	7
临床遗传学	lin chuang yi chuan xue	8
临床麻醉	lin chuang ma zui	2
临床麻醉学	lin chuang ma zui xue	1
丹七片	dan qi pian	3
丹七软胶囊	dan qi ruan jiao nang	2
丹参保心茶	dan shen bao xin cha	3
丹参川芎嗪注射液	dan shen chuan xiong qin zhu she ye	3
丹参注射液	dan shen zhu she ye	1
丹参滴注液	dan shen di zhu ye	3
丹参片	dan shen pian	7
丹参胶囊	dan shen jiao nang	3
丹参舒心	dan shen shu xin	2
丹参舒心胶囊	dan shen shu xin jiao nang	3
丹参酮	dan shen tong	22
丹参酮胶囊	dan shen tong jiao nang	2
丹宁酸	dan ning suan	21
丹杞颗粒	dan qi ke li	3
丹栀逍遥丸	dan zhi xiao yao wan	4
丹栀逍遥散	dan zhi xiao yao san	1
丹栀逍遥胶囊	dan zhi xiao yao jiao nang	3
丹桂香颗粒	dan gui xiang ke li	2
丹毒病	dan du bing	1
丹溪心法	dan xi xin fa	8
丹皮酚	dan pi fen	10
丹红化瘀口服液	dan hong hua yu kou fu ye	2
丹红注射液	dan hong zhu she ye	2
丹葛颈舒胶囊	dan ge jing shu jiao nang	3
丹蓝通络口服液	dan lan tong luo kou fu ye	3
丹香冠心注射液	dan xiang guan xin zhu she ye	2
丹鹿通督片	dan lu tong du pian	2
主任药师	zhu ren yao shi	14
主动免疫	zhu dong mian yi	13
主动脉动脉瘤	zhu dong mai dong mai liu	2
主动脉夹层动脉瘤	zhu dong mai jia ceng dong mai liu	4
主动脉炎	zhu dong mai yan	4
主动脉狭窄	zhu dong mai xia zhai	6
主动脉瓣狭窄	zhu dong mai ban xia zhai	24
主动脉瓣置换术	zhu dong mai ban zhi huan shu	6
主动脉瓣赘生物	zhu dong mai ban zhui sheng wu	2
