# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
冠脉循环	guan mai xun huan	4
冠脉搭桥术	guan mai da qiao shu	10
冠脉通片	guan mai tong pian	4
冬凌草	dong ling cao	6
冬凌草片	dong ling cao pian	4
冬凌草甲素	dong ling cao jia su	3
冬凌草糖浆	dong ling cao tang jiang	2
冬瓜仁	dong gua ren	1
冬瓜子	dong gua zi	3
冬瓜皮	dong gua pi	4
冬眠灵	dong mian ling	1
冬葵子	dong kui zi	3
冯了性风湿跌打药酒	feng liao xing feng shi die da yao jiu	3
冰栀伤痛气雾剂	bing zhi shang tong qi wu ji	2
冰点降低法	bing dian jiang di fa	2
冰硼含片	bing peng han pian	2
冰硼散	bing peng san	5
冰箱病	bing xiang bing	6
冰醋酸溶液	bing cu suan rong ye	1
冰黄肤乐软膏	bing huang fu le ruan gao	2
冲任不固	chong ren bu gu	1
冲击伤	chong ji shang	3
冲击疗法	chong ji liao fa	4
冲洗器	chong xi qi	7
冲门	chong men	30
冲门穴	chong men xue	2
冲阳	chong yang	6
冷休克	leng xiu ke	16
冷伤	leng shang	4
冷冻保护剂	leng dong bao hu ji	17
冷冻干燥法	leng dong gan zao fa	5
冷冻疗法	leng dong liao fa	19
冷冻置换	leng dong zhi huan	1
冷却速度	leng que su du	36
冷厥	leng jue	3
冷球蛋白血症	leng qiu dan bai xue zheng	1
冷疗法	leng liao fa	1
冷纤维蛋白原血症	leng xian wei dan bai yuan xue zheng	2
冷藏包	leng cang bao	1
冷藏运输	leng cang yun shu	7
冷觉	leng jue	2
冷链系统	leng lian xi tong	2
冻干人凝血酶原复合物	dong gan ren ning xue mei yuan fu he wu	3
冻干人用狂犬病疫苗	dong gan ren yong kuang quan bing yi miao	6
冻干人血浆	dong gan ren xue jiang	3
冻干水痘减毒活疫苗	dong gan shui dou jian du huo yi miao	4
冻干疫苗	dong gan yi miao	3
冻干粉针剂	dong gan fen zhen ji	2
冻干重组人脑利钠肽	dong gan chong zu ren nao li na tai	2
冻疮膏	dong chuang gao	8
冻结肩	dong jie jian	1
净化水	jing hua shui	23
凉膈散	liang ge san	2
凉血止血	liang xue zhi xue	13
凌一揆	ling yi kui	3
凌霄花	ling xiao hua	12
减压病	jian ya bing	16
减毒活疫苗	jian du huo yi miao	31
减肥茶	jian fei cha	3
减肥贴	jian fei tie	5
减脂	jian zhi	14
凝乳酶	ning ru mei	45
凝固性坏死	ning gu xing huai si	4
凝聚法	ning ju fa	3
凝胶剂	ning jiao ji	13
凝血机制	ning xue ji zhi	12
凝血活酶	ning xue huo mei	24
凝血酶原	ning xue mei yuan	46
凝血酶原复合物	ning xue mei yuan fu he wu	3
凝血酶原时间	ning xue mei yuan shi jian	35
凝血酶时间	ning xue mei shi jian	3
凝血障碍	ning xue zhang ai	33
凝集原	ning ji yuan	2
凝集反应	ning ji fan ying	10
凤凰衣	feng huang yi	5
凤尾草	feng wei cao	9
凹甲	ao jia	5
凹陷性疤痕	ao xian xing ba hen	1
凹陷瘢痕	ao xian ban hen	3
出牙	chu ya	8
出血倾向	chu xue qing xiang	19
出血性休克	chu xue xing xiu ke	17
出血性梗死	chu xue xing geng si	2
出血性直肠炎	chu xue xing zhi chang yan	2
出血性膀胱炎	chu xue xing pang guang yan	9
出血时间	chu xue shi jian	12
出血点	chu xue dian	14
分光计	fen guang ji	48
分化因子	fen hua yin zi	9
分子免疫学	fen zi mian yi xue	9
分子影像学	fen zi ying xiang xue	2
分子杂交	fen zi za jiao	6
分子病毒学	fen zi bing du xue	21
分子病理学	fen zi bing li xue	13
分子细胞遗传学	fen zi xi bao yi chuan xue	3
分子药理学	fen zi yao li xue	13
分子识别	fen zi shi bie	43
分层抽样	fen ceng chou yang	14
分布类型	fen bu lei xing	4
分散体系	fen san ti xi	12
分散法	fen san fa	4
分散片	fen san pian	3
分析细胞学	fen xi xi bao xue	2
分果	fen guo	5
分水线	fen shui xian	6
分泌型	fen mi xing	34
分泌性中耳炎	fen mi xing zhong er yan	2
分泌性腹泻	fen mi xing fu xie	2
分泌成分	fen mi cheng fen	2
分泌神经	fen mi shen jing	2
分泌组织	fen mi zu zhi	5
分泌蛋白	fen mi dan bai	18
分流术	fen liu shu	33
分清五淋丸	fen qing wu lin wan	2
分离剂	fen li ji	4
分离柱	fen li zhu	2
分蘖期	fen nie qi	2
分蘖节	fen nie jie	2
分裂型人格障碍	fen lie xing ren ge zhang ai	6
分裂情感性精神病	fen lie qing gan xing jing shen bing	1
分裂生殖	fen lie sheng zhi	16
分裂症	fen lie zheng	25
分辨力	fen bian li	28
切创	qie chuang	4
切口疝	qie kou shan	6
切断传播途径	qie duan chuan bo tu jing	5
切片机	qie pian ji	29
切牙	qie ya	6
切迹	qie ji	41
列缺	lie que	18
列缺穴	lie que xue	2
刘完素	liu wan su	46
刘寄奴	liu ji nu	14
刘沅	liu yuan	17
刘渡舟	liu du zhou	9
创伤学	chuang shang xue	25
创伤弹道学	chuang shang dan dao xue	4
创伤性休克	chuang shang xing xiu ke	8
创伤性气胸	chuang shang xing qi xiong	4
创伤性湿肺	chuang shang xing shi fei	8
创伤性溃疡	chuang shang xing kui yang	2
创伤性窒息	chuang shang xing zhi xi	4
创伤性耳聋	chuang shang xing er long	3
创伤性脾破裂	chuang shang xing pi po lie	5
创伤性血胸	chuang shang xing xue xiong	6
创伤愈合	chuang shang yu he	5
初级卵母细胞	chu ji luan mu xi bao	20
初级消费者	chu ji xiao fei zhe	13
初级精母细胞	chu ji jing mu xi bao	3
利什曼原虫	li shi man yuan chong	49
利他林	li ta lin	15
利凡诺	li fan nuo	2
利可君片	li ke jun pian	2
利咽含片	li yan han pian	2
利咽灵片	li yan ling pian	3
利咽解毒颗粒	li yan jie du ke li	2
利咽颗粒	li yan ke li	2
利培酮	li pei tong	43
利培酮口腔崩解片	li pei tong kou qiang beng jie pian	3
利培酮片	li pei tong pian	4
利多卡因注射液	li duo ka yin zhu she ye	2
利夫康洗剂	li fu kang xi ji	2
利巴韦林含片	li ba wei lin han pian	2
利巴韦林喷剂	li ba wei lin pen ji	2
利巴韦林喷雾剂	li ba wei lin pen wu ji	2
利巴韦林气雾剂	li ba wei lin qi wu ji	3
利巴韦林氯化钠注射液	li ba wei lin lv hua na zhu she ye	2
利巴韦林泡腾颗粒	li ba wei lin pao teng ke li	3
利巴韦林注射液	li ba wei lin zhu she ye	6
利巴韦林滴眼液	li ba wei lin di yan ye	4
利巴韦林片	li ba wei lin pian	3
利巴韦林胶囊	li ba wei lin jiao nang	2
利巴韦林颗粒	li ba wei lin ke li	5
利拉萘酯乳膏	li la nai zhi ru gao	2
利水渗湿	li shui shen shi	11
利水通淋	li shui tong lin	2
利福喷丁	li fu pen ding	7
利福平滴眼液	li fu ping di yan ye	2
利福平片	li fu ping pian	2
利福昔明	li fu xi ming	21
利福霉素	li fu mei su	8
利肺片	li fei pian	3
利肺胶囊	li fei jiao nang	2
利胆排石片	li dan pai shi pian	3
利胆片	li dan pian	3
利胆石颗粒	li dan shi ke li	3
利脑心片	li nao xin pian	6
利血平片	li xue ping pian	3
利血生	li xue sheng	2
利鲁唑片	li lu zuo pian	4
别嘌醇	bie piao chun	20
别嘌醇片	bie piao chun pian	6
刮匙	gua chi	4
刮宫术	gua gong shu	6
制何首乌	zhi he shou wu	1
制剂学	zhi ji xue	1
制动试验	zhi dong shi yan	27
制半夏	zhi ban xia	5
制南星	zhi nan xing	3
制草乌	zhi cao wu	5
制药工程设计	zhi yao gong cheng she ji	4
制附子	zhi fu zi	1
制霉素	zhi mei su	2
制霉菌素	zhi mei jun su	3
制霉菌素片	zhi mei jun su pian	3
制首乌	zhi shou wu	11
刷状缘	shua zhuang yuan	15
刺丝囊	ci si nang	9
刺乌养心口服液	ci wu yang xin kou fu ye	3
刺五加注射液	ci wu jia zhu she ye	6
刺五加片	ci wu jia pian	4
刺五加糖浆	ci wu jia tang jiang	2
刺五加脑灵液	ci wu jia nao ling ye	3
刺五加脑灵胶囊	ci wu jia nao ling jiao nang	2
刺五加颗粒	ci wu jia ke li	2
刺创	ci chuang	8
刺激反应	ci ji fan ying	27
刺猬皮	ci wei pi	2
刺细胞	ci xi bao	27
剂量反应	ji liang fan ying	14
剂量效应	ji liang xiao ying	7
前交叉韧带	qian jiao cha ren dai	29
前体细胞	qian ti xi bao	38
前列回春丸	qian lie hui chun wan	4
前列回春胶囊	qian lie hui chun jiao nang	2
前列地尔	qian lie di er	11
前列地尔注射液	qian lie di er zhu she ye	4
前列欣胶囊	qian lie xin jiao nang	3
前列泰片	qian lie tai pian	2
前列泰颗粒	qian lie tai ke li	2
前列环素	qian lie huan su	21
前列腺切除术	qian lie xian qie chu shu	23
前列腺囊肿	qian lie xian nang zhong	3
前列腺按摩	qian lie xian an mo	28
前列腺特异性抗原	qian lie xian te yi xing kang yuan	9
前列腺特异抗原	qian lie xian te yi kang yuan	38
前列腺结核	qian lie xian jie he	3
前列腺结石	qian lie xian jie shi	12
前列腺肿瘤	qian lie xian zhong liu	3
前列腺脓肿	qian lie xian nong zhong	1
前列腺萎缩	qian lie xian wei suo	1
前列腺酸性磷酸酶	qian lie xian suan xing lin suan mei	5
前列舒乐	qian lie shu le	3
前列舒乐片	qian lie shu le pian	2
前列舒乐胶囊	qian lie shu le jiao nang	4
前列解毒胶囊	qian lie jie du jiao nang	4
前列通瘀	qian lie tong yu	2
前列通瘀片	qian lie tong yu pian	5
前列通胶囊	qian lie tong jiao nang	3
前叶	qian ye	7
前哨淋巴结	qian shao lin ba jie	10
前哨痔	qian shao zhi	3
前囟	qian xin	6
前巩膜炎	qian gong mo yan	1
前庭大腺	qian ting da xian	25
前庭大腺囊肿	qian ting da xian nang zhong	4
前庭大腺脓肿	qian ting da xian nong zhong	4
前房出血	qian fang chu xue	2
前房积脓	qian fang ji nong	1
前房积血	qian fang ji xue	3
前房角	qian fang jiao	5
前斜角肌	qian xie jiao ji	2
前正中线	qian zheng zhong xian	10
前白蛋白	qian bai dan bai	12
前瞻性研究	qian zhan xing yan jiu	34
前瞻性调查	qian zhan xing diao cha	2
前纵隔	qian zong ge	3
前纵韧带	qian zong ren dai	1
前肠	qian chang	3
前肾	qian shen	3
前胡	qian hu	7
前膜	qian mo	3
前臂假肢	qian bi jia zhi	2
前臂长	qian bi chang	44
前谷	qian gu	5
前负荷	qian fu he	16
前阴	qian yin	5
前顶	qian ding	7
前驱期	qian qu qi	10
剑突	jian tu	36
剖腹探查术	pou fu tan cha shu	4
剥脱	bo tuo	29
剥脱性角质松解症	bo tuo xing jiao zhi song jie zheng	1
剥脱性骨软骨炎	bo tuo xing gu ruan gu yan	30
剪切率	jian qie lv	3
剪创	jian chuang	1
剪接位点	jian jie wei dian	19
副中肾管	fu zhong shen guan	17
副主任药师	fu zhu ren yao shi	1
副乳切除术	fu ru qie chu shu	3
副乳房	fu ru fang	1
副交感神经系统	fu jiao gan shen jing xi tong	26
副反应	fu fan ying	9
副溶血性弧菌	fu rong xue xing hu jun	11
副神经	fu shen jing	10
副神经节瘤	fu shen jing jie liu	10
副粘病毒	fu nian bing du	6
副耳	fu er	4
副胎盘	fu tai pan	3
副脾	fu pi	4
副银屑病	fu yin xie bing	1
副霍乱	fu huo luan	1
劈刀	pi dao	12
劈裂	pi lie	48
力保肪宁	li bao fang ning	3
力克肺疾	li ke fei ji	2
力克舒	li ke shu	4
力加寿片	li jia shou pian	2
力月西	li yue xi	4
力比泰	li bi tai	5
力补金秋胶囊	li bu jin qiu jiao nang	1
办公室自动化	ban gong shi zi dong hua	45
功劳木	gong lao mu	1
功能位	gong neng wei	5
功能性消化不良	gong neng xing xiao hua bu liang	6
功能性肠病	gong neng xing chang bing	1
功能性胃肠病	gong neng xing wei chang bing	2
功能性腹泻	gong neng xing fu xie	1
功能解剖学	gong neng jie pou xue	3
加减复脉汤	jia jian fu mai tang	1
加合百服宁	jia he bai fu ning	3
加味保和丸	jia wei bao he wan	3
加味八珍益母膏	jia wei ba zhen yi mu gao	4
加味左金丸	jia wei zuo jin wan	2
加味藿香正气丸	jia wei huo xiang zheng qi wan	4
加味藿香正气软胶囊	jia wei huo xiang zheng qi ruan jiao nang	3
加味逍遥丸	jia wei xiao yao wan	4
加味逍遥散	jia wei xiao yao san	3
加味霍香正气丸	jia wei huo xiang zheng qi wan	3
加味香连丸	jia wei xiang lian wan	3
加巴喷丁	jia ba pen ding	38
加替沙星	jia ti sha xing	5
加替沙星氯化钠注射液	jia ti sha xing lv hua na zhu she ye	2
加替沙星注射液	jia ti sha xing zhu she ye	3
加替沙星片	jia ti sha xing pian	2
加替沙星胶囊	jia ti sha xing jiao nang	3
加碘盐	jia dian yan	22
加速试验	jia su shi yan	8
动作思维	dong zuo si wei	2
动力不稳定性	dong li bu wen ding xing	4
动力定型	dong li ding xing	5
动功	dong gong	14
动态心电图	dong tai xin dian tu	17
动态脑电图	dong tai nao dian tu	1
动态血压监测	dong tai xue ya jian ce	1
动机性遗忘	dong ji xing yi wang	3
动点	dong dian	10
动物交往	dong wu jiao wang	1
动物地理学	dong wu di li xue	34
动物心理学	dong wu xin li xue	21
动物毒素	dong wu du su	3
动物生态学	dong wu sheng tai xue	25
动物生物学	dong wu sheng wu xue	17
动物病理学	dong wu bing li xue	5
动物群落	dong wu qun luo	26
动物解剖	dong wu jie pou	16
动物遗传学	dong wu yi chuan xue	15
动眼神经麻痹	dong yan shen jing ma bi	2
动脉导管	dong mai dao guan	44
动脉导管未闭	dong mai dao guan wei bi	10
动脉栓塞	dong mai shuan se	33
动脉注射	dong mai zhu she	3
动脉瘤性骨囊肿	dong mai liu xing gu nang zhong	1
动脉瘤样骨囊肿	dong mai liu yang gu nang zhong	3
动脉硬化性精神病	dong mai ying hua xing jing shen bing	1
动脉硬化性脑病	dong mai ying hua xing nao bing	3
动脉管壁	dong mai guan bi	4
动脉脉搏	dong mai mai bo	2
动脉血压	dong mai xue ya	21
动脉造影	dong mai zao ying	13
动静脉畸形	dong jing mai ji xing	15
动静脉瘘	dong jing mai lou	3
动静脉造瘘术	dong jing mai zao lou shu	2
助力运动	zhu li yun dong	4
助行器	zhu xing qi	14
劳宫	lao gong	5
劳宫穴	lao gong xue	7
劳拉西泮	lao la xi pan	44
劳淋	lao lin	2
勃林格殷格翰	bo lin ge yin ge han	27
募穴	mu xue	11
包含体	bao han ti	2
包涵体	bao han ti	36
包皮垢	bao pi gou	32
包皮嵌顿	bao pi qian dun	3
包皮粘连	bao pi zhan lian	4
包皮过长	bao pi guo chang	39
包皮龟头炎	bao pi gui tou yan	6
包膜挛缩	bao mo luan suo	6
匐行疹	fu xing zhen	3
化妆品痤疮	hua zhuang pin cuo chuang	3
化妆品皮炎	hua zhuang pin pi yan	4
化学剥脱术	hua xue bo tuo shu	3
化学性皮肤灼伤	hua xue xing pi fu zhuo shang	3
化学性眼部灼伤	hua xue xing yan bu zhuo shang	3
化学感受器	hua xue gan shou qi	23
化学感觉	hua xue gan jue	5
化学渗透	hua xue shen tou	39
化学烧伤	hua xue shao shang	10
化学计量学	hua xue ji liang xue	41
化性	hua xing	6
化斑汤	hua ban tang	1
化生	hua sheng	9
化症回生口服液	hua zheng hui sheng kou fu ye	3
化症回生片	hua zheng hui sheng pian	3
化痔灵片	hua zhi ling pian	2
化痔胶囊	hua zhi jiao nang	2
化痰平喘片	hua tan ping chuan pian	3
化皮	hua pi	6
化积口服液	hua ji kou fu ye	3
化脓性中耳炎	hua nong xing zhong er yan	9
化脓性关节炎	hua nong xing guan jie yan	16
化脓性心包炎	hua nong xing xin bao yan	4
化脓性汗腺炎	hua nong xing han xian yan	6
化脓性炎	hua nong xing yan	10
化脓性眼内炎	hua nong xing yan nei yan	2
化脓性肉芽肿	hua nong xing rou ya zhong	4
化脓性胸膜炎	hua nong xing xiong mo yan	1
化脓性脑炎	hua nong xing nao yan	4
化脓性脑膜脑炎	hua nong xing nao mo nao yan	1
化脓性腮腺炎	hua nong xing sai xian yan	4
化脓性颌骨骨髓炎	hua nong xing he gu gu sui yan	2
化脓性骨髓炎	hua nong xing gu sui yan	4
化脓性鼻窦炎	hua nong xing bi dou yan	3
化虫丸	hua chong wan	1
化风丹	hua feng dan	3
北五味子	bei wu wei zi	4
北京口腔医学	bei jing kou qiang yi xue	1
北京生物制品研究所	bei jing sheng wu zhi pin yan jiu suo	5
北山楂	bei shan zha	3
北沙参	bei sha shen	4
北芪五加片	bei qi wu jia pian	3
北苍术	bei cang zhu	2
北豆根	bei dou gen	2
北豆根片	bei dou gen pian	3
北豆根胶囊	bei dou gen jiao nang	3
北野政次	bei ye zheng ci	13
匙状甲	chi zhuang jia	2
匹多莫德	pi duo mo de	4
匹多莫德分散片	pi duo mo de fen san pian	2
匹多莫德口服液	pi duo mo de kou fu ye	3
匹多莫德颗粒	pi duo mo de ke li	2
匹莫林	pi mo lin	6
区乐民	ou le min	8
医古文	yi gu wen	6
医和	yi he	9
医学专业英语	yi xue zhuan ye ying yu	3
医学免疫学	yi xue mian yi xue	13
医学分子生物学	yi xue fen zi sheng wu xue	10
医学化学	yi xue hua xue	12
医学实验动物学	yi xue shi yan dong wu xue	3
医学导论	yi xue dao lun	2
医学康复	yi xue kang fu	1
医学影像学	yi xue ying xiang xue	47
医学影像检查技术	yi xue ying xiang jian cha ji shu	3
医学影像物理学	yi xue ying xiang wu li xue	2
医学影像设备管理	yi xue ying xiang she bei guan li	2
医学影像诊断学	yi xue ying xiang zhen duan xue	1
医学微生物学	yi xue wei sheng wu xue	35
医学心理学	yi xue xin li xue	21
医学心理学与精神病学	yi xue xin li xue yu jing shen bing xue	5
医学文献检索	yi xue wen xian jian suo	4
医学模式	yi xue mo shi	7
医学物理学	yi xue wu li xue	15
医学生物学	yi xue sheng wu xue	25
医学真菌学	yi xue zhen jun xue	1
医学神经生物学	yi xue shen jing sheng wu xue	4
医学纲目	yi xue gang mu	2
医学细胞生物学	yi xue xi bao sheng wu xue	4
医学统计学	yi xue tong ji xue	18
医学美学	yi xue mei xue	1
医学美容技术	yi xue mei rong ji shu	7
医学营养学	yi xue ying yang xue	1
医学衷中参西录	yi xue zhong zhong can xi lu	6
医学隔离	yi xue ge li	41
医宗金鉴	yi zong jin jian	32
医家	yi jia	9
医方集解	yi fang ji jie	35
医明	yi ming	21
医源性传播	yi yuan xing chuan bo	3
医源性感染	yi yuan xing gan ran	3
医用化学	yi yong hua xue	1
医用棉签	yi yong mian qian	2
医用缝合针	yi yong feng he zhen	2
医用羊肠线	yi yong yang chang xian	1
医用耗材	yi yong hao cai	13
医用高等数学	yi yong gao deng shu xue	2
医疗体操	yi liao ti cao	5
医疗体育	yi liao ti yu	2
医疗垃圾	yi liao la ji	8
医疗废物	yi liao fei wu	48
医缓	yi huan	24
医院内感染	yi yuan nei gan ran	6
医院管理学	yi yuan guan li xue	8
医院药事管理	yi yuan yao shi guan li	3
医风	yi feng	5
十一味甘露胶囊	shi yi wei gan lu jiao nang	4
十一烯酸	shi yi xi suan	16
十一酸睾酮	shi yi suan gao tong	2
十一酸睾酮胶丸	shi yi suan gao tong jiao wan	2
十三味菥蓂丸	shi san wei xi ming wan	3
十二指肠息肉	shi er zhi chang xi rou	4
十二指肠损伤	shi er zhi chang sun shang	2
十二指肠水平部	shi er zhi chang shui ping bu	1
十二指肠炎	shi er zhi chang yan	10
十二指肠瘘	shi er zhi chang lou	5
十二指肠降部	shi er zhi chang jiang bu	2
十二烷基硫酸钠	shi er wan ji liu suan na	33
十五味乳鹏丸	shi wu wei ru peng wan	4
十五味乳鹏胶囊	shi wu wei ru peng jiao nang	2
十五味萝蒂明目丸	shi wu wei luo di ming mu wan	3
十五味黑药胶囊	shi wu wei hei yao jiao nang	3
十五味龙胆花丸	shi wu wei long dan hua wan	4
十全大补丸	shi quan da bu wan	3
十全大补膏	shi quan da bu gao	4
十八味党参丸	shi ba wei dang shen wan	3
十八味杜鹃丸	shi ba wei du juan wan	3
十八味诃子利尿丸	shi ba wei he zi li niao wan	3
十六味消渴胶囊	shi liu wei xiao ke jiao nang	3
十味乳香丸	shi wei ru xiang wan	2
十味乳香散	shi wei ru xiang san	3
十味乳香胶囊	shi wei ru xiang jiao nang	5
十味玉泉胶囊	shi wei yu quan jiao nang	2
十味蒂达胶囊	shi wei di da jiao nang	2
十味降糖颗粒	shi wei jiang tang ke li	3
十味黑冰片丸	shi wei hei bing pian wan	5
十味龙胆花颗粒	shi wei long dan hua ke li	2
十四经穴	shi si jing xue	2
十大功劳叶	shi da gong lao ye	2
十宣	shi xuan	6
十宣穴	shi xuan xue	5
十滴水	shi di shui	10
十滴水软胶囊	shi di shui ruan jiao nang	3
十灰散	shi hui san	1
十香定痛丸	shi xiang ding tong wan	2
十香暖脐膏	shi xiang nuan qi gao	3
十香止痛丸	shi xiang zhi tong wan	3
千年健	qian nian jian	17
千斤拔	qian jin ba	41
千斤肾安宁胶囊	qian jin shen an ning jiao nang	3
千柏鼻炎片	qian bai bi yan pian	1
千柏鼻炎胶囊	qian bai bi yan jiao nang	3
千粒重	qian li zhong	10
千金子霜	qian jin zi shuang	2
千金止带丸	qian jin zhi dai wan	3
千金翼方	qian jin yi fang	39
升主动脉	sheng zhu dong mai	36
升华硫	sheng hua liu	3
升压素	sheng ya su	9
升结肠	sheng jie chang	26
升血小板胶囊	sheng xue xiao ban jiao nang	2
升阳十一味丸	sheng yang shi yi wei wan	4
升麻葛根汤	sheng ma ge gen tang	2
午后潮热	wu hou chao re	5
午夜香吻	wu ye xiang wen	6
午时茶颗粒	wu shi cha ke li	2
午节	wu jie	6
半乳糖基转移酶	ban ru tang ji zhuan yi mei	1
半乳糖性白内障	ban ru tang xing bai nei zhang	2
半乳糖激酶	ban ru tang ji mei	6
半乳糖激酶缺乏	ban ru tang ji mei que fa	2
半乳糖血症	ban ru tang xue zheng	34
半乳糖醛酸	ban ru tang quan suan	7
半乳聚糖	ban ru ju tang	5
半同胞	ban tong bao	6
半喉切除术	ban hou qie chu shu	2
半夏厚朴汤	ban xia hou po tang	4
半夏天麻丸	ban xia tian ma wan	3
半夏曲	ban xia qu	1
半夏止咳糖浆	ban xia zhi ke tang jiang	2
半夏泻心汤	ban xia xie xin tang	3
半夏白术天麻汤	ban xia bai zhu tian ma tang	2
半夏糖浆	ban xia tang jiang	3
半寄生植物	ban ji sheng zhi wu	16
半抗原	ban kang yuan	26
半数致死剂量	ban shu zhi si ji liang	14
半日花科	ban ri hua ke	18
半月清	ban yue qing	4
半月瓣	ban yue ban	20
半月皱襞	ban yue zhou bi	1
半枝莲	ban zhi lian	11
半枫荷	ban feng he	24
半椎体畸形	ban zhui ti ji xing	3
半种	ban zhong	5
半腱肌	ban jian ji	4
半膜肌	ban mo ji	4
半表半里	ban biao ban li	9
半透性	ban tou xing	4
半阴阳	ban yin yang	4
华佗再造丸	hua tuo zai zao wan	6
华佗膏	hua tuo gao	4
华山参	hua shan shen	2
华支睾吸虫	hua zhi gao xi chong	5
华支睾吸虫病	hua zhi gao xi chong bing	2
华法林钠	hua fa lin na	2
华盖散	hua gai san	3
华素片	hua su pian	1
华蟾素注射液	hua chan su zhu she ye	3
华蟾素片	hua chan su pian	2
华西口腔医学杂志	hua xi kou qiang yi xue za zhi	3
协定处方	xie ding chu fang	5
协日嘎四味汤散	xie ri ga si wei tang san	3
协调运动	xie tiao yun dong	15
卒中	cu zhong	10
卓青	zhuo qing	13
单一序列	dan yi xu lie	2
单交	dan jiao	5
单体型	dan ti xing	31
单体性	dan ti xing	6
单剂量	dan ji liang	24
单因素方差分析	dan yin su fang cha fen xi	3
单基因病	dan ji yin bing	1
单层柱状上皮	dan ceng zhu zhuang shang pi	13
单心室	dan xin shi	3
单心房	dan xin fang	5
单态氧	dan tai yang	15
单性	dan xing	7
单性花	dan xing hua	48
单核吞噬细胞	dan he tun shi xi bao	25
单核细胞增多症	dan he xi bao zeng duo zheng	17
单核细胞白血病	dan he xi bao bai xue bing	4
单硝酸异山梨酯	dan xiao suan yi shan li zhi	4
单硝酸异山梨酯片	dan xiao suan yi shan li zhi pian	3
单硝酸异山梨酯缓释片	dan xiao suan yi shan li zhi huan shi pian	5
单硝酸异山梨酯胶囊	dan xiao suan yi shan li zhi jiao nang	3
单磷酸阿糖腺苷	dan lin suan a tang xian gan	3
单纯型精神分裂症	dan chun xing jing shen fen lie zheng	10
单纯性牙周炎	dan chun xing ya zhou yan	2
单纯性甲状腺肿	dan chun xing jia zhuang xian zhong	3
单纯性痒疹	dan chun xing yang zhen	2
单纯性肾囊肿	dan chun xing shen nang zhong	3
单纯疱疹	dan chun pao zhen	47
单肾	dan shen	1
单脐动脉	dan qi dong mai	3
单面性	dan mian xing	1
南五味子	nan wu wei zi	30
南北沙参	nan bei sha shen	2
南板蓝根	nan ban lan gen	4
南沙参	nan sha shen	6
博氏线	bo shi xian	3
博落回	bo luo hui	22
卟啉病	bu lin bing	13
卡介菌多糖核酸	ka jie jun duo tang he suan	3
卡介菌多糖核酸注射液	ka jie jun duo tang he suan zhu she ye	4
卡介菌纯蛋白衍生物	ka jie jun chun dan bai yan sheng wu	4
卡他性中耳炎	ka ta xing zhong er yan	1
卡他性结膜炎	ka ta xing jie mo yan	2
卡前列甲酯栓	ka qian lie jia zhi shuan	2
卡前列素氨丁三醇	ka qian lie su an ding san chun	3
卡培他滨	ka pei ta bin	25
卡培他滨片	ka pei ta bin pian	4
卡巴拉汀	ka ba la ting	1
卡托普利	ka tuo pu li	24
卡托普利片	ka tuo pu li pian	4
卡比多巴	ka bi duo ba	6
卡泊三醇	ka bo san chun	3
卡泊芬净	ka bo fen jing	2
卡波姆	ka bo mu	6
卡波西肉瘤	ka bo xi rou liu	4
卡环	ka huan	7
卡络磺钠氯化钠注射液	ka luo huang na lv hua na zhu she ye	3
卡维地洛	ka wei di luo	3
卡维地洛片	ka wei di luo pian	2
卡莫氟	ka mo fu	19
卡那霉素	ka na mei su	22
卡铂	ka bo	39
卡马西平片	ka ma xi ping pian	4
卢于道	lu yu dao	22
卢煜明	lu yu ming	38
卤地菊	lu di ju	3
卫气	wei qi	6
卫气同病	wei qi tong bing	4
卫气营血	wei qi ying xue	4
卫气营血辨证	wei qi ying xue bian zheng	7
卫生事业管理	wei sheng shi ye guan li	34
卫生事业管理学	wei sheng shi ye guan li xue	5
卫生信息管理	wei sheng xin xi guan li	5
卫生化学	wei sheng hua xue	6
卫生学	wei sheng xue	10
卫生微生物学	wei sheng wei sheng wu xue	3
卫生检验	wei sheng jian yan	47
卫生法	wei sheng fa	9
卫生法学	wei sheng fa xue	2
卫生法律法规	wei sheng fa lv fa gui	8
卫生法规	wei sheng fa gui	19
卫生经济学	wei sheng jing ji xue	16
卫生统计	wei sheng tong ji	21
卫生统计学	wei sheng tong ji xue	24
卫生行政部门	wei sheng xing zheng bu men	48
卫生许可证	wei sheng xu ke zheng	9
卫莹芳	wei ying fang	2
印堂穴	yin tang xue	5
印度大麻	yin du da ma	28
印度神油	yin du shen you	7
印戒细胞癌	yin jie xi bao ai	6
印模材料	yin mo cai liao	11
印象形成	yin xiang xing cheng	6
危害因素	wei hai yin su	12
危象	wei xiang	39
危重病医学	wei zhong bing yi xue	2
即刻义齿	ji ke yi chi	2
即早	ji zao	8
卵原细胞	luan yuan xi bao	43
卵圆孔	luan yuan kong	34
卵圆窝	luan yuan wo	7
卵壳膜	luan ke mo	3
卵子发生	luan zi fa sheng	5
卵巢切除术	luan chao qie chu shu	12
卵巢动脉	luan chao dong mai	2
卵巢发育不良	luan chao fa yu bu liang	1
卵巢发育异常	luan chao fa yu yi chang	2
卵巢囊肿	luan chao nang zhong	45
卵巢囊肿剔除术	luan chao nang zhong ti chu shu	6
卵巢妊娠	luan chao ren shen	1
