# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
原生应用	yuan sheng ying yong	41
原生控件	yuan sheng kong jian	10
原语	yuan yu	13
原质化	yuan zhi hua	1
去广告	qu guang gao	9
去空格	qu kong ge	9
去除标题栏	qu chu biao ti lan	8
去除背景	qu chu bei jing	4
去雾	qu wu	8
参数优化	can shu you hua	12
参数信息	can shu xin xi	6
参数化类型	can shu hua lei xing	15
参数化设计	can shu hua she ji	4
参数寻优	can shu xun you	8
参数文件	can shu wen jian	13
参数测试	can shu ce shi	11
参数空间	can shu kong jian	39
参数约束	can shu yue shu	1
参数绑定	can shu bang ding	8
参数解析	can shu jie xi	2
参数设置	can shu she zhi	33
参数详解	can shu xiang jie	11
参数说明	can shu shuo ming	6
参数配置	can shu pei zhi	5
参照完整性	can zhao wan zheng xing	10
参考帧	can kao zhen	12
参考文档	can kao wen dang	18
参考码	can kao ma	5
参考资源	can kao zi yuan	11
叉乘	cha cheng	18
叉树	cha shu	18
友元函数	you yuan han shu	1
友元程序集	you yuan cheng xu ji	4
友元类	you yuan lei	12
友情链接	you qing lian jie	13
友盟分享	you meng fen xiang	10
友盟推送	you meng tui song	9
友盟统计	you meng tong ji	11
双亲委派模型	shuang qin wei pai mo xing	10
双位编码	shuang wei bian ma	5
双击事件	shuang ji shi jian	2
双击标签	shuang ji biao qian	7
双击标签栏	shuang ji biao qian lan	5
双击退出	shuang ji tui chu	8
双分支	shuang fen zhi	3
双列直插封装	shuang lie zhi cha feng zhuang	33
双列直插式	shuang lie zhi cha shi	10
双向交替通信	shuang xiang jiao ti tong xin	7
双向传输	shuang xiang chuan shu	15
双向关联	shuang xiang guan lian	12
双向同时通信	shuang xiang tong shi tong xin	6
双向广搜	shuang xiang guang sou	10
双向循环链表	shuang xiang xun huan lian biao	8
双向总线	shuang xiang zong xian	2
双向搜索	shuang xiang sou suo	3
双向绑定	shuang xiang bang ding	2
双向认证	shuang xiang ren zheng	1
双向通信	shuang xiang tong xin	42
双向链表	shuang xiang lian biao	32
双向队列	shuang xiang dui lie	12
双工传输	shuang gong chuan shu	6
双工方式	shuang gong fang shi	7
双循环链表	shuang xun huan lian biao	1
双指针	shuang zhi zhen	12
双机热备	shuang ji re bei	1
双目视觉	shuang mu shi jue	10
双目运算符	shuang mu yun suan fu	1
双端链表	shuang duan lian biao	9
双端队列	shuang duan dui lie	7
双精度小数	shuang jing du xiao shu	7
双系统	shuang xi tong	12
双系统安装	shuang xi tong an zhuang	8
双线性内插	shuang xian xing nei cha	3
双线性插值	shuang xian xing cha zhi	32
双线性过滤	shuang xian xing guo lv	20
双绞电缆	shuang jiao dian lan	5
双缓冲	shuang huan chong	4
双缓冲区	shuang huan chong qu	3
双缓存	shuang huan cun	10
双网卡	shuang wang ka	2
双联通	shuang lian tong	2
双联通分量	shuang lian tong fen liang	9
双边滤波	shuang bian lv bo	1
双进程守护	shuang jin cheng shou hu	7
双连通	shuang lian tong	5
双连通分支	shuang lian tong fen zhi	1
双连通分量	shuang lian tong fen liang	2
双连通性	shuang lian tong xing	6
双重检查锁	shuang chong jian cha suo	9
双重锁定	shuang chong suo ding	2
双链表	shuang lian biao	4
双飞翼布局	shuang fei yi bu ju	7
反依赖	fan yi lai	1
反向传值	fan xiang chuan zhi	7
反向传播	fan xiang chuan bo	39
反向传播算法	fan xiang chuan bo suan fa	43
反向信道	fan xiang xin dao	5
反向工程	fan xiang gong cheng	47
反向恢复	fan xiang hui fu	7
反向投影	fan xiang tou ying	1
反向推理	fan xiang tui li	2
反地理编码	fan di li bian ma	10
反射体	fan she ti	47
反射定律	fan she ding lv	27
反射库	fan she ku	6
反射技术	fan she ji shu	6
反射机制	fan she ji zhi	17
反射贴图	fan she tie tu	3
反序列化	fan xu lie hua	33
反引号	fan yin hao	11
反归档	fan gui dang	10
反斜杠	fan xie gang	36
反汇编程序	fan hui bian cheng xu	3
反渗透设备	fan shen tou she bei	7
反爬虫	fan pa chong	1
反病毒工具	fan bing du gong ju	6
反病毒工程师	fan bing du gong cheng shi	7
反码	fan ma	37
反编码	fan bian ma	1
反编译	fan bian yi	29
反编译器	fan bian yi qi	10
反编译工具	fan bian yi gong ju	1
反编译程序	fan bian yi cheng xu	1
反读	fan du	26
反调试	fan tiao shi	10
反转单链表	fan zhuan dan lian biao	9
反转字符串	fan zhuan zi fu chuan	1
反转链表	fan zhuan lian biao	11
反馈控制	fan kui kong zhi	25
发布网站	fa bu wang zhan	41
发布订阅	fa bu ding yue	12
发布证书	fa bu zheng shu	1
发送邮件	fa song you jian	48
发音比较	fa yin bi jiao	19
取主机名	qu zhu ji ming	1
取代码	qu dai ma	1
取分钟	qu fen zhong	5
取列数	qu lie shu	5
取命令行	qu ming ling xing	5
取回图片	qu hui tu pian	5
取回客户	qu hui ke hu	1
取回数据	qu hui shu ju	1
取地址	qu di zhi	21
取字段名	qu zi duan ming	8
取宽度	qu kuan du	6
取对象	qu dui xiang	11
取年份	qu nian fen	1
取当前目录	qu dang qian mu lu	1
取指	qu zhi	10
取指令	qu zhi ling	10
取数值	qu shu zhi	6
取数组下标	qu shu zu xia biao	5
取文件属性	qu wen jian shu xing	5
取文件长度	qu wen jian chang du	6
取文本	qu wen ben	7
取文本长度	qu wen ben chang du	5
取景变换	qu jing bian huan	7
取模运算	qu mo yun suan	11
取消装箱	qu xiao zhuang xiang	8
取石子游戏	qu shi zi you xi	10
取秒	qu miao	6
取绝对值	qu jue dui zhi	27
取背景色	qu bei jing se	5
取轮廓	qu lun kuo	5
取运行目录	qu yun xing mu lu	5
取进程	qu jin cheng	8
取错误	qu cuo wu	2
取随机数	qu sui ji shu	10
受保护资源	shou bao hu zi yuan	8
受控对象	shou kong dui xiang	1
受控访问	shou kong fang wen	1
受查异常	shou cha yi chang	8
受限访问	shou xian fang wen	2
变位词	bian wei ci	14
变化检测	bian hua jian ce	13
变参	bian can	1
变参函数	bian can han shu	10
变址	bian zhi	6
变址寄存器	bian zhi ji cun qi	3
变形转换	bian xing zhuan huan	1
变态跳台阶	bian tai tiao tai jie	7
变换中心	bian huan zhong xin	6
变换分析	bian huan fen xi	1
变换处理	bian huan chu li	1
变换系统	bian huan xi tong	10
变换编码	bian huan bian ma	28
变换规则	bian huan gui ze	18
变迁规则	bian qian gui ze	5
变量交换	bian liang jiao huan	1
变量作用域	bian liang zuo yong yu	6
变量初始化	bian liang chu shi hua	5
变量命名	bian liang ming ming	4
变量声明	bian liang sheng ming	32
变量提升	bian liang ti sheng	1
变量类型	bian liang lei xing	31
变长参数	bian chang can shu	6
变长编码	bian chang bian ma	12
叠片过滤器	die pian guo lv qi	5
口令攻击	kou ling gong ji	1
句子片段	ju zi pian duan	2
句柄类	ju bing lei	9
句法关系	ju fa guan xi	10
句法分析	ju fa fen xi	25
句法树	ju fa shu	5
句法模式识别	ju fa mo shi shi bie	1
句法规则	ju fa gui ze	20
另存为	ling cun wei	18
只读属性	zhi du shu xing	5
召回率	zhao hui lv	19
可串行性	ke chuan xing xing	12
可信计算基	ke xin ji suan ji	5
可修改性	ke xiu gai xing	5
可分级性	ke fen ji xing	7
可分配空间	ke fen pei kong jian	8
可变分区	ke bian fen qu	8
可变参数	ke bian can shu	26
可变参数函数	ke bian can shu han shu	21
可变参数列表	ke bian can shu lie biao	3
可变参数模板	ke bian can shu mu ban	16
可变字符串	ke bian zi fu chuan	1
可变字长	ke bian zi chang	1
可变数组	ke bian shu zu	1
可变比特率	ke bian bi te lv	16
可变长参数	ke bian chang can shu	1
可复用性	ke fu yong xing	6
可复用构件	ke fu yong gou jian	2
可存取性	ke cun qu xing	5
可安装性	ke an zhuang xing	1
可实现性	ke shi xian xing	23
可屏蔽中断	ke ping bi zhong duan	8
可并堆	ke bing dui	2
可恢复性	ke hui fu xing	10
可扩充性	ke kuo chong xing	27
可扩展语言	ke kuo zhan yu yan	2
可扩缩性	ke kuo suo xing	2
可拓展性	ke tuo zhan xing	3
可持久化	ke chi jiu hua	23
可擦	ke ca	32
可替换参数	ke ti huan can shu	8
可服务性	ke fu wu xing	3
可查询类型	ke cha xun lei xing	5
可检测性	ke jian ce xing	1
可测试性	ke ce shi xing	37
可测试性设计	ke ce shi xing she ji	15
可满足性问题	ke man zu xing wen ti	35
可理解性	ke li jie xing	34
可穿戴应用	ke chuan dai ying yong	7
可穿戴计算机	ke chuan dai ji suan ji	3
可管理性	ke guan li xing	7
可编程控制器	ke bian cheng kong zhi qi	16
可编辑	ke bian ji	13
可见性问题	ke jian xing wen ti	6
可见点	ke jian dian	7
可视分析	ke shi fen xi	2
可视化工具	ke shi hua gong ju	17
可视化管理器	ke shi hua guan li qi	5
可视化编程	ke shi hua bian cheng	16
可视语言	ke shi yu yan	5
可调度性	ke diao du xing	4
可路由协议	ke lu you xie yi	1
可达图	ke da tu	5
可选值	ke xuan zhi	3
可选参数	ke xuan can shu	27
可选工作流	ke xuan gong zuo liu	5
可选类型	ke xuan lei xing	11
可选链	ke xuan lian	2
可重入	ke chong ru	43
可重入函数	ke chong ru han shu	4
可靠性分析	ke kao xing fen xi	5
可靠性增长	ke kao xing zeng zhang	5
可靠性数据	ke kao xing shu ju	6
可靠性模型	ke kao xing mo xing	5
可靠性设计	ke kao xing she ji	6
可靠性评价	ke kao xing ping jia	6
台式计算机	tai shi ji suan ji	16
右匹配	you pi pei	9
右外连接	you wai lian jie	9
右滑返回	you hua fan hui	9
右线性文法	you xian xing wen fa	5
右连接	you lian jie	8
右键菜单	you jian cai dan	29
各向异性过滤	ge xiang yi xing guo lv	30
各种技术	ge zhong ji shu	12
各种排序	ge zhong pai xu	12
各种搜索	ge zhong sou suo	9
各种资料	ge zhong zi liao	12
各种错误	ge zhong cuo wu	25
各类排序算法	ge lei pai xu suan fa	6
合取范式	he qu fan shi	18
合并单元格	he bing dan yuan ge	10
合并拷贝	he bing kao bei	7
合并按钮	he bing an niu	6
合并排序	he bing pai xu	9
合并文件	he bing wen jian	10
合并流	he bing liu	3
合并边框	he bing bian kuang	7
合并链表	he bing lian biao	9
合成模式	he cheng mo shi	6
合成视频	he cheng shi pin	3
合肥人才网	he fei ren cai wang	7
吉比特以太网	ji bi te yi tai wang	39
同余定理	tong yu ding li	1
同余方程	tong yu fang cheng	19
同余模定理	tong yu mo ding li	8
同时性	tong shi xing	8
同步互斥	tong bu hu chi	1
同步代码块	tong bu dai ma kuai	1
同步传输	tong bu chuan shu	27
同步函数	tong bu han shu	4
同步刷新	tong bu shua xin	9
同步原语	tong bu yuan yu	9
同步复制	tong bu fu zhi	8
同步序列	tong bu xu lie	5
同步异步	tong bu yi bu	11
同步总线	tong bu zong xian	1
同步控制	tong bu kong zhi	16
同步操作	tong bu cao zuo	8
同步方法	tong bu fang fa	7
同步时分复用	tong bu shi fen fu yong	5
同步机制	tong bu ji zhi	16
同步算法	tong bu suan fa	1
同步请求	tong bu qing qiu	3
同步通信	tong bu tong xin	6
同步锁	tong bu suo	2
同源策略	tong yuan ce lve	13
同色三角形	tong se san jiao xing	7
名字对象	ming zi dui xiang	6
名称空间	ming cheng kong jian	37
后台下载	hou tai xia zai	4
后台任务	hou tai ren wu	9
后台作业	hou tai zuo ye	2
后台分页	hou tai fen ye	7
后台定位	hou tai ding wei	9
后台开发	hou tai kai fa	2
后台执行	hou tai zhi xing	13
后台播放	hou tai bo fang	8
后台服务器	hou tai fu wu qi	21
后台框架	hou tai kuang jia	9
后台模板	hou tai mu ban	9
后台监控	hou tai jian kong	6
后台程序	hou tai cheng xu	45
后台管理	hou tai guan li	11
后台管理框架	hou tai guan li kuang jia	5
后台线程	hou tai xian cheng	4
后台语言	hou tai yu yan	10
后台进程	hou tai jin cheng	34
后向传播	hou xiang chuan bo	1
后备系统	hou bei xi tong	26
后序	hou xu	13
后序遍历	hou xu bian li	17
后援存储器	hou yuan cun chu qi	6
后端开发	hou duan kai fa	2
后端服务	hou duan fu wu	11
后端框架	hou duan kuang jia	1
后续遍历	hou xu bian li	11
后缀数组	hou zhui shu zu	8
后缀树	hou zhui shu	24
后缀树组	hou zhui shu zu	6
后缀自动机	hou zhui zi dong ji	10
后缀表达式	hou zhui biao da shi	4
后进先出	hou jin xian chu	25
向上兼容	xiang shang jian rong	5
向上转型	xiang shang zhuan xing	1
向下转型	xiang xia zhuan xing	13
向量中断	xiang liang zhong duan	3
向量化	xiang liang hua	23
向量处理器	xiang liang chu li qi	36
向量指令	xiang liang zhi ling	8
向量数据结构	xiang liang shu ju jie gou	6
向量显示	xiang liang xian shi	2
向量空间模型	xiang liang kong jian mo xing	32
向量编码	xiang liang bian ma	6
向量量化	xiang liang liang hua	20
启动事务	qi dong shi wu	2
启动代码	qi dong dai ma	11
启动动画	qi dong dong hua	1
启动图	qi dong tu	10
启动图片	qi dong tu pian	11
启动失败	qi dong shi bai	15
启动子程序	qi dong zi cheng xu	7
启动应用	qi dong ying yong	23
启动报错	qi dong bao cuo	11
启动文件	qi dong wen jian	5
启动方式	qi dong fang shi	25
启动时打开	qi dong shi da kai	1
启动服务	qi dong fu wu	16
启动模式	qi dong mo shi	6
启动流程	qi dong liu cheng	6
启动画面	qi dong hua mian	27
启动界面	qi dong jie mian	6
启动盘	qi dong pan	30
启动脚本	qi dong jiao ben	24
启动过程	qi dong guo cheng	48
启动错误	qi dong cuo wu	1
启动页	qi dong ye	2
启动页面	qi dong ye mian	4
启动项	qi dong xiang	10
启动顺序	qi dong shun xu	9
启发式信息	qi fa shi xin xi	1
启发式函数	qi fa shi han shu	2
启发式合并	qi fa shi he bing	10
启发式技术	qi fa shi ji shu	8
启发式搜索	qi fa shi sou suo	16
启发式方法	qi fa shi fang fa	35
启发式知识	qi fa shi zhi shi	5
启发式算法	qi fa shi suan fa	44
启发式规则	qi fa shi gui ze	1
吸血鬼数字	xi xue gui shu zi	6
吸费电话加盟	xi fei dian hua jia meng	6
员工管理系统	yuan gong guan li xi tong	8
周期性中断	zhou qi xing zhong duan	5
周期窃取	zhou qi qie qu	4
命令处理程序	ming ling chu li cheng xu	1
命令大全	ming ling da quan	10
命令接口	ming ling jie kou	3
命令操作	ming ling cao zuo	8
命令模式	ming ling mo shi	18
命令窗口	ming ling chuang kou	5
命令系统	ming ling xi tong	9
命令缓冲区	ming ling huan chong qu	2
命令行参数	ming ling xing can shu	39
命令行接口	ming ling xing jie kou	11
命令行操作	ming ling xing cao zuo	4
命令行编译	ming ling xing bian yi	11
命令解释程序	ming ling jie shi cheng xu	10
命令详解	ming ling xiang jie	12
命令语言	ming ling yu yan	23
命令重试	ming ling chong shi	5
命名容器	ming ming rong qi	7
命名约定	ming ming yue ding	32
命名规范	ming ming gui fan	34
咨询系统	zi xun xi tong	6
品高云	pin gao yun	4
哈佛结构	ha fo jie gou	23
哈夫曼编码	ha fu man bian ma	37
哈密顿回路	ha mi dun hui lu	21
哈希冲突	ha xi chong tu	10
哈希加密	ha xi jia mi	8
哈希映射	ha xi ying she	10
哈希查找	ha xi cha zhao	10
哈希算法	ha xi suan fa	18
哈弗曼编码	ha fu man bian ma	9
响应分析	xiang ying fen xi	1
响应头	xiang ying tou	13
响应式布局	xiang ying shi bu ju	11
响应式编程	xiang ying shi bian cheng	31
响应式设计	xiang ying shi she ji	9
响应报文	xiang ying bao wen	4
响应窗口	xiang ying chuang kou	1
响应者链	xiang ying zhe lian	11
响应者链条	xiang ying zhe lian tiao	8
响应链	xiang ying lian	2
唤醒等待	huan xing deng dai	2
唯一分解定理	wei yi fen jie ding li	11
唯一序列号	wei yi xu lie hao	3
商务智能	shang wu zhi neng	16
商城项目	shang cheng xiang mu	1
喜欢编程	xi huan bian cheng	2
喷水装置	pen shui zhuang zhi	23
喷泉模型	pen quan mo xing	2
嗅探器	xiu tan qi	18
噪声容限	zao sheng rong xian	3
噪声抑制	zao sheng yi zhi	4
噪音抑制	zao yin yi zhi	4
四元组	si yuan zu	23
四叉树	si cha shu	6
四大组件	si da zu jian	13
四旋翼飞行器	si xuan yi fei xing qi	3
四次握手	si ci wo shou	3
四种启动模式	si zhong qi dong mo shi	11
四轴飞行器	si zhou fei xing qi	28
四边形不等式	si bian xing bu deng shi	1
回发	hui fa	11
回叫	hui jiao	9
回弹	hui tan	12
回归树	hui gui shu	14
回归测试	hui gui ce shi	35
回扫时间	hui sao shi jian	6
回收程序	hui shou cheng xu	5
回文串	hui wen chuan	1
回文判断	hui wen pan duan	8
回文子串	hui wen zi chuan	7
回文树	hui wen shu	8
回文自动机	hui wen zi dong ji	7
回朔法	hui shuo fa	7
回溯法	hui su fa	24
回溯算法	hui su suan fa	5
回滚事务	hui gun shi wu	4
回答模式	hui da mo shi	2
回调接口	hui tiao jie kou	2
回调方法	hui tiao fang fa	4
回调机制	hui tiao ji zhi	1
回调模式	hui tiao mo shi	1
回车换行	hui che huan xing	5
回车符	hui che fu	16
回退栈	hui tui zhan	11
回音消除	hui yin xiao chu	8
因子分析	yin zi fen xi	38
因子分解	yin zi fen jie	25
因子分解法	yin zi fen jie fa	5
因果推理	yin guo tui li	11
因果逻辑	yin guo luo ji	2
因特网协会	yin te wang xie hui	1
因特网工程	yin te wang gong cheng	1
因特网电话	yin te wang dian hua	1
团队协作工具	tuan dui xie zuo gong ju	8
团队建设	tuan dui jian she	30
团队管理	tuan dui guan li	41
园区网	yuan qu wang	1
固件库	gu jian ku	10
固定字长	gu ding zi chang	3
固定存储器	gu ding cun chu qi	6
固定宽度	gu ding kuan du	19
固态存储	gu tai cun chu	16
固态存储器	gu tai cun chu qi	1
固态盘	gu tai pan	2
固有特征	gu you te zheng	10
图书管理系统	tu shu guan li xi tong	6
图书馆客户端	tu shu guan ke hu duan	5
图优化	tu you hua	1
图像代码	tu xiang dai ma	1
图像元	tu xiang yuan	8
图像几何学	tu xiang ji he xue	5
图像函数	tu xiang han shu	3
图像分类	tu xiang fen lei	12
图像匹配	tu xiang pi pei	9
图像去噪	tu xiang qu zao	6
图像去雾	tu xiang qu wu	1
图像变换	tu xiang bian huan	5
图像合成	tu xiang he cheng	16
图像图像	tu xiang tu xiang	8
图像增强	tu xiang zeng qiang	27
图像处理算法	tu xiang chu li suan fa	6
图像复原	tu xiang fu yuan	8
图像局部特征	tu xiang ju bu te zheng	8
图像平滑	tu xiang ping hua	2
图像平面	tu xiang ping mian	21
图像序列	tu xiang xu lie	27
图像拼接	tu xiang pin jie	8
图像搜索	tu xiang sou suo	30
图像旋转	tu xiang xuan zhuan	5
图像梯度	tu xiang ti du	5
图像检索	tu xiang jian suo	36
图像滤波	tu xiang lv bo	1
图像滤镜	tu xiang lv jing	2
图像特征	tu xiang te zheng	19
图像特征提取	tu xiang te zheng ti qu	2
图像特效	tu xiang te xiao	1
图像理解	tu xiang li jie	8
图像直方图	tu xiang zhi fang tu	9
图像空间	tu xiang kong jian	5
图像算法	tu xiang suan fa	2
图像编码	tu xiang bian ma	21
图像编解码器	tu xiang bian jie ma qi	2
图像缩放	tu xiang suo fang	16
图像融合	tu xiang rong he	6
图像裁剪	tu xiang cai jian	9
图像识别算法	tu xiang shi bie suan fa	7
图像质量评价	tu xiang zhi liang ping jia	8
图像配准	tu xiang pei zhun	13
图像重建	tu xiang chong jian	7
图像金字塔	tu xiang jin zi ta	1
图像锐化	tu xiang rui hua	9
图元属性	tu yuan shu xing	5
图吧	tu ba	12
图型结构	tu xing jie gou	6
图层路径	tu ceng lu jing	6
图形上下文	tu xing shang xia wen	12
图形保真	tu xing bao zhen	2
图形包	tu xing bao	2
图形化界面	tu xing hua jie mian	19
图形图像	tu xing tu xiang	23
图形图像处理	tu xing tu xiang chu li	3
图形图表	tu xing tu biao	1
图形失真	tu xing shi zhen	5
图形字符	tu xing zi fu	33
图形学原理	tu xing xue yuan li	4
图形学基础	tu xing xue ji chu	6
图形工作站	tu xing gong zuo zhan	18
图形开发	tu xing kai fa	6
图形打印	tu xing da yin	4
图形技术	tu xing ji shu	42
图形数据库	tu xing shu ju ku	5
图形渲染	tu xing xuan ran	34
图形用户接口	tu xing yong hu jie kou	4
图形算法	tu xing suan fa	7
图形系统	tu xing xi tong	32
图形结构	tu xing jie gou	11
图形绘制	tu xing hui zhi	35
图形编程	tu xing bian cheng	15
图形芯片	tu xing xin pian	25
图形设备	tu xing she bei	23
图形设备界面	tu xing she bei jie mian	6
图形识别	tu xing shi bie	2
图形语言	tu xing yu yan	9
图形输入板	tu xing shu ru ban	6
图形适配器	tu xing shi pei qi	22
图搜索	tu sou suo	4
图数据库	tu shu ju ku	39
图文教程	tu wen jiao cheng	3
图文混排	tu wen hun pai	2
图文电视	tu wen dian shi	36
图标字体	tu biao zi ti	1
图标类型	tu biao lei xing	1
图标设计	tu biao she ji	29
图标集中	tu biao ji zhong	6
图案叠加	tu an die jia	1
图灵机器人	tu ling ji qi ren	9
图片上传	tu pian shang chuan	13
图片下载	tu pian xia zai	7
图片优化	tu pian you hua	10
图片切换	tu pian qie huan	1
图片剪切	tu pian jian qie	9
图片剪裁	tu pian jian cai	2
图片加载	tu pian jia zai	14
图片加载框架	tu pian jia zai kuang jia	11
图片压缩	tu pian ya suo	5
图片合成	tu pian he cheng	3
图片圆角	tu pian yuan jiao	10
图片处理	tu pian chu li	12
图片展示	tu pian zhan shi	33
图片异步加载	tu pian yi bu jia zai	11
图片拉伸	tu pian la shen	11
图片放大	tu pian fang da	1
图片旋转	tu pian xuan zhuan	11
图片服务器	tu pian fu wu qi	10
图片查看器	tu pian cha kan qi	2
图片格式	tu pian ge shi	33
图片框架	tu pian kuang jia	8
图片水印	tu pian shui yin	2
图片浏览	tu pian liu lan	8
图片浏览器	tu pian liu lan qi	8
图片滚动	tu pian gun dong	1
图片特效	tu pian te xiao	2
图片管理	tu pian guan li	12
图片缓存	tu pian huan cun	14
图片编辑	tu pian bian ji	35
图片缩放	tu pian suo fang	12
图片自适应	tu pian zi shi ying	9
图片裁剪	tu pian cai jian	11
图片识别	tu pian shi bie	2
图片资源	tu pian zi yuan	7
图片转换	tu pian zhuan huan	6
图片轮播	tu pian lun bo	11
图片轮播器	tu pian lun bo qi	10
图片适配	tu pian shi pei	9
图片选择	tu pian xuan ze	2
图片选择器	tu pian xuan ze qi	10
图片预览	tu pian yu lan	5
图片验证码	tu pian yan zheng ma	3
图的存储	tu de cun chu	10
图的遍历	tu de bian li	6
图符	tu fu	32
图算法	tu suan fa	40
图结构	tu jie gou	11
图表库	tu biao ku	1
图论知识	tu lun zhi shi	7
图论算法	tu lun suan fa	5
图语法	tu yu fa	4
图象处理	tu xiang chu li	15
图遍历	tu bian li	13
圆弧插补	yuan hu cha bu	4
圆形头像	yuan xing tou xiang	2
圆形菜单	yuan xing cai dan	10
圆形进度条	yuan xing jin du tiao	11
圆角图片	yuan jiao tu pian	11
圆角矩形	yuan jiao ju xing	41
圆角边框	yuan jiao bian kuang	10
土地网	tu di wang	4
在线升级	zai xian sheng ji	10
在线帮助	zai xian bang zhu	22
在线开发	zai xian kai fa	9
在线更新	zai xian geng xin	15
在线杀毒	zai xian sha du	5
在线游戏开发	zai xian you xi kai fa	1
在线笔试	zai xian bi shi	2
在线算法	zai xian suan fa	11
在线编程	zai xian bian cheng	4
在线编辑器	zai xian bian ji qi	8
在线表格	zai xian biao ge	4
在线预览	zai xian yu lan	5
地图代码	di tu dai ma	6
地图切片	di tu qie pian	1
地图制图	di tu zhi tu	34
地图定位	di tu ding wei	16
地图工具	di tu gong ju	5
地图应用	di tu ying yong	37
地图开发	di tu kai fa	3
地址传递	di zhi chuan di	12
地址变换	di zhi bian huan	1
地址字段	di zhi zi duan	8
地址寄存器	di zhi ji cun qi	13
地址总线	di zhi zong xian	48
地址掩码	di zhi yan ma	12
地址映射	di zhi ying she	19
地址栏搜索	di zhi lan sou suo	1
地址格式	di zhi ge shi	10
地址管理	di zhi guan li	2
地址解析	di zhi jie xi	12
地址解析协议	di zhi jie xi xie yi	20
地址译码器	di zhi yi ma qi	1
地理处理服务	di li chu li fu wu	7
地理定位	di li ding wei	41
地理编码	di li bian ma	43
地统计	di tong ji	9
地网	di wang	7
场景切换	chang jing qie huan	17
场频	chang pin	4
均值滤波	jun zhi lv bo	8
均衡化	jun heng hua	10
均衡器	jun heng qi	45
坐标系转换	zuo biao xi zhuan huan	6
坐标转换	zuo biao zhuan huan	48
块元素	kuai yuan su	31
块状元素	kuai zhuang yuan su	11
块状树	kuai zhuang shu	6
块状链表	kuai zhuang lian biao	6
块级作用域	kuai ji zuo yong yu	4
块级元素	kuai ji yuan su	6
块结构语言	kuai jie gou yu yan	6
坦克大战	tan ke da zhan	40
垂直分片	chui zhi fen pian	6
垂直刻度	chui zhi ke du	1
垂直居中	chui zhi ju zhong	1
垂直扫描频率	chui zhi sao miao pin lv	6
垂直翻转	chui zhi fan zhuan	7
垃圾回收机制	la ji hui shou ji zhi	20
垃圾回收算法	la ji hui shou suan fa	5
垃圾收集器	la ji shou ji qi	41
垃圾收集算法	la ji shou ji suan fa	11
垃圾清理	la ji qing li	46
埃及分数	ai ji fen shu	24
域分解	yu fen jie	2
域名控制器	yu ming kong zhi qi	2
域名服务	yu ming fu wu	26
培训材料	pei xun cai liao	11
培训记录	pei xun ji lu	4
基于主体	ji yu zhu ti	4
基于实例	ji yu shi li	8
基于构件	ji yu gou jian	5
基于特征	ji yu te zheng	11
基于知识	ji yu zhi shi	31
基于规则	ji yu gui ze	47
基于角色授权	ji yu jue se shou quan	5
基于解释	ji yu jie shi	5
基准程序	ji zhun cheng xu	8
基因数据处理	ji yin shu ju chu li	1
基址寄存器	ji zhi ji cun qi	3
基尔霍夫矩阵	ji er huo fu ju zhen	7
基带传输	ji dai chuan shu	5
基数排序	ji shu pai xu	22
基本优先级	ji ben you xian ji	7
基本命令	ji ben ming ling	21
基本平台	ji ben ping tai	4
基本排序算法	ji ben pai xu suan fa	8
基本控件	ji ben kong jian	2
基本数据类型	ji ben shu ju lei xing	33
基本数据结构	ji ben shu ju jie gou	6
基本组件	ji ben zu jian	23
基本词	ji ben ci	6
基本语法	ji ben yu fa	31
基本输入输出	ji ben shu ru shu chu	12
基本运算符	ji ben yun suan fu	3
基本配置	ji ben pei zhi	42
基本集	ji ben ji	10
基础代码	ji chu dai ma	12
基础函数	ji chu han shu	4
基础动画	ji chu dong hua	10
基础原理	ji chu yuan li	29
基础命令	ji chu ming ling	1
基础备份	ji chu bei fen	7
基础夯实	ji chu hang shi	1
基础工具	ji chu gong ju	18
基础应用	ji chu ying yong	14
基础操作	ji chu cao zuo	11
基础数据类型	ji chu shu ju lei xing	8
基础数据结构	ji chu shu ju jie gou	2
基础算法	ji chu suan fa	5
基础类	ji chu lei	13
基础类库	ji chu lei ku	12
基础网	ji chu wang	6
基础设置	ji chu she zhi	14
基础语法	ji chu yu fa	11
基础语言	ji chu yu yan	9
基础软件	ji chu ruan jian	27
基础部件	ji chu bu jian	10
基础部分	ji chu bu fen	12
基站定位	ji zhan ding wei	2
基类	ji lei	17
堆优化	dui you hua	3
堆内存	dui nei cun	4
堆区	dui qu	2
堆和栈	dui he zhan	2
堆排	dui pai	2
堆排序	dui pai xu	36
堆栈布局	dui zhan bu ju	7
堡垒主机	bao lei zhu ji	6
堡垒机	bao lei ji	1
填充区	tian chong qu	2
填充矩形	tian chong ju xing	1
填充空白	tian chong kong bai	1
增删改	zeng shan gai	9
增删改查	zeng shan gai cha	5
增删查改	zeng shan cha gai	10
增加字段	zeng jia zi duan	1
增加节点	zeng jia jie dian	3
增强学习	zeng qiang xue xi	17
增量升级	zeng liang sheng ji	4
增量压缩	zeng liang ya suo	1
增量备份	zeng liang bei fen	12
增量学习	zeng liang xue xi	1
增量更新	zeng liang geng xin	7
增量编译	zeng liang bian yi	5
增量转储	zeng liang zhuan chu	5
