# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
力有未逮	li you wei dai	34
力透纸背	li tou zhi bei	10
功到自然成	gong dao zi ran cheng	1
功名富贵	gong ming fu gui	14
功臣自居	gong chen zi ju	5
动荡不定	dong dang bu ding	9
势单力孤	shi dan li gu	22
势如水火	shi ru shui huo	18
勃然变色	bo ran bian se	4
勇者不惧	yong zhe bu ju	10
勒索敲诈	le suo qiao zha	7
勤学好问	qin xue hao wen	19
勤能补拙	qin neng bu zhuo	43
勿以善小而不为	wu yi shan xiao er bu wei	28
勿以恶小而为之	wu yi e xiao er wei zhi	23
勿谓言之不预也	wu wei yan zhi bu yu ye	13
包办代替	bao ban dai ti	3
包藏祸心	bao cang huo xin	42
化腐朽为神奇	hua fu xiu wei shen qi	48
化零为整	hua ling wei zheng	9
北门锁钥	bei men suo yue	7
匠心独具	jiang xin du ju	17
匹夫无罪	pi fu wu zui	2
匹夫有责	pi fu you ze	44
区区小事	qu qu xiao shi	4
十二万分	shi er wan fen	17
十八般兵器	shi ba ban bing qi	32
十字街口	shi zi jie kou	11
十年树木	shi nian shu mu	25
十年树木百年树人	shi nian shu mu bai nian shu ren	6
十年生聚	shi nian sheng ju	7
十有八九	shi you ba jiu	28
十目所视	shi mu suo shi	1
十里洋场	shi li yang chang	37
千人一面	qian ren yi mian	12
千依百顺	qian yi bai shun	18
千古不朽	qian gu bu xiu	1
千古绝唱	qian gu jue chang	26
千古罪人	qian gu zui ren	44
千叮万嘱	qian ding wan zhu	12
千回百转	qian hui bai zhuan	35
千姿万态	qian zi wan tai	6
千峰万壑	qian feng wan he	1
千年万载	qian nian wan zai	1
千斤重担	qian jin zhong dan	2
千沟万壑	qian gou wan he	10
千秋万世	qian qiu wan shi	22
千里之堤	qian li zhi di	1
千里之堤毁于蚁穴	qian li zhi di hui yu yi xue	8
千里之堤溃于蚁穴	qian li zhi di kui yu yi xue	8
千里之行	qian li zhi xing	18
千里之行始于足下	qian li zhi xing shi yu zu xia	16
千里姻缘一线牵	qian li yin yuan yi xian qian	18
千里送鹅毛	qian li song e mao	18
千金一诺	qian jin yi nuo	4
千金不换	qian jin bu huan	3
千门万户	qian men wan hu	9
千难万苦	qian nan wan ku	1
千难万难	qian nan wan nan	4
半丝半缕	ban si ban lv	1
半壁河山	ban bi he shan	10
半懂不懂	ban dong bu dong	10
半文半白	ban wen ban bai	7
半斤对八两	ban jin dui ba liang	7
半新半旧	ban xin ban jiu	1
半生半熟	ban sheng ban shu	7
半真半假	ban zhen ban jia	45
半部论语治天下	ban bu lun yu zhi tian xia	3
半饥半饱	ban ji ban bao	3
协力同心	xie li tong xin	11
卑之无甚高论	bei zhi wu shen gao lun	1
卑鄙无耻	bei bi wu chi	25
卑鄙龌龊	bei bi wo chuo	4
卓然不群	zhuo ran bu qun	2
单丝不成线	dan si bu cheng xian	1
单刀赴会	dan dao fu hui	35
卖儿卖女	mai er mai nv	12
卖弄风骚	mai nong feng sao	9
卖文为生	mai wen wei sheng	15
南征北讨	nan zheng bei tao	42
南橘北枳	nan ju bei zhi	11
南船北马	nan chuan bei ma	9
南郭先生	nan guo xian sheng	14
博拉尔德	bo la er de	1
博采众议	bo cai zhong yi	6
博闻强识	bo wen qiang zhi	35
危急存亡	wei ji cun wang	26
危急存亡之秋	wei ji cun wang zhi qiu	19
即兴之作	ji xing zhi zuo	8
历久弥坚	li jiu mi jian	9
历历可数	li li ke shu	4
历历可见	li li ke jian	4
历尽沧桑	li jin cang sang	37
厉行节约	li xing jie yue	43
厚今薄古	hou jin bo gu	8
原封未动	yuan feng wei dong	7
去头去尾	qu tou qu wei	8
参差不一	cen ci bu yi	5
参差错落	cen ci cuo luo	9
又见一帘幽梦	you jian yi lian you meng	39
双管猎枪	shuang guan lie qiang	19
反哺之情	fan bu zhi qing	6
反复推敲	fan fu tui qiao	26
反躬自省	fan gong zi xing	11
反骄破满	fan jiao po man	6
取义成仁	qu yi cheng ren	5
取之不尽用之不竭	qu zhi bu jin yong zhi bu jie	7
取之不竭	qu zhi bu jie	8
取信于人	qu xin yu ren	17
取其精华去其糟粕	qu qi jing hua qu qi zao po	8
取精用宏	qu jing yong hong	5
受制于人	shou zhi yu ren	41
变动不居	bian dong bu ju	7
变化无穷	bian hua wu qiong	42
变幻无穷	bian huan wu qiong	14
口出不逊	kou chu bu xun	1
口含天宪	kou han tian xian	6
口惠而实不至	kou hui er shi bu zhi	9
古圣先贤	gu sheng xian xian	15
古木参天	gu mu can tian	27
古稀之年	gu xi zhi nian	28
另眼相待	ling yan xiang dai	17
另请高明	ling qing gao ming	25
另谋高就	ling mou gao jiu	25
叨陪末座	tao pei mo zuo	6
只欠东风	zhi qian dong feng	18
只此一家	zhi ci yi jia	24
只此一家别无分店	zhi ci yi jia bie wu fen dian	6
只知其一不知其二	zhi zhi qi yi bu zhi qi er	3
只见树木	zhi jian shu mu	2
只见树木不见森林	zhi jian shu mu bu jian sen lin	1
只许州官放火	zhi xu zhou guan fang huo	41
可乘之隙	ke cheng zhi xi	2
可望不可即	ke wang bu ke ji	19
史不绝书	shi bu jue shu	18
号啕大哭	hao tao da ku	26
司马昭之心路人皆知	si ma zhao zhi xin lu ren jie zhi	7
吃不了兜着走	chi bu liao dou zhe zou	29
吃穿用度	chi chuan yong du	15
吃软不吃硬	chi ruan bu chi ying	24
各不相让	ge bu xiang rang	27
各为其主	ge wei qi zhu	46
各人自扫门前雪	ge ren zi sao men qian xue	3
各取所长	ge qu suo chang	7
各执己见	ge zhi ji jian	20
各显其能	ge xian qi neng	4
各有所短	ge you suo duan	3
各色人等	ge se ren deng	31
各色各样	ge se ge yang	46
吉凶未卜	ji xiong wei bu	3
吉凶祸福	ji xiong huo fu	29
吉日良辰	ji ri liang chen	10
同声同气	tong sheng tong qi	23
同声相应	tong sheng xiang ying	10
同床共枕	tong chuang gong zhen	35
同心共济	tong xin gong ji	2
同心合力	tong xin he li	34
同心戮力	tong xin lu li	9
同日而语	tong ri er yu	19
同气相求	tong qi xiang qiu	6
同气连枝	tong qi lian zhi	11
名不正言不顺	ming bu zheng yan bu shun	19
名利兼收	ming li jian shou	4
名士风流	ming shi feng liu	8
名实相副	ming shi xiang fu	4
名山胜水	ming shan sheng shui	4
名师出高徒	ming shi chu gao tu	45
名缰利锁	ming jiang li suo	3
名重一时	ming zhong yi shi	36
名门闺秀	ming men gui xiu	16
名闻天下	ming wen tian xia	41
名震一时	ming zhen yi shi	26
后人乘凉	hou ren cheng liang	8
后天下之乐而乐	hou tian xia zhi le er le	28
后悔不及	hou hui bu ji	5
后来者居上	hou lai zhe ju shang	22
后浪推前浪	hou lang tui qian lang	27
后生小子	hou sheng xiao zi	7
吐气扬眉	tu qi yang mei	13
君子一言	jun zi yi yan	45
君子之交	jun zi zhi jiao	39
君子固穷	jun zi gu qiong	3
君臣佐使	jun chen zuo shi	8
含笑九泉	han xiao jiu quan	23
含苞欲放	han bao yu fang	16
含英咀华	han ying ju hua	8
听其言而观其行	ting qi yan er guan qi xing	1
吴下阿蒙	wu xia a meng	9
吴头楚尾	wu tou chu wei	24
吴带当风	wu dai dang feng	7
吹牛拍马	chui niu pai ma	1
吹皱一池春水	chui zhou yi chi chun shui	7
吹糠见米	chui kang jian mi	8
吹面不寒杨柳风	chui mian bu han yang liu feng	4
告贷无门	gao dai wu men	3
呢喃细语	ni nan xi yu	4
周公吐哺	zhou gong tu bu	6
味如嚼蜡	wei ru jiao la	9
呵欠连天	he qian lian tian	6
呼朋唤友	hu peng huan you	25
命丧黄泉	ming sang huang quan	22
和气致祥	he qi zhi xiang	2
和而不同	he er bu tong	39
和衣而卧	he yi er wo	3
咸与维新	xian yu wei xin	1
哀哀父母	ai ai fu mu	2
哀而不伤	ai er bu shang	17
哀莫大于心死	ai mo da yu xin si	36
哀鸿遍野	ai hong bian ye	15
哭天喊地	ku tian han di	39
唠唠叨叨	lao lao dao dao	40
唾面自干	tuo mian zi gan	6
啃硬骨头	ken ying gu tou	2
啧啧称赞	ze ze cheng zan	8
喃喃细语	nan nan xi yu	7
喊冤叫屈	han yuan jiao qu	2
喘息未定	chuan xi wei ding	3
喜不自胜	xi bu zi sheng	14
喜逐颜开	xi zhu yan kai	1
喟然长叹	kui ran chang tan	5
喷薄欲出	pen bo yu chu	1
嘉言懿行	jia yan yi xing	3
嘤其鸣矣	ying qi ming yi	1
器宇轩昂	qi yu xuan ang	14
嚣张一时	xiao zhang yi shi	2
囊中取物	nang zhong qu wu	6
囊萤映雪	nang ying ying xue	1
四体不勤	si ti bu qin	5
四体不勤五谷不分	si ti bu qin wu gu bu fen	9
四方八面	si fang ba mian	42
四时八节	si shi ba jie	5
四海之内皆兄弟	si hai zhi nei jie xiong di	22
四海升平	si hai sheng ping	10
四肢百骸	si zhi bai hai	3
四面出击	si mian chu ji	8
回天之力	hui tian zhi li	12
回天无力	hui tian wu li	14
因循苟且	yin xun gou qie	6
国仇家恨	guo chou jia hen	42
国家兴亡匹夫有责	guo jia xing wang pi fu you ze	7
国将不国	guo jiang bu guo	13
国无宁日	guo wu ning ri	2
国而忘家	guo er wang jia	1
国难当头	guo nan dang tou	29
图穷匕见	tu qiong bi xian	7
图穷匕首见	tu qiong bi shou xian	2
图财害命	tu cai hai ming	4
土洋结合	tu yang jie he	12
在此一举	zai ci yi ju	22
地利不如人和	di li bu ru ren he	4
地利人和	di li ren he	40
地动山摇	di dong shan yao	48
地覆天翻	di fu tian fan	1
坎坷不平	kan ke bu ping	27
坐拥书城	zuo yong shu cheng	3
坐收渔人之利	zuo shou yu ren zhi li	19
坐言起行	zuo yan qi xing	10
坚强不屈	jian qiang bu qu	31
坚苦卓绝	jian ku zhuo jue	14
坚贞不渝	jian zhen bu yu	14
坦然自若	tan ran zi ruo	6
垂手可得	chui shou ke de	17
埋头苦干	mai tou ku gan	35
城门失火	cheng men shi huo	5
城门失火殃及池鱼	cheng men shi huo yang ji chi yu	1
堂皇富丽	tang huang fu li	3
塞上江南	sai shang jiang nan	13
塞北江南	sai bei jiang nan	10
墙头马上	qiang tou ma shang	19
墙里开花墙外香	qiang li kai hua qiang wai xiang	6
壁垒分明	bi lei fen ming	44
壁立千仞	bi li qian ren	15
士为知己者死	shi wei zhi ji zhe si	9
士别三日	shi bie san ri	7
士可杀不可辱	shi ke sha bu ke ru	24
壮士断腕	zhuang shi duan wan	13
壮心不已	zhuang xin bu yi	27
壮志豪情	zhuang zhi hao qing	16
声如洪钟	sheng ru hong zhong	15
声气相通	sheng qi xiang tong	10
声誉鹊起	sheng yu que qi	20
备而不用	bei er bu yong	15
夏日炎炎	xia ri yan yan	31
夏虫不可语冰	xia chong bu ke yu bing	47
外刚内柔	wai gang nei rou	45
外圆内方	wai yuan nei fang	23
外方内圆	wai fang nei yuan	25
夙夜匪懈	su ye fei xie	16
夙夜在公	su ye zai gong	7
多一事不如少一事	duo yi shi bu ru shao yi shi	47
多行不义必自毙	duo xing bu yi bi zi bi	37
多言多语	duo yan duo yu	6
多费口舌	duo fei kou she	18
夜不成寐	ye bu cheng mei	3
夜阑人静	ye lan ren jing	11
大事化小小事化了	da shi hua xiao xiao shi hua liao	12
大人先生	da ren xian sheng	5
大仁大义	da ren da yi	4
大动肝火	da dong gan huo	13
大厦将倾	da sha jiang qing	14
大发议论	da fa yi lun	5
大呼小叫	da hu xiao jiao	49
大喝一声	da he yi sheng	26
大嚷大叫	da rang da jiao	6
大地回春	da di hui chun	41
大地春回	da di chun hui	4
大处着眼	da chu zhuo yan	3
大头小尾	da tou xiao wei	7
大家风范	da jia feng fan	26
大将风度	da jiang feng du	20
大展宏图	da zhan hong tu	49
大巧若拙	da qiao ruo zhuo	9
大度包容	da du bao rong	2
大开大合	da kai da he	30
大张声势	da zhang sheng shi	4
大张挞伐	da zhang ta fa	4
大得人心	da de ren xin	2
大放光明	da fang guang ming	17
大放悲声	da fang bei sheng	1
大智大勇	da zhi da yong	10
大有其人	da you qi ren	1
大有可观	da you ke guan	5
大有所为	da you suo wei	4
大有起色	da you qi se	10
大树底下好乘凉	da shu di xia hao cheng liang	7
大水冲了龙王庙	da shui chong le long wang miao	14
大笔一挥	da bi yi hui	13
大红大绿	da hong da lv	32
大肆挥霍	da si hui huo	13
大肆铺张	da si pu zhang	5
大费周折	da fei zhou zhe	13
大门不出二门不迈	da men bu chu er men bu mai	38
大雨如注	da yu ru zhu	12
大音希声	da yin xi sheng	8
大题小做	da ti xiao zuo	9
天下兴亡	tian xia xing wang	29
天下兴亡匹夫有责	tian xia xing wang pi fu you ze	5
天下归心	tian xia gui xin	22
天下无难事	tian xia wu nan shi	11
天下本无事	tian xia ben wu shi	7
天不作美	tian bu zuo mei	1
天不假年	tian bu jia nian	10
天人之际	tian ren zhi ji	35
天地不容	tian di bu rong	28
天外飞来	tian wai fei lai	19
天摇地动	tian yao di dong	33
天无绝人之路	tian wu jue ren zhi lu	28
天时不如地利	tian shi bu ru di li	4
天有不测风云	tian you bu ce feng yun	49
天朗气清	tian lang qi qing	41
天涯咫尺	tian ya zhi chi	27
天清气朗	tian qing qi lang	4
天王老子	tian wang lao zi	25
天理人情	tian li ren qing	2
天理昭昭	tian li zhao zhao	2
天理良心	tian li liang xin	2
天知地知	tian zhi di zhi	30
天知地知你知我知	tian zhi di zhi ni zhi wo zhi	23
天网恢恢疏而不漏	tian wang hui hui shu er bu lou	6
天若有情天亦老	tian ruo you qing tian yi lao	45
天随人愿	tian sui ren yuan	5
天高皇帝远	tian gao huang di yuan	32
太岁头上动土	tai sui tou shang dong tu	5
太平无事	tai ping wu shi	24
夫妻反目	fu qi fan mu	4
夫子自道	fu zi zi dao	9
夫贵妻荣	fu gui qi rong	2
失之东隅	shi zhi dong yu	17
失之东隅收之桑榆	shi zhi dong yu shou zhi sang yu	7
失之毫厘	shi zhi hao li	6
失败为成功之母	shi bai wei cheng gong zhi mu	4
失败是成功之母	shi bai shi cheng gong zhi mu	29
头悬梁锥刺股	tou xuan liang zhui ci gu	18
头昏目眩	tou hun mu xuan	4
头晕眼花	tou yun yan hua	17
头痛医头	tou tong yi tou	8
头痛医头脚痛医脚	tou tong yi tou jiao tong yi jiao	1
头痛脑热	tou tong nao re	2
头角峥嵘	tou jiao zheng rong	9
夸父追日	kua fu zhui ri	18
夸父逐日	kua fu zhu ri	6
夹枪带棒	jia qiang dai bang	4
夹道欢呼	jia dao huan hu	14
奇技淫巧	qi ji yin qiao	10
奇花异卉	qi hua yi hui	10
奇风异俗	qi feng yi su	9
奉为圭臬	feng wei gui nie	41
奉为楷模	feng wei kai mo	2
奉为至宝	feng wei zhi bao	2
奔波劳碌	ben bo lao lu	42
奔流不息	ben liu bu xi	14
奔腾澎湃	ben teng peng pai	6
奖罚分明	jiang fa fen ming	3
女大当嫁	nv da dang jia	17
女流之辈	nv liu zhi bei	21
奸淫掳掠	jian yin lu lve	38
好事不出门	hao shi bu chu men	36
好事之徒	hao shi zhi tu	14
好人难做	hao ren nan zuo	43
好善乐施	hao shan le shi	4
好学深思	hao xue shen si	9
好整以暇	hao zheng yi xia	9
好汉不吃眼前亏	hao han bu chi yan qian kui	13
好生之德	hao sheng zhi de	26
好色之徒	hao se zhi tu	44
好言好语	hao yan hao yu	17
好骑者堕	hao qi zhe duo	6
如临深渊如履薄冰	ru lin shen yuan ru lv bo bing	6
如之奈何	ru zhi nai he	5
如切如磋	ru qie ru cuo	2
如坐春风	ru zuo chun feng	7
如梦方醒	ru meng fang xing	3
如椽之笔	ru chuan zhi bi	6
如烹小鲜	ru peng xiao xian	2
如痴如狂	ru chi ru kuang	9
如簧之舌	ru huang zhi she	2
如芒刺背	ru mang ci bei	5
如见其人	ru jian qi ren	8
如诉如泣	ru su ru qi	2
如闻其声	ru wen qi sheng	4
如鲠在喉	ru geng zai hou	32
妇人之仁	fu ren zhi ren	20
妙手偶得	miao shou ou de	2
妙语如珠	miao yu ru zhu	11
妙语连珠	miao yu lian zhu	47
始于足下	shi yu zu xia	18
始终不懈	shi zhong bu xie	2
姑妄听之	gu wang ting zhi	5
姓甚名谁	xing shen ming shui	24
姜太公钓鱼	jiang tai gong diao yu	37
姜是老的辣	jiang shi lao de la	1
姿态万千	zi tai wan qian	7
威武不能屈	wei wu bu neng qu	24
威震天下	wei zhen tian xia	31
威风八面	wei feng ba mian	27
娓娓而谈	wei wei er tan	1
婆娑起舞	po suo qi wu	6
媒妁之言	mei shuo zhi yan	35
嫁狗随狗	jia gou sui gou	4
嫁祸于人	jia huo yu ren	7
嫁鸡随鸡嫁狗随狗	jia ji sui ji jia gou sui gou	6
嫌贫爱富	xian pin ai fu	40
嬉笑怒骂皆成文章	xi xiao nu ma jie cheng wen zhang	2
子为父隐	zi wei fu yin	6
子曰诗云	zi yue shi yun	6
存乎一心	cun hu yi xin	4
存亡绝续	cun wang jue xu	6
存亡续绝	cun wang xu jue	1
存心不良	cun xin bu liang	9
存而不论	cun er bu lun	14
孜孜矻矻	zi zi ku ku	9
孝悌忠信	xiao ti zhong xin	12
孟母三迁	meng mu san qian	21
孟母择邻	meng mu ze lin	2
孤儿寡妇	gu er gua fu	31
孤立无助	gu li wu zhu	9
学然后知不足	xue ran hou zhi bu zu	6
学而优则仕	xue er you ze shi	13
学而时习之	xue er shi xi zhi	12
学非所用	xue fei suo yong	6
孰不可忍	shu bu ke ren	15
孰能无过	shu neng wu guo	24
宁为玉碎	ning wei yu sui	25
宁为玉碎不为瓦全	ning wei yu sui bu wei wa quan	7
宁折不弯	ning zhe bu wan	10
它山之石可以攻玉	ta shan zhi shi ke yi gong yu	2
守土有责	shou tu you ze	21
安不忘危	an bu wang wei	7
安内攘外	an nei rang wai	34
安危与共	an wei yu gong	3
安家乐业	an jia le ye	4
安家立业	an jia li ye	8
安家落户	an jia luo hu	48
安然无事	an ran wu shi	31
安邦定国	an bang ding guo	9
安邦治国	an bang zhi guo	7
宏图大志	hong tu da zhi	8
宏图大略	hong tu da lve	1
官官相卫	guan guan xiang wei	2
定于一尊	ding yu yi zun	40
定国安邦	ding guo an bang	5
宛转悠扬	wan zhuan you yang	1
宜室宜家	yi shi yi jia	17
宝刀不老	bao dao bu lao	24
宝马香车	bao ma xiang che	4
宠辱皆忘	chong ru jie wang	4
客死他乡	ke si ta xiang	47
客随主便	ke sui zhu bian	12
宦海浮沉	huan hai fu chen	8
家书抵万金	jia shu di wan jin	3
家人父子	jia ren fu zi	5
家学渊源	jia xue yuan yuan	47
家贫如洗	jia pin ru xi	8
家贼难防	jia zei nan fang	10
宽宏大度	kuan hong da du	6
宾客如云	bin ke ru yun	6
宾客盈门	bin ke ying men	7
宾朋满座	bin peng man zuo	3
寂寂无闻	ji ji wu wen	12
寂然无声	ji ran wu sheng	3
密不通风	mi bu tong feng	6
密锣紧鼓	mi luo jin gu	18
富商巨贾	fu shang ju gu	21
富国强民	fu guo qiang min	8
富而好礼	fu er hao li	7
富贵不淫	fu gui bu yin	2
富贵不能淫	fu gui bu neng yin	8
富贵吉祥	fu gui ji xiang	27
富贵在天	fu gui zai tian	28
寓情于景	yu qing yu jing	6
寓意深远	yu yi shen yuan	15
寓意深长	yu yi shen chang	7
寝不安席	qin bu an xi	5
寸土不让	cun tu bu rang	12
寸有所长	cun you suo chang	5
寸步难移	cun bu nan yi	7
寸草春晖	cun cao chun hui	7
对天发誓	dui tian fa shi	40
对症之药	dui zheng zhi yao	1
对症用药	dui zheng yong yao	8
寻幽探胜	xun you tan sheng	2
寻根问底	xun gen wen di	7
寻踪觅迹	xun zong mi ji	1
寿山福海	shou shan fu hai	13
射人先射马	she ren xian she ma	3
将功折罪	jiang gong zhe zui	7
将本求利	jiang ben qiu li	1
将欲取之	jiang yu qu zhi	2
将熊熊一窝	jiang xiong xiong yi wo	6
将门虎子	jiang men hu zi	7
小国寡民	xiao guo gua min	17
小惩大诫	xiao cheng da jie	3
小时了了	xiao shi liao liao	6
小脚女人	xiao jiao nv ren	7
少不经事	shao bu jing shi	8
少年夫妻老来伴	shao nian fu qi lao lai ban	4
尔俸尔禄	er feng er lu	4
尺寸之功	chi cun zhi gong	8
尺有所短	chi you suo duan	6
尽信书不如无书	jin xin shu bu ru wu shu	6
尽释前嫌	jin shi qian xian	37
局促不安	ju cu bu an	15
居功厥伟	ju gong jue wei	37
居功自傲	ju gong zi ao	37
居大不易	ju da bu yi	3
居无求安	ju wu qiu an	5
屏声静气	bing sheng jing qi	2
屏气凝神	bing qi ning shen	6
履险如夷	lv xian ru yi	6
山乡巨变	shan xiang ju bian	5
山崩地裂	shan beng di lie	38
山摇地动	shan yao di dong	2
山明水秀	shan ming shui xiu	43
山水相连	shan shui xiang lian	18
山重水复	shan chong shui fu	18
山雨欲来风满楼	shan yu yu lai feng man lou	23
山高水远	shan gao shui yuan	26
山高皇帝远	shan gao huang di yuan	20
山鸣谷应	shan ming gu ying	4
岁寒三友	sui han san you	45
岁寒知松柏	sui han zhi song bai	6
岁月不居	sui yue bu ju	5
岁月峥嵘	sui yue zheng rong	2
岁月蹉跎	sui yue cuo tuo	47
峨冠博带	e guan bo dai	4
崛地而起	jue di er qi	1
巍然屹立	wei ran yi li	6
州官放火	zhou guan fang huo	8
工欲善其事	gong yu shan qi shi	33
左右两难	zuo you liang nan	4
左邻右里	zuo lin you li	42
巧妇难为无米之炊	qiao fu nan wei wu mi zhi chui	35
巨细无遗	ju xi wu yi	35
巫山云雨	wu shan yun yu	16
差之毫厘	cha zhi hao li	15
差之毫厘谬以千里	cha zhi hao li miu yi qian li	1
巴山夜雨	ba shan ye yu	37
市井无赖	shi jing wu lai	12
师出有名	shi chu you ming	14
常胜将军	chang sheng jiang jun	38
幕天席地	mu tian xi di	2
干净利索	gan jing li suo	5
干卿何事	gan qing he shi	1
干打雷不下雨	gan da lei bu xia yu	8
干脆利索	gan cui li suo	4
平地一声雷	ping di yi sheng lei	13
平时不烧香	ping shi bu shao xiang	6
平等互惠	ping deng hu hui	46
年深月久	nian shen yue jiu	4
年老色衰	nian lao se shuai	28
年近古稀	nian jin gu xi	16
年近花甲	nian jin hua jia	10
年逾不惑	nian yu bu huo	2
年逾古稀	nian yu gu xi	21
年逾花甲	nian yu hua jia	9
广征博引	guang zheng bo yin	6
广袤无垠	guang mao wu yin	9
庄周梦蝶	zhuang zhou meng die	49
庆父不死	qing fu bu si	4
庐山真面	lu shan zhen mian	7
应付自如	ying fu zi ru	14
应对如流	ying dui ru liu	2
应答如流	ying da ru liu	4
庖丁解牛	pao ding jie niu	20
废话连篇	fei hua lian pian	32
庸庸碌碌	yong yong lu lu	27
开卷有益	kai juan you yi	36
开合自如	kai he zi ru	6
开国元老	kai guo yuan lao	23
开弓没有回头箭	kai gong mei you hui tou jian	12
开怀畅饮	kai huai chang yin	31
开物成务	kai wu cheng wu	25
开疆辟土	kai jiang pi tu	21
开花结实	kai hua jie shi	13
开门七件事	kai men qi jian shi	27
开阔眼界	kai kuo yan jie	27
异香扑鼻	yi xiang pu bi	2
弃如敝屣	qi ru bi xi	3
弃恶从善	qi e cong shan	23
弃笔从戎	qi bi cong rong	19
弃若敝屣	qi ruo bi xi	3
弄巧反拙	nong qiao fan zhuo	20
弊绝风清	bi jue feng qing	1
引以为憾	yin yi wei han	6
引以为耻	yin yi wei chi	24
引车卖浆	yin che mai jiang	2
弥天大祸	mi tian da huo	5
弦外之意	xian wai zhi yi	3
弹尽援绝	dan jin yuan jue	48
弹指之间	tan zhi zhi jian	12
强中更有强中手	qiang zhong geng you qiang zhong shou	7
强中自有强中手	qiang zhong zi you qiang zhong shou	20
强国富民	qiang guo fu min	8
强奸民意	qiang jian min yi	2
强将手下无弱兵	qiang jiang shou xia wu ruo bing	6
强龙不压地头蛇	qiang long bu ya di tou she	5
归根结蒂	gui gen jie di	1
当一天和尚撞一天钟	dang yi tian he shang zhuang yi tian zhong	7
当众出丑	dang zhong chu chou	11
当断不断	dang duan bu duan	48
当替罪羊	dang ti zui yang	8
当耳旁风	dang er pang feng	13
当耳边风	dang er bian feng	19
当面锣对面鼓	dang mian luo dui mian gu	7
形只影单	xing zhi ying dan	2
形容憔悴	xing rong qiao cui	5
形格势禁	xing ge shi jin	6
形销骨立	xing xiao gu li	14
彻底澄清	che di cheng qing	7
待字闺中	dai zi gui zhong	29
徇情枉法	xun qing wang fa	3
徒劳无益	tu lao wu yi	29
徒有其名	tu you qi ming	19
得失成败	de shi cheng bai	7
得意之笔	de yi zhi bi	3
得意之色	de yi zhi se	1
得道多助	de dao duo zhu	5
徘徊不前	pai huai bu qian	24
徘徊观望	pai huai guan wang	7
心中无数	xin zhong wu shu	2
心如死灰	xin ru si hui	12
心心相通	xin xin xiang tong	6
心怀忐忑	xin huai tan te	1
心急如火	xin ji ru huo	1
心惊胆寒	xin jing dan han	6
心旌摇曳	xin jing yao ye	1
心无挂碍	xin wu gua ai	1
心有余而力不足	xin you yu er li bu zu	21
心浮气躁	xin fu qi zao	45
心焦如焚	xin jiao ru fen	5
心病还须心药医	xin bing huan xu xin yao yi	9
心神不定	xin shen bu ding	21
心神恍惚	xin shen huang hu	13
心细如发	xin xi ru fa	12
心腹大患	xin fu da huan	48
心醉神迷	xin zui shen mi	29
必先利其器	bi xian li qi qi	35
必有一失	bi you yi shi	26
必有勇夫	bi you yong fu	2
必有我师	bi you wo shi	3
必有近忧	bi you jin you	11
忍辱偷生	ren ru tou sheng	8
志在千里	zhi zai qian li	47
忘战必危	wang zhan bi wei	3
忙中出错	mang zhong chu cuo	11
忠孝两全	zhong xiao liang quan	12
忠肝义胆	zhong gan yi dan	38
忧谗畏讥	you chan wei ji	4
念兹在兹	nian zi zai zi	12
念念不舍	nian nian bu she	6
忸怩作态	niu ni zuo tai	3
怀忧丧志	huai you sang zhi	6
怀璧其罪	huai bi qi zui	8
怒气冲天	nu qi chong tian	10
怒火冲天	nu huo chong tian	6
怒火攻心	nu huo gong xin	39
怡情养性	yi qing yang xing	3
怡然自乐	yi ran zi le	12
急不及待	ji bu ji dai	25
急人之困	ji ren zhi kun	6
急急如律令	ji ji ru lv ling	27
急赤白脸	ji chi bai lian	4
性命交关	xing ming jiao guan	3
怨天怨地	yuan tian yuan di	12
怨气冲天	yuan qi chong tian	6
恍如梦境	huang ru meng jing	6
恍若隔世	huang ruo ge shi	21
恒河沙数	heng he sha shu	13
恩威并重	en wei bing zhong	10
恩怨分明	en yuan fen ming	15
恭敬不如从命	gong jing bu ru cong ming	41
恭贺新禧	gong he xin xi	38
恶语中伤	e yu zhong shang	14
恶语伤人	e yu shang ren	23
恶语相加	e yu xiang jia	38
悄然无声	qiao ran wu sheng	9
悔之不及	hui zhi bu ji	2
悔之晚矣	hui zhi wan yi	12
悔之莫及	hui zhi mo ji	2
悔恨交加	hui hen jiao jia	12
悔罪自新	hui zui zi xin	5
悠游自在	you you zi zai	8
患难之交	huan nan zhi jiao	18
患难夫妻	huan nan fu qi	15
患难相恤	huan nan xiang xu	2
悬梁刺股	xuan liang ci gu	19
悲喜交集	bei xi jiao ji	28
悲观厌世	bei guan yan shi	15
情意绵绵	qing yi mian mian	48
情深义重	qing shen yi zhong	34
惊喜交加	jing xi jiao jia	1
惊喜交集	jing xi jiao ji	3
惊喜若狂	jing xi ruo kuang	6
惊慌失色	jing huang shi se	4
惊才绝艳	jing cai jue yan	10
惊疑不定	jing yi bu ding	3
惊诧莫名	jing cha mo ming	8
惊魂不定	jing hun bu ding	1
惟利是图	wei li shi tu	8
惟命是从	wei ming shi cong	10
惟精惟一	wei jing wei yi	19
惠而不费	hui er bu fei	7
惠风和畅	hui feng he chang	20
惶惶不可终日	huang huang bu ke zhong ri	31
惶惶不安	huang huang bu an	19
惹人注目	re ren zhu mu	35
愁云惨淡	chou yun can dan	6
