# 微明领域词库：财经，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
广东百灵信	guang dong bai ling xin	3
广东科德	guang dong ke de	2
广发	guang fa	13
广发华福	guang fa hua fu	2
广夏	guang xia	7
广宇集团	guang yu ji tuan	1
广州万隆	guang zhou wan long	3
广州冷机	guang zhou leng ji	2
广州冷机股份有限公司	guang zhou leng ji gu fen you xian gong si	2
广州分行	guang zhou fen hang	47
广州国光	guang zhou guo guang	2
广州浪奇	guang zhou lang qi	14
广汽长丰	guang qi chang feng	17
广电信息	guang dian xin xi	8
广电运通	guang dian yun tong	6
广百股份	guang bai gu fen	13
广联达	guang lian da	8
库藏股	ku cang gu	35
康大食品	kang da shi pin	3
康得新	kang de xin	20
康盛股份	kang sheng gu fen	2
康美债	kang mei zhai	2
康耐特	kang nai te	1
康菲石油	kang fei shi you	18
康赛	kang sai	5
康达尔	kang da er	16
建仓	jian cang	25
建信	jian xin	10
建研集团	jian yan ji tuan	2
建行卡	jian hang ka	5
建通	jian tong	8
开卡	kai ka	12
开尔新材	kai er xin cai	3
开户费	kai hu fei	9
开拓进取	kai tuo jin qu	29
开放经济	kai fang jing ji	4
异动股	yi dong gu	2
张铜	zhang tong	2
当代经理人	dang dai jing li ren	2
当代金融家	dang dai jin rong jia	1
彩票点	cai piao dian	7
彩票网	cai piao wang	6
彼得林奇	bi de lin qi	4
征用权	zheng yong quan	26
征管处	zheng guan chu	2
待评	dai ping	1
徐工科技	xu gong ke ji	1
微利股	wei li gu	2
德信集团	de xin ji tuan	6
德国安联	de guo an lian	2
德棉	de mian	1
德盛增利	de sheng zeng li	2
德累斯顿银行	de lei si dun yin hang	41
德豪润达	de hao run da	1
快公司	kuai gong si	7
总成交量	zong cheng jiao liang	13
总房价	zong fang jia	1
总水平	zong shui ping	7
总负债	zong fu zhai	37
总需求	zong xu qiu	12
恒基达鑫	heng ji da xin	2
恒泰大通	heng tai da tong	4
恒泰艾普	heng tai ai pu	1
恒立	heng li	16
息票	xi piao	35
情况表	qing kuang biao	5
惠博普	hui bo pu	6
惠天	hui tian	9
惨绿	can lv	12
成功营销	cheng gong ying xiao	8
成商集团	cheng shang ji tuan	2
成都路桥	cheng du lu qiao	3
成长先锋	cheng zhang xian feng	1
成长性	cheng zhang xing	8
战略家	zhan lve jia	12
戴尔电脑	dai er dian nao	38
房地产评估	fang di chan ping gu	2
房改房	fang gai fang	8
房款	fang kuan	26
所有权证	suo you quan zheng	9
手工票	shou gong piao	4
打印单	da yin dan	1
扛住	kang zhu	12
扩仓	kuo cang	5
扫盘	sao pan	5
承担者	cheng dan zhe	6
承诺费	cheng nuo fei	1
承销团	cheng xiao tuan	14
承销额	cheng xiao e	1
技术条件	ji shu tiao jian	3
技术面	ji shu mian	5
抄底	chao di	4
把控	ba kong	3
把握机遇	ba wo ji yu	22
投标书	tou biao shu	29
投票门	tou piao men	4
投资与合作	tou zi yu he zuo	5
投资业	tou zi ye	29
投资参考	tou zi can kao	3
投资品	tou zi pin	7
投资型	tou zi xing	11
投资学	tou zi xue	8
投资家	tou zi jia	11
投资性	tou zi xing	12
投资指南	tou zi zhi nan	14
投资收藏	tou zi shou cang	1
投资有道	tou zi you dao	6
投资期	tou zi qi	8
投资界	tou zi jie	21
投资者关系	tou zi zhe guan xi	30
投资者教育	tou zi zhe jiao yu	20
投资量	tou zi liang	9
抗跌	kang die	4
折价率	zhe jia lv	2
折子钱	zhe zi qian	2
折现率	zhe xian lv	33
抚顺特钢	fu shun te gang	25
抛盘	pao pan	2
抢单	qiang dan	5
护盘	hu pan	23
报告期	bao gao qi	6
报喜鸟	bao xi niao	7
报查	bao cha	4
抵押合同	di ya he tong	1
抵押率	di ya lv	8
担保函	dan bao han	3
担保品	dan bao pin	38
担保法	dan bao fa	12
担保费	dan bao fei	12
担保金	dan bao jin	35
拆细	chai xi	44
拆股	chai gu	7
拉高均价	la gao jun jia	2
拒批	ju pi	29
拓尔思	tuo er si	2
拓日新能	tuo ri xin neng	4
招募说明书	zhao mu shuo ming shu	3
招商局中国基金	zhao shang ju zhong guo ji jin	4
招标者	zhao biao zhe	4
招行	zhao hang	11
招行卡	zhao hang ka	3
拨回	bo hui	25
拨用	bo yong	3
持仓不动	chi cang bu dong	2
持币	chi bi	16
持本单	chi ben dan	2
挂价	gua jia	1
挂帐	gua zhang	4
指令部	zhi ling bu	3
指数化	zhi shu hua	22
指标体系	zhi biao ti xi	41
指标股	zhi biao gu	2
按年	an nian	3
按日	an ri	12
按月	an yue	14
振业集团	zhen ye ji tuan	3
振华港机	zhen hua gang ji	3
振新	zhen xin	4
换手率	huan shou lv	7
授予者	shou yu zhe	3
掉期	diao qi	9
探底	tan di	19
控盘	kong pan	5
提额	ti e	8
揽存	lan cun	8
搜于特	sou yu te	1
携程网	xie cheng wang	30
摩根斯坦利	mo gen si tan li	29
摩根财团	mo gen cai tuan	9
操作指南	cao zuo zhi nan	28
操作流程	cao zuo liu cheng	48
操作规范	cao zuo gui fan	25
攀渝钛业	pan yu tai ye	1
支取凭证	zhi qu ping zheng	3
收官日	shou guan ri	3
收汇	shou hui	19
收益宝	shou yi bao	4
收盘报	shou pan bao	49
收结汇	shou jie hui	2
收购人	shou gou ren	8
收购方	shou gou fang	22
收购者	shou gou zhe	8
收费收据	shou fei shou ju	3
收还	shou huan	2
改票	gai piao	6
放量	fang liang	8
政策工具	zheng ce gong ju	2
政策面	zheng ce mian	5
救市	jiu shi	13
文印室	wen yin shi	1
斩仓	zhan cang	13
断点	duan dian	9
斯伦贝榭	si lun bei xie	3
斯普林特	si pu lin te	46
斯达康	si da kang	30
新东方	xin dong fang	7
新中基	xin zhong ji	2
新五丰	xin wu feng	7
新低点	xin di dian	12
新北洋	xin bei yang	3
新华基金	xin hua ji jin	4
新华百货	xin hua bai huo	3
新华财经	xin hua cai jing	14
新华都	xin hua du	6
新华银行	xin hua yin hang	36
新华锦	xin hua jin	1
新卡	xin ka	11
新台阶	xin tai jie	47
新和成	xin he cheng	3
新嘉联	xin jia lian	4
新大洲	xin da zhou	10
新太	xin tai	4
新奥燃气	xin ao ran qi	10
新威国际	xin wei guo ji	3
新宏信	xin hong xin	2
新宙邦	xin zhou bang	8
新希望	xin xi wang	4
新开普	xin kai pu	1
新机制	xin ji zhi	10
新材	xin cai	35
新海宜	xin hai yi	3
新疆天业	xin jiang tian ye	3
新疆天宏	xin jiang tian hong	5
新疆屯河	xin jiang tun he	1
新秀丽	xin xiu li	24
新经济	xin jing ji	13
新莱应材	xin lai ying cai	1
新营销	xin ying xiao	5
新财富	xin cai fu	43
新财经	xin cai jing	6
新资本	xin zi ben	2
新都酒店	xin du jiu dian	17
新野纺织	xin ye fang zhi	4
新锦华	xin jin hua	4
新锦江	xin jin jiang	13
新高点	xin gao dian	17
新鸿基公司	xin hong ji gong si	20
新黄浦	xin huang pu	24
新龙国际	xin long guo ji	4
新龙头	xin long tou	5
方兴地产	fang xing di chan	18
方大特钢	fang da te gang	1
方大集团	fang da ji tuan	29
方正富邦	fang zheng fu bang	3
方源	fang yuan	7
旗滨集团	qi bin ji tuan	6
无锡尚德	wu xi shang de	4
日照港	ri zhao gang	45
日科化学	ri ke hua xue	5
日线	ri xian	9
日线图	ri xian tu	2
日经指数	ri jing zhi shu	17
日贷	ri dai	2
旧股	jiu gu	21
早盘	zao pan	12
昌河	chang he	10
明星电力	ming xing dian li	7
明泰铝业	ming tai lv ye	4
易世达	yi shi da	5
易基	yi ji	3
易宝	yi bao	23
易方达	yi fang da	12
易方达基金	yi fang da ji jin	7
易联众	yi lian zhong	4
晋察冀边区银行	jin cha ji bian qu yin hang	18
晨鸣	chen ming	22
普天	pu tian	9
普天债	pu tian zhai	2
普天债券	pu tian zhai quan	3
普天收益	pu tian shou yi	4
普民	pu min	6
普洛康裕	pu luo kang yu	3
普洛股份	pu luo gu fen	3
普涨	pu zhang	12
普跌	pu die	1
景顺长城	jing shun chang cheng	7
暴升	bao sheng	45
有偿转让	you chang zhuan rang	21
有效市场假说	you xiao shi chang jia shuo	13
服务协议	fu wu xie yi	6
服务营销	fu wu ying xiao	7
朗伯德街	lang bo de jie	29
望春花	wang chun hua	7
朝华	zhao hua	8
期权费	qi quan fei	3
期货交易管理条例	qi huo jiao yi guan li tiao li	1
期货公司	qi huo gong si	44
本实	ben shi	2
机制性	ji zhi xing	17
机电股	ji dian gu	2
杀跌	sha die	11
权智	quan zhi	4
杜约翰	du yue han	3
条形图	tiao xing tu	34
杨红革	yang hong ge	2
杭汽轮	hang qi lun	3
松辽汽车	song liao qi che	4
林州重机	lin zhou zhong ji	2
查库	cha ku	6
株冶集团	zhu ye ji tuan	1
核准制	he zhun zhi	5
格式合同	ge shi he tong	4
桂东电力	gui dong dian li	3
桂林旅游	gui lin lv you	17
桐君阁	tong jun ge	4
梅花伞	mei hua san	1
梅花伞业股份有限公司	mei hua san ye gu fen you xian gong si	2
梅雁水电	mei yan shui dian	1
棱光	leng guang	2
横盘	heng pan	2
橡果国际	xiang guo guo ji	10
次新股	ci xin gu	3
次月	ci yue	13
欣龙无纺	xin long wu fang	1
欧亚集团	ou ya ji tuan	35
欧比特	ou bi te	14
止损	zhi sun	33
正常性	zheng chang xing	9
正泰电器	zheng tai dian qi	13
武汉凡谷	wu han fan gu	1
死股	si gu	2
残余价值	can yu jia zhi	3
残值	can zhi	34
残值率	can zhi lv	4
毒笔	du bi	2
比亚迪股份	bi ya di gu fen	2
民丰特纸	min feng te zhi	1
民生证券	min sheng zheng quan	11
民间借贷	min jian jie dai	43
气势如虹	qi shi ru hong	43
永利带业	yong li dai ye	6
永嘉集团	yong jia ji tuan	4
永大	yong da	8
永大集团	yong da ji tuan	3
汇丰晋信	hui feng jin xin	1
汇丰晋信基金	hui feng jin xin ji jin	4
汇丰晋信龙腾	hui feng jin xin long teng	3
汇丽	hui li	17
汇划	hui hua	24
汇多利	hui duo li	1
汇宝集团	hui bao ji tuan	2
汇款人	hui kuan ren	10
汇添富	hui tian fu	10
汇通能源	hui tong neng yuan	4
汇通集团	hui tong ji tuan	3
江中药业	jiang zhong yao ye	3
江力	jiang li	6
江海股份	jiang hai gu fen	2
江苏吴中	jiang su wu zhong	6
江苏宏宝	jiang su hong bao	5
江苏旷达	jiang su kuang da	2
江苏纺织	jiang su fang zhi	1
江钻	jiang zuan	8
汤姆逊路透	tang mu xun lu tou	1
汤臣倍健	tang chen bei jian	19
汤臣集团	tang chen ji tuan	38
沙隆达	sha long da	35
沧州大化	cang zhou da hua	1
沪建	hu jian	5
沪指	hu zhi	43
沪科	hu ke	2
沪铜	hu tong	2
河化	he hua	4
河北钢铁	he bei gang tie	44
法人股	fa ren gu	48
法人银行	fa ren yin hang	24
法律部	fa lv bu	10
法拉电子	fa la dian zi	1
法郎区	fa lang qu	19
泛海酒店	fan hai jiu dian	7
波段性	bo duan xing	8
注意力经济	zhu yi li jing ji	18
注销户	zhu xiao hu	3
泰京银行	tai jing yin hang	29
泰复	tai fu	4
泰达宏利	tai da hong li	7
泰达宏利基金	tai da hong li ji jin	7
泸州老窖股份有限公司	lu zhou lao jiao gu fen you xian gong si	8
洗盘	xi pan	5
洛玻	luo bo	40
洛阳玻璃	luo yang bo li	4
津劝业	jin quan ye	4
洪都航空	hong du hang kong	23
派息日	pai xi ri	1
流动资金量	liu dong zi jin liang	3
济柴	ji chai	3
浙大海纳	zhe da hai na	3
浙江三花股份有限公司	zhe jiang san hua gu fen you xian gong si	4
浙江永强	zhe jiang yong qiang	3
浙江海亮	zhe jiang hai liang	6
浙江海亮股份有限公司	zhe jiang hai liang gu fen you xian gong si	3
浙江海纳	zhe jiang hai na	3
浦东建设	pu dong jian she	4
浦东金桥	pu dong jin qiao	13
浦发	pu fa	41
浦银	pu yin	9
浦银安盛	pu yin an sheng	2
浦银安盛基金	pu yin an sheng ji jin	1
浦银红利	pu yin hong li	2
浩宁达	hao ning da	4
浪莎	lang sha	4
海伦哲	hai lun zhe	7
海信电器	hai xin dian qi	4
海兰信	hai lan xin	7
海南海药	hai nan hai yao	2
海南海药股份有限公司	hai nan hai yao gu fen you xian gong si	5
海南省信托投资公司	hai nan sheng xin tuo tou zi gong si	2
海外投资法	hai wai tou zi fa	4
海大集团	hai da ji tuan	2
海宁皮城	hai ning pi cheng	5
海富通	hai fu tong	8
海德股份	hai de gu fen	1
海普瑞	hai pu rui	8
海格通信	hai ge tong xin	4
海正药业	hai zheng yao ye	8
海泰	hai tai	9
海源机械	hai yuan ji xie	3
海王生物	hai wang sheng wu	4
海王英特龙	hai wang ying te long	8
海王集团	hai wang ji tuan	11
海立	hai li	7
海立美达	hai li mei da	6
海纳	hai na	10
海联讯	hai lian xun	5
海能达	hai neng da	10
海药	hai yao	6
海螺型材	hai luo xing cai	8
海通集团	hai tong ji tuan	1
涨停板	zhang ting ban	18
涨跌幅	zhang die fu	46
淡仓	dan cang	7
深万科	shen wan ke	6
深值	shen zhi	3
深华发	shen hua fa	4
深华新	shen hua xin	3
深南光	shen nan guang	2
深原野	shen yuan ye	5
深发	shen fa	5
深国商	shen guo shang	1
深圳国际	shen zhen guo ji	3
深圳方大	shen zhen fang da	3
深圳智多盈	shen zhen zhi duo ying	5
深圳机场	shen zhen ji chang	3
深圳比克	shen zhen bi ke	4
深圳海王星辰	shen zhen hai wang xing chen	3
深圳能源	shen zhen neng yuan	22
深圳赛格股份有限公司	shen zhen sai ge gu fen you xian gong si	2
深圳迈瑞	shen zhen mai rui	1
深大通	shen da tong	19
深天地	shen tian di	2
深天马	shen tian ma	2
深安达	shen an da	5
深宝安	shen bao an	5
深宝恒	shen bao heng	1
深泰	shen tai	4
深深房	shen shen fang	16
深物业	shen wu ye	6
深特力	shen te li	3
深纺织	shen fang zhi	4
深能	shen neng	3
深证综指	shen zheng zong zhi	1
深赛格	shen sai ge	4
深赤湾	shen chi wan	3
深锦兴	shen jin xing	4
深高	shen gao	3
混业	hun ye	2
添益宝	tian yi bao	6
清华同方	qing hua tong fang	44
清华紫光	qing hua zi guang	25
清算协议	qing suan xie yi	4
渝三峡	yu san xia	1
渝太地产	yu tai di chan	9
渝钛白	yu tai bai	2
渣打集团	zha da ji tuan	44
渤化	bo hua	9
温商网	wen shang wang	3
温氏集团	wen shi ji tuan	8
港华燃气	gang hua ran qi	23
港股通	gang gu tong	42
湖北华新	hu bei hua xin	2
湖北宜化	hu bei yi hua	17
湖北迈亚	hu bei mai ya	3
湖南有色金属	hu nan you se jin shu	19
湖南海利	hu nan hai li	5
源发	yuan fa	7
溢缴款	yi jiao kuan	5
潍柴重机	wei chai zhong ji	2
潞安环能	lu an huan neng	4
潮宏基	chao hong ji	8
澳优	ao you	4
瀚宇博德	han yu bo de	9
炒汇者	chao hui zhe	4
炒高	chao gao	5
炬力	ju li	14
点位	dian wei	9
点后	dian hou	2
烟台氨纶股份有限公司	yan tai an lun gu fen you xian gong si	4
热钱	re qian	11
热门股	re men gu	7
烽火通信	feng huo tong xin	6
焦作万方	jiao zuo wan fang	3
焦点话题	jiao dian hua ti	12
焦点问题	jiao dian wen ti	31
煤炭股	mei tan gu	2
爱建	ai jian	8
物物交换	wu wu jiao huan	46
物贸	wu mao	14
物贸中心	wu mao zhong xin	4
特别措施	te bie cuo shi	3
特区经济	te qu jing ji	13
特变电工	te bian dian gong	42
特困户	te kun hu	5
特许权税	te xu quan shui	6
玉源	yu yuan	17
环康集团	huan kang ji tuan	7
环球企业家	huan qiu qi ye jia	8
环球财经	huan qiu cai jing	28
现代商业银行	xian dai shang ye yin hang	8
现手	xian shou	3
现金流量表	xian jin liu liang biao	29
珠江实业	zhu jiang shi ye	14
理文集团	li wen ji tuan	9
理财周报	li cai zhou bao	9
理财金	li cai jin	1
琼民源	qiong min yuan	3
瑞和	rui he	6
瑞士银行公司	rui shi yin hang gong si	14
瑞福进取	rui fu jin qu	2
瑞立集团	rui li ji tuan	3
瓦轴	wa zhou	1
甘化	gan hua	14
生意宝	sheng yi bao	7
用卡	yong ka	7
申报率	shen bao lv	1
申购款	shen gou kuan	8
申赎	shen shu	4
电力股	dian li gu	1
电子城	dian zi cheng	6
电广实业	dian guang shi ye	4
畅丰车桥	chang feng che qiao	2
白银铜城	bai yin tong cheng	1
白页	bai ye	21
百利电气	bai li dian qi	2
百圆裤业	bai yuan ku ye	3
百盛集团	bai sheng ji tuan	9
百花村	bai hua cun	25
皇朝家俬	huang chao jia si	3
皇朝家私	huang chao jia si	11
皖能	wan neng	4
益民红利	yi min hong li	2
益鑫泰	yi xin tai	2
盐湖集团	yan hu ji tuan	4
监管政策	jian guan zheng ce	36
盘后	pan hou	8
盘感	pan gan	1
盘活资产	pan huo zi chan	3
盛润	sheng run	7
目标公司	mu biao gong si	9
盲目性	mang mu xing	23
看涨者	kan zhang zhe	2
看盘	kan pan	7
看跌者	kan die zhe	2
知名银行	zhi ming yin hang	2
短仓	duan cang	23
短融券	duan rong quan	6
石劝业	shi quan ye	2
石化债	shi hua zhai	2
石炼	shi lian	2
石炼化	shi lian hua	4
研究简报	yan jiu jian bao	10
砸盘	za pan	7
硅宝科技	gui bao ke ji	5
碧生源	bi sheng yuan	7
礼品税	li pin shui	3
福建工商时报	fu jian gong shang shi bao	2
福彩	fu cai	41
福彩中心	fu cai zhong xin	7
福日	fu ri	8
福星晓程	fu xing xiao cheng	3
福特赛	fu te sai	2
禾嘉	he jia	9
科伦药业	ke lun yao ye	6
科华恒盛	ke hua heng sheng	7
科斯伍德	ke si wu de	5
科新机电	ke xin ji dian	1
科诺威德	ke nuo wei de	1
科达机电	ke da ji dian	4
租方	zu fang	2
租购	zu gou	32
积成电子	ji cheng dian zi	4
移仓	yi cang	5
税收完税证	shui shou wan shui zheng	2
税收缴款书	shui shou jiao kuan shu	3
税点	shui dian	8
空中网	kong zhong wang	38
空头头寸	kong tou tou cun	6
空头换手	kong tou huan shou	2
空开	kong kai	8
空换	kong huan	2
第一食品	di yi shi pin	2
筑信	zhu xin	7
筑底	zhu di	2
策略研究	ce lve yan jiu	2
签合同	qian he tong	39
管理学家	guan li xue jia	9
粤丽珠	yue li zhu	2
粤宏远	yue hong yuan	1
粤水电	yue shui dian	1
精伦	jing lun	7
精工钢构	jing gong gang gou	2
精工集团	jing gong ji tuan	3
精诚铜业	jing cheng tong ye	5
紫光华宇	zi guang hua yu	4
红利通知书	hong li tong zhi shu	3
红发集团	hong fa ji tuan	1
红太阳	hong tai yang	6
红宝丽	hong bao li	6
红阳能源	hong yang neng yuan	5
组合投资	zu he tou zi	2
组织图	zu zhi tu	6
组织机构代码证	zu zhi ji gou dai ma zheng	6
组选	zu xuan	11
经办员	jing ban yuan	7
经手费	jing shou fei	1
经济基本面	jing ji ji ben mian	6
经济学术	jing ji xue shu	3
经济导刊	jing ji dao kan	4
经济杂志	jing ji za zhi	3
经济统计	jing ji tong ji	2
经济观察网	jing ji guan cha wang	14
经理费	jing li fei	5
经纬纺机	jing wei fang ji	6
经贸大学	jing mao da xue	37
结算凭证	jie suan ping zheng	3
统计报告	tong ji bao gao	4
绩优股	ji you gu	10
绩差	ji cha	1
绩差公司	ji cha gong si	4
绩差股	ji cha gu	6
维科精华	wei ke jing hua	1
维达国际	wei da guo ji	7
综合税	zong he shui	6
绿景地产	lv jing di chan	4
缩量	suo liang	10
缴足	jiao zu	11
网下	wang xia	13
网付	wang fu	1
网商	wang shang	12
罗平锌电	luo ping xin dian	3
罗普斯金	luo pu si jin	5
罗莱家纺	luo lai jia fang	1
罚款率	fa kuan lv	2
美元区	mei yuan qu	2
美元危机	mei yuan wei ji	2
美利纸业	mei li zhi ye	7
美欣达	mei xin da	1
美罗药业	mei luo yao ye	2
美联银行	mei lian yin hang	20
美联集团	mei lian ji tuan	37
美股	mei gu	8
美菱股份	mei ling gu fen	10
美雅	mei ya	7
翻三番	fan san fan	8
翻两番	fan liang fan	18
老凤祥	lao feng xiang	19
考核指标	kao he zhi biao	15
联信永益	lian xin yong yi	2
联动机制	lian dong ji zhi	13
联华合纤	lian hua he xian	3
联华超市	lian hua chao shi	35
联次	lian ci	7
联油	lian you	4
联邦破产法	lian bang po chan fa	13
聚友	ju you	46
聚富	ju fu	13
股东大会决议	gu dong da hui jue yi	12
股分	gu fen	7
股城网	gu cheng wang	3
股市动态分析	gu shi dong tai fen xi	6
股市快讯	gu shi kuai xun	3
股权分置改革方案	gu quan fen zhi gai ge fang an	7
股歌	gu ge	4
股票市价	gu piao shi jia	5
股票机	gu piao ji	9
股票界	gu piao jie	2
背书人	bei shu ren	5
胜景山河	sheng jing shan he	3
腹空	fu kong	4
腾邦国际	teng bang guo ji	7
自买	zi mai	2
自仪	zi yi	5
自偿性	zi chang xing	13
自助银行	zi zhu yin hang	13
自然人股	zi ran ren gu	5
自留额	zi liu e	2
自选股	zi xuan gu	3
航天机电	hang tian ji dian	15
航天长峰	hang tian chang feng	1
航意险	hang yi xian	1
航民	hang min	2
良运	liang yun	24
艺术品投资	yi shu pin tou zi	7
艺龙	yi long	36
艾略特波浪理论	ai lve te bo lang li lun	7
艾迪西	ai di xi	4
芜湖港	wu hu gang	15
芝加哥商品交易所	zhi jia ge shang pin jiao yi suo	41
花雕	hua diao	41
苏三山	su san shan	2
苏威孚	su wei fu	3
苏宁环球	su ning huan qiu	16
苏宁环球股份有限公司	su ning huan qiu gu fen you xian gong si	5
苏州固锝	su zhou gu de	3
苏州恒久	su zhou heng jiu	3
苏常柴	su chang chai	1
苏常远东	su chang yuan dong	2
苏泊尔	su po er	48
苏物	su wu	4
苏物贸	su wu mao	2
苏福马	su fu ma	2
英化	ying hua	4
英唐智控	ying tang zhi kong	4
英威腾	ying wei teng	7
英特集团	ying te ji tuan	4
英飞拓	ying fei tuo	3
茉织华	mo zhi hua	4
荷兰万贝银行	he lan wan bei yin hang	2
莎拉李	sha la li	2
莫高股份	mo gao gu fen	7
莱英达	lai ying da	2
营业日	ying ye ri	6
营销部	ying xiao bu	24
葛州坝	ge zhou ba	2
蒙发利	meng fa li	6
蒙牛乳业	meng niu ru ye	40
虚拟卡	xu ni ka	2
虚涨	xu zhang	1
融信达	rong xin da	3
融资协议	rong zi xie yi	36
融资性	rong zi xing	11
融资款	rong zi kuan	2
融资租赁合同	rong zi zu lin he tong	4
融资网	rong zi wang	3
融资额	rong zi e	21
融通领先	rong tong ling xian	5
行权价	xing quan jia	3
衍生权证	yan sheng quan zheng	5
补仓	bu cang	22
补空	bu kong	5
表首	biao shou	2
裸币	luo bi	5
西北轴承股份有限公司	xi bei zhou cheng gu fen you xian gong si	4
西南合成	xi nan he cheng	4
西安旅游	xi an lv you	3
西昌电	xi chang dian	2
西王糖业	xi wang tang ye	3
西祠胡同	xi ci hu tong	8
西藏天路	xi zang tian lu	1
西藏旅游	xi zang lv you	29
西陇化工	xi long hua gong	4
观音币	guan yin bi	2
规划委	gui hua wei	32
解盘	jie pan	9
詹姆斯邦德	zhan mu si bang de	11
警示教育	jing shi jiao yu	20
计世网	ji shi wang	1
认同卡	ren tong ka	5
认沽期权	ren gu qi quan	4
认沽权证	ren gu quan zheng	11
认购协议	ren gou xie yi	16
认购权证	ren gou quan zheng	12
记账员	ji zhang yuan	12
许继电气	xu ji dian qi	2
证券周刊	zheng quan zhou kan	1
证券导刊	zheng quan dao kan	2
证券导报	zheng quan dao bao	1
证券市场周刊	zheng quan shi chang zhou kan	9
证券市场红周刊	zheng quan shi chang hong zhou kan	1
证券投资分析	zheng quan tou zi fen xi	3
证券日报	zheng quan ri bao	23
证券时报	zheng quan shi bao	37
证券溢价	zheng quan yi jia	3
证券网	zheng quan wang	5
证券资讯	zheng quan zi xun	10
评价中心	ping jia zhong xin	3
评价指标	ping jia zhi biao	44
评估办法	ping gu ban fa	14
评估师	ping gu shi	7
评估方案	ping gu fang an	14
评估费	ping gu fei	2
试点办法	shi dian ban fa	3
试盘	shi pan	4
试行标准	shi xing biao zhun	3
诚信网	cheng xin wang	7
诚聘英才	cheng pin ying cai	1
诱空	you kong	7
诺安	nuo an	9
诺安平衡	nuo an ping heng	2
谭木匠	tan mu jiang	6
豪盛	hao sheng	5
豫能	yu neng	4
负债率	fu zhai lv	43
财付通	cai fu tong	45
财会信报	cai kuai xin bao	1
财信通	cai xin tong	2
财务状况表	cai wu zhuang kuang biao	5
财华网	cai hua wang	5
财富时报	cai fu shi bao	3
财经周刊	cai jing zhou kan	29
财经时报	cai jing shi bao	48
财经论坛	cai jing lun tan	9
账户表	zhang hu biao	3
货币战争	huo bi zhan zheng	38
货币银行学	huo bi yin hang xue	49
质押品	zhi ya pin	2
质押物	zhi ya wu	2
购买区	gou mai qu	4
购买美国	gou mai mei guo	3
购房者	gou fang zhe	46
购汇	gou hui	9
购票员	gou piao yuan	4
贵州百灵	gui zhou bai ling	16
贵研铂业	gui yan bo ye	1
贵绳	gui sheng	5
贷款人	dai kuan ren	12
贷款协议	dai kuan xie yi	44
贷款难	dai kuan nan	4
贸易通	mao yi tong	2
资产公司	zi chan gong si	2
资产评估报告	zi chan ping gu bao gao	20
资产负债率	zi chan fu zhai lv	49
资信证明	zi xin zheng ming	1
资助金	zi zhu jin	44
资本利得税	zi ben li de shui	40
资本化率	zi ben hua lv	4
资本品	zi ben pin	19
资本密集型	zi ben mi ji xing	32
资本预算	zi ben yu suan	12
赌彩	du cai	30
赛格三星	sai ge san xing	2
赛格股份	sai ge gu fen	2
赛格达声	sai ge da sheng	1
赣锋锂业	gan feng li ye	10
超图软件	chao tu ruan jian	1
超声电子	chao sheng dian zi	5
超标者	chao biao zhe	2
超级大乐透	chao ji da le tou	3
超跌	chao die	1
超跌股	chao die gu	8
越秀投资	yue xiu tou zi	8
跌停板	die ting ban	9
跨国银行	kua guo yin hang	27
路演	lu yan	4
跳动点	tiao dong dian	2
跳空	tiao kong	13
转换价值	zhuan huan jia zhi	3
转换价格	zhuan huan jia ge	4
转换费	zhuan huan fei	6
转期	zhuan qi	6
转配股	zhuan pei gu	2
轮换制	lun huan zhi	18
软控股份	ruan kong gu fen	1
软通货	ruan tong huo	2
轻纺城	qing fang cheng	21
辅导期	fu dao qi	10
达创	da chuang	4
达力集团	da li ji tuan	6
达声	da sheng	5
达标者	da biao zhe	10
运盛	yun sheng	23
运营部	yun ying bu	7
运通公司	yun tong gong si	32
运通卡	yun tong ka	31
还本付息	huan ben fu xi	37
还款计划	huan kuan ji hua	15
远望谷	yuan wang gu	1
违约率	wei yue lv	21
迟付	chi fu	6
追加保证金	zhui jia bao zheng jin	6
追涨	zhui zhang	2
追索权	zhui suo quan	24
送股	song gu	6
送配	song pei	6
逃汇	tao hui	8
选股	xuan gu	44
通威股份	tong wei gu fen	6
通知期	tong zhi qi	42
通科	tong ke	5
通程控股	tong cheng kong gu	4
通达卡	tong da ka	22
通道制	tong dao zhi	4
通金	tong jin	4
速贷通	su dai tong	7
邀会	yao hui	3
邮币卡	you bi ka	9
郑州燃气	zheng zhou ran qi	4
鄂绒	e rong	4
酒鬼酒	jiu gui jiu	15
采掘业	cai jue ye	21
重仓	zhong cang	5
重仓股	zhong cang gu	2
重仪	zhong yi	4
重单	chong dan	4
重庆中药	chong qing zhong yao	1
重庆华亚	chong qing hua ya	1
重庆川仪	chong qing chuan yi	2
重庆机电	chong qing ji dian	29
重庆港九	chong qing gang jiu	1
重庆银行	chong qing yin hang	25
重新转向	chong xin zhuan xiang	2
重要公告	zhong yao gong gao	2
金业公司	jin ye gong si	3
金交所	jin jiao suo	1
金健米业	jin jian mi ye	9
金元宝	jin yuan bao	44
金利华电	jin li hua dian	4
金利来集团	jin li lai ji tuan	32
金利科技	jin li ke ji	2
金利通	jin li tong	3
金化	jin hua	7
金固股份	jin gu gu fen	3
金地集团	jin di ji tuan	9
