# 微明领域词库：财经，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
中航三鑫	zhong hang san xin	2
中航光电	zhong hang guang dian	5
中航地产	zhong hang di chan	4
中航科工	zhong hang ke gong	5
中航精机	zhong hang jing ji	1
中航重机	zhong hang zhong ji	2
中行	zhong hang	13
中西药业	zhong xi yao ye	12
中辽	zhong liao	4
中钢吉炭	zhong gang ji tan	2
中钨	zhong wu	3
中银卡	zhong yin ka	1
中银绒业	zhong yin rong ye	1
中长线	zhong chang xian	7
中集	zhong ji	11
中集安瑞科	zhong ji an rui ke	4
中集集团	zhong ji ji tuan	18
中青宝	zhong qing bao	23
中顺洁柔	zhong shun jie rou	3
中鲁	zhong lu	6
丰林集团	feng lin ji tuan	5
主力资金	zhu li zi jin	2
主要措施	zhu yao cuo shi	2
丽悦酒店	li yue jiu dian	13
丽珠集团	li zhu ji tuan	11
久立特材	jiu li te cai	5
乐电	le dian	5
九九久	jiu jiu jiu	1
九发	jiu fa	5
九州通	jiu zhou tong	23
九阳股份有限公司	jiu yang gu fen you xian gong si	1
九龙山	jiu long shan	10
买卖合同	mai mai he tong	38
买断型	mai duan xing	1
买空	mai kong	5
二季度	er ji du	29
二纺	er fang	2
二纺机	er fang ji	3
亏损面	kui sun mian	6
云南城投	yun nan cheng tou	3
云南盐化	yun nan yan hua	2
云南盐化股份有限公司	yun nan yan hua gu fen you xian gong si	4
云南锗业	yun nan zhe ye	2
云南马龙	yun nan ma long	7
云天化	yun tian hua	33
云海金属	yun hai jin shu	3
互太纺织	hu tai fang zhi	8
互联网周刊	hu lian wang zhou kan	11
五年期以上	wu nian qi yi shang	3
五洲明珠	wu zhou ming zhu	2
五矿发展	wu kuang fa zhan	10
五矿建设	wu kuang jian she	7
五矿期货	wu kuang qi huo	2
五矿证券	wu kuang zheng quan	2
五粮	wu liang	17
亚信	ya xin	12
亚夏汽车	ya xia qi che	5
亚星	ya xing	9
亚星化学	ya xing hua xue	4
亚玛顿	ya ma dun	5
交割单	jiao ge dan	1
交割日	jiao ge ri	7
交易区	jiao yi qu	12
交易厅	jiao yi ting	15
交易场	jiao yi chang	6
交易密码	jiao yi mi ma	1
交易指南	jiao yi zhi nan	1
交易日	jiao yi ri	15
交易时间	jiao yi shi jian	5
交易池	jiao yi chi	1
交易规则	jiao yi gui ze	40
交行	jiao hang	13
交货价	jiao huo jia	1
交货单	jiao huo dan	4
交钥匙	jiao yao shi	25
交银施罗德	jiao yin shi luo de	6
交银添利	jiao yin tian li	2
交银环球	jiao yin huan qiu	2
产业资本	chan ye zi ben	15
产品介绍	chan pin jie shao	3
产权导刊	chan quan dao kan	3
亨通光电	heng tong guang dian	1
京信通信	jing xin tong xin	15
京投银泰	jing tou yin tai	3
京运通	jing yun tong	6
亿安	yi an	5
亿阳信通	yi yang xin tong	1
仓单	cang dan	14
仕奇	shi qi	12
付息日	fu xi ri	2
代理制	dai li zhi	10
代领人	dai ling ren	16
仪化	yi hua	7
仲裁规则	zhong cai gui ze	12
价内权证	jia nei quan zheng	3
价格改革	jia ge gai ge	47
价税	jia shui	26
企业所得税法	qi ye suo de shui fa	23
伊立浦	yi li pu	6
众业达	zhong ye da	5
伟易达集团	wei yi da ji tuan	8
伦敦金	lun dun jin	3
低价股	di jia gu	4
低吸	di xi	7
低开	di kai	11
低点	di dian	13
体制性	ti zhi xing	20
佳士科技	jia shi ke ji	23
佳纸	jia zhi	1
供给区	gong ji qu	5
侨兴环球	qiao xing huan qiu	1
保函	bao han	38
保利地产	bao li di chan	19
保利达资产	bao li da zi chan	13
保增长	bao zeng zhang	1
保理商	bao li shang	8
保管人	bao guan ren	5
保网	bao wang	8
保荐制	bao jian zhi	4
保额	bao e	44
信息披露制度	xin xi pi lu zhi du	2
信息早报	xin xi zao bao	1
信托合同	xin tuo he tong	1
信托资产	xin tuo zi chan	22
信用度	xin yong du	30
信立泰	xin li tai	6
信联	xin lian	7
信诚四季红	xin cheng si ji hong	3
信诺	xin nuo	9
信贷资产	xin dai zi chan	12
信贷资金	xin dai zi jin	10
信达地产	xin da di chan	11
信达期货	xin da qi huo	2
信达证券	xin da zheng quan	11
信达资产	xin da zi chan	27
信达资产管理公司	xin da zi chan guan li gong si	17
