# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
伍孚	wu fu	15
伍宪子	wu xian zi	36
伍崇曜	wu chong yao	16
伍延鎏	wu yan liu	3
伍德彝	wu de yi	1
伍洪	wu hong	20
伍洲彤	wu zhou tong	6
伍琼	wu qiong	37
伍瑞隆	wu rui long	3
伍郎	wu lang	18
伍长华	wu zhang hua	4
伍霞	wu xia	6
伍飞	wu fei	4
伍骥	wu ji	8
伏契克	fu qi ke	31
伏胜	fu sheng	23
休徵	xiu zheng	3
会考府	hui kao fu	3
伦森布林克	lun sen bu lin ke	26
伯仁	bo ren	6
佐伯日菜子	zuo bo ri cai zi	18
佐佐木敦子	zuo zuo mu dun zi	22
佐佐木麻绪	zuo zuo mu ma xu	11
佐藤多佳子	zuo teng duo jia zi	15
佐藤宽子	zuo teng kuan zi	37
佐藤爱	zuo teng ai	4
佐藤蓝子	zuo teng lan zi	30
佐藤麻衣	zuo teng ma yi	37
何中	he zhong	10
何亮亮	he liang liang	19
何元锡	he yuan xi	3
何全	he quan	5
何其伟	he qi wei	3
何冬	he dong	11
何国栋	he guo dong	18
何基	he ji	7
何大成	he da cheng	1
何如宠	he ru chong	18
何子渊	he zi yuan	28
何孟春	he meng chun	31
何守志	he shou zhi	4
何守正	he shou zheng	18
何宗	he zong	4
何庆元	he qing yuan	4
何志锋	he zhi feng	1
何振岱	he zhen dai	2
何旃理	he zhan li	2
何曼	he man	4
何栋	he dong	46
何梦瑶	he meng yao	15
何植	he zhi	27
何永绍	he yong shao	3
何洋	he yang	11
何海洋	he hai yang	2
何深	he shen	6
何炫	he xuan	4
何玉成	he yu cheng	6
何琢言	he zhuo yan	34
何璋	he zhang	6
何祎	he yi	3
何祐	he you	7
何美钿	he mei tian	31
何翀	he chong	3
何苗	he miao	48
何赛飞	he sai fei	44
何进	he jin	8
何连生	he lian sheng	4
何适	he shi	6
何逊	he xun	32
何采	he cai	18
何鑫	he xin	11
何镗	he tang	4
余一元	yu yi yuan	1
余三胜	yu san sheng	23
余上沅	yu shang yuan	40
余世维	yu shi wei	7
余乐醒	yu le xing	17
余四海	yu si hai	3
余姝	yu shu	9
余安	yu an	4
余少镭	yu shao lei	3
余平	yu ping	8
余彤	yu tong	1
余怀	yu huai	49
余既成	yu ji cheng	12
余日章	yu ri zhang	30
余晓平	yu xiao ping	4
余栋臣	yu dong chen	6
余治	yu zhi	4
余洪元	yu hong yuan	1
余纲	yu gang	1
余绍宋	yu shao song	27
余继登	yu ji deng	11
余翠芝	yu cui zhi	25
余萧客	yu xiao ke	9
余觉	yu jue	8
余谈阵	yu tan zhen	4
余贲民	yu ben min	6
