# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
吕佛庭	lv fo ting	14
吕元	lv yuan	5
吕兴林	lv xing lin	2
吕厚山	lv hou shan	4
吕及	lv ji	2
吕后	lv hou	13
吕坚	lv jian	30
吕天成	lv tian cheng	13
吕学	lv xue	7
吕宁思	lv ning si	10
吕宫	lv gong	2
吕宾	lv bin	3
吕小白	lv xiao bai	2
吕尚春	lv shang chun	3
吕山	lv shan	6
吕常	lv chang	3
吕得	lv de	2
吕怀	lv huai	12
吕惠生	lv hui sheng	3
吕旃蒙	lv zhan meng	13
吕晓明	lv xiao ming	1
吕本	lv ben	3
吕本富	lv ben fu	2
吕浩	lv hao	8
吕淑华	lv shu hua	8
吕渊	lv yuan	5
吕熊	lv xiong	18
吕燕	lv yan	37
吕献	lv xian	11
吕王	lv wang	5
吕璜	lv huang	13
吕端	lv duan	46
吕纪	lv ji	25
吕纯阳	lv chun yang	48
吕继周	lv ji zhou	1
吕翔	lv xiang	27
吕贤基	lv xian ji	14
吕赤	lv chi	10
吕钦	lv qin	48
吕锦文	lv jin wen	3
吕陶	lv tao	19
吕隆	lv long	2
吕震	lv zhen	43
启普	qi pu	2
吴一舟	wu yi zhou	1
吴一鹏	wu yi peng	16
吴世泰	wu shi tai	3
吴东峰	wu dong feng	4
吴中行	wu zhong xing	22
吴之振	wu zhi zhen	13
吴之璠	wu zhi fan	1
吴之英	wu zhi ying	17
吴仁杰	wu ren jie	14
吴仞之	wu ren zhi	5
吴令	wu ling	4
吴仲禧	wu zhong xi	18
吴任臣	wu ren chen	43
吴传玉	wu chuan yu	28
吴伯箫	wu bo xiao	19
吴佳龙	wu jia long	1
吴俊卿	wu jun qing	5
吴信泉	wu xin quan	42
吴修	wu xiu	4
吴元龙	wu yuan long	4
吴兆棠	wu zhao tang	7
吴先声	wu xian sheng	4
吴光浩	wu guang hao	20
吴克仁	wu ke ren	36
吴兑	wu dui	16
吴兰	wu lan	11
吴兴祚	wu xing zuo	28
吴其浚	wu qi jun	4
吴剑平	wu jian ping	14
吴匡	wu kuang	35
吴升	wu sheng	3
吴南	wu nan	6
吴历	wu li	37
吴可读	wu ke du	3
吴向东	wu xiang dong	27
吴向飞	wu xiang fei	8
吴嗣爵	wu si jue	4
吴嘉善	wu jia shan	9
吴国发	wu guo fa	3
吴均	wu jun	6
吴坤修	wu kun xiu	12
吴士杰	wu shi jie	2
吴复	wu fu	3
吴复古	wu fu gu	5
吴大澄	wu da cheng	6
吴大琨	wu da kun	40
吴天保	wu tian bao	19
吴奕	wu yi	49
吴妍秀	wu yan xiu	3
吴娈	wu luan	3
吴子兰	wu zi lan	18
吴子孝	wu zi xiao	3
吴子牛	wu zi niu	39
吴子良	wu zi liang	40
吴安	wu an	6
吴宗濂	wu zong lian	22
吴宗麟	wu zong lin	1
吴宝书	wu bao shu	7
吴宝秀	wu bao xiu	5
吴嵩梁	wu song liang	9
吴广	wu guang	9
吴庆云	wu qing yun	11
吴应箕	wu ying ji	27
吴廷华	wu ting hua	3
吴廷康	wu ting kang	24
吴廷栋	wu ting dong	15
吴廷琛	wu ting chen	2
吴建飞	wu jian fei	25
吴式芬	wu shi fen	8
吴弘道	wu hong dao	2
吴强	wu qiang	12
吴德福	wu de fu	1
吴志伟	wu zhi wei	23
吴志忠	wu zhi zhong	10
吴志淳	wu zhi chun	1
吴思敏	wu si min	4
吴恺	wu kai	39
吴成基	wu cheng ji	4
吴房	wu fang	3
吴承仕	wu cheng shi	46
吴振棫	wu zhen yu	20
吴振民	wu zhen min	2
吴敏树	wu min shu	3
吴文炳	wu wen bing	11
吴新宇	wu xin yu	7
吴旦	wu dan	21
吴晓东	wu xiao dong	41
吴晓邦	wu xiao bang	31
吴智豪	wu zhi hao	3
吴暻	wu jing	4
吴有性	wu you xing	17
吴本忠	wu ben zhong	2
吴极	wu ji	4
吴标	wu biao	4
吴格	wu ge	4
吴桂森	wu gui sen	2
吴梅	wu mei	9
吴棠	wu tang	29
吴楚材	wu chu cai	7
吴榕	wu rong	3
吴沃尧	wu wo yao	8
吴沙	wu sha	10
吴泰	wu tai	4
吴浚	wu jun	14
吴涵	wu han	31
吴淑英	wu shu ying	2
吴淞笙	wu song sheng	21
吴淦	wu gan	25
吴清玉	wu qing yu	2
吴渭	wu wei	10
吴激	wu ji	11
吴焕先	wu huan xian	43
吴煦	wu xu	29
吴照	wu zhao	4
吴熙载	wu xi zai	8
吴献	wu xian	33
吴玉林	wu yu lin	1
吴班	wu ban	3
吴琠	wu tian	19
吴瑕	wu xia	10
吴省钦	wu sheng qin	13
吴硕	wu shuo	49
吴祥麟	wu xiang lin	2
吴纯	wu chun	5
吴纲	wu gang	27
吴组缃	wu zu xiang	23
吴绍周	wu shao zhou	41
吴群	wu qun	8
吴翌凤	wu yi feng	2
吴肇毅	wu zhao yi	16
吴自新	wu zi xin	3
吴节	wu jie	4
吴芳吉	wu fang ji	17
吴芹	wu qin	4
吴若权	wu ruo quan	15
吴若甫	wu ruo fu	20
吴荣光	wu rong guang	29
吴荣生	wu rong sheng	4
吴菊花	wu ju hua	3
吴蓓	wu bei	39
吴藻	wu zao	17
吴虞	wu yu	36
吴襄	wu xiang	40
吴观岱	wu guan dai	3
吴觉农	wu jue nong	31
吴讷	wu ne	27
吴说	wu shuo	11
吴贻弓	wu yi gong	34
吴辰君	wu chen jun	36
吴运铎	wu yun duo	36
吴道镕	wu dao rong	14
吴郁生	wu yu sheng	17
吴金寿	wu jin shou	1
吴金梅	wu jin mei	1
吴钦烈	wu qin lie	3
吴钧	wu jun	43
吴铨	wu quan	19
吴锡麟	wu xi lin	9
吴锦城	wu jin cheng	3
吴镜汀	wu jing ting	15
吴阿仑	wu a lun	3
吴雪	wu xue	7
吴雯	wu wen	15
吴雷	wu lei	7
吴霖	wu lin	5
吴韦	wu wei	4
吴颂今	wu song jin	15
吴飞鹏	wu fei peng	5
吴鹰	wu ying	4
吴麟	wu lin	25
吴麟征	wu lin zheng	15
吴鼎元	wu ding yuan	4
吾酷	wu ku	1
周世德	zhou shi de	4
周世金	zhou shi jin	4
周义成	zhou yi cheng	2
周之桢	zhou zhi zhen	6
周之礼	zhou zhi li	3
周之祯	zhou zhi zhen	1
周乐清	zhou le qing	2
周京	zhou jing	7
周仓	zhou cang	6
周仕	zhou shi	15
周伟童	zhou wei tong	2
周传瑛	zhou chuan ying	15
周伦	zhou lun	5
周伯琦	zhou bo qi	11
周佐	zhou zuo	2
周体仁	zhou ti ren	12
周佩	zhou pei	5
周信	zhou xin	6
周健君	zhou jian jun	2
周克成	zhou ke cheng	3
周克芹	zhou ke qin	15
周兴岱	zhou xing dai	8
周兵	zhou bing	10
周其凤	zhou qi feng	32
周冕	zhou mian	39
周准	zhou zhun	4
周匡王	zhou kuang wang	18
周升	zhou sheng	7
周去非	zhou qu fei	30
周召	zhou shao	37
周号	zhou hao	3
周启邦	zhou qi bang	46
周哲	zhou zhe	45
周国平	zhou guo ping	48
周士彬	zhou shi bin	1
周士锦	zhou shi jin	2
周复	zhou fu	6
周大新	zhou da xin	35
周天球	zhou tian qiu	6
周太玄	zhou tai xuan	34
周奇奇	zhou qi qi	24
周如璧	zhou ru bi	4
周如砥	zhou ru di	5
周子安	zhou zi an	3
周宁	zhou ning	11
周守忠	zhou shou zhong	1
周宗建	zhou zong jian	33
周宝英	zhou bao ying	2
周实	zhou shi	5
周寿祺	zhou shou qi	2
周尚	zhou shang	5
周尚文	zhou shang wen	30
周履靖	zhou lv jing	7
周岱	zhou dai	25
周崇林	zhou chong lin	3
周巽	zhou xun	13
周希汉	zhou xi han	43
周干	zhou gan	6
周庆云	zhou qing yun	15
周庆祥	zhou qing xiang	42
周应合	zhou ying he	2
周建烈	zhou jian lie	3
周开成	zhou kai cheng	5
周彦宏	zhou yan hong	6
周彩	zhou cai	3
周循	zhou xun	25
周德刚	zhou de gang	6
周志兴	zhou zhi xing	2
周志群	zhou zhi qun	9
周志高	zhou zhi gao	2
周恕	zhou shu	12
周恭	zhou gong	2
周愈	zhou yu	2
周慕莲	zhou mu lian	2
周懋琦	zhou mao qi	18
周才鸿	zhou cai hong	3
周承德	zhou cheng de	2
周拔	zhou ba	3
周文彬	zhou wen bin	22
周文雍	zhou wen yong	36
周旨	zhou zhi	15
周昕	zhou xin	48
周星诒	zhou xing yi	9
周权	zhou quan	7
周桂	zhou gui	3
周棠	zhou tang	3
周楫	zhou ji	11
周武王姬发	zhou wu wang ji fa	12
周殿元	zhou dian yuan	2
周永年	zhou yong nian	16
周永泰	zhou yong tai	36
周汶锜	zhou wen qi	48
周泰	zhou tai	5
周洲	zhou zhou	7
周淑禧	zhou shu xi	3
周淦	zhou gan	3
周清原	zhou qing yuan	2
周渔	zhou yu	19
周炳文	zhou bing wen	4
周煦	zhou xu	17
周玉衡	zhou yu heng	2
周瑛琦	zhou ying qi	8
周瑞生	zhou rui sheng	1
周璋	zhou zhang	2
周盛传	zhou sheng chuan	10
周真	zhou zhen	5
周矩	zhou ju	11
周祖晃	zhou zu huang	20
周祯	zhou zhen	10
周科进	zhou ke jin	2
周稚舜	zhou zhi shun	3
周笠	zhou li	2
周绍龙	zhou shao long	1
周群	zhou qun	9
周而复	zhou er fu	46
周胜考	zhou sheng kao	6
周胤	zhou yin	22
周臣	zhou chen	5
周舫	zhou fang	1
周茂兰	zhou mao lan	4
周莲	zhou lian	5
周贻白	zhou yi bai	4
周达武	zhou da wu	11
周述	zhou shu	31
周钟	zhou zhong	5
周铁衡	zhou tie heng	2
周铎	zhou duo	22
周锷	zhou e	5
周镜	zhou jing	3
周长发	zhou chang fa	1
周雷	zhou lei	8
周颢	zhou hao	4
周驰	zhou chi	2
周高起	zhou gao qi	7
周魁	zhou kui	1
周鲲	zhou kun	5
周鸿彬	zhou hong bin	3
周鸿陵	zhou hong ling	3
味县	wei xian	3
呼揭	hu jie	43
和田现子	he tian xian zi	34
咸清	xian qing	3
哈吉甫	ha ji fu	26
哈孜艾买提	ha zi ai mai ti	3
哈定	ha ding	7
哈密王	ha mi wang	20
哲别	zhe bie	5
唐世美	tang shi mei	3
唐元结	tang yuan jie	2
唐光	tang guang	7
唐冬梅	tang dong mei	4
唐周	tang zhou	3
唐和春	tang he chun	2
唐国章	tang guo zhang	3
唐培华	tang pei hua	2
唐复	tang fu	2
唐大年	tang da nian	8
唐大柏	tang da bai	6
唐大烈	tang da lie	1
唐天驷	tang tian si	2
唐孝威	tang xiao wei	10
唐宇昭	tang yu zhao	4
唐守治	tang shou zhi	23
唐富春	tang fu chun	1
唐峥	tang zheng	1
唐师曾	tang shi zeng	11
唐广	tang guang	4
唐执玉	tang zhi yu	6
唐文凤	tang wen feng	3
唐春晖	tang chun hui	3
唐昭宣帝	tang zhao xuan di	14
唐晖	tang hui	11
唐林	tang lin	8
唐枢	tang shu	12
唐树义	tang shu yi	7
唐桂芳	tang gui fang	1
唐槐秋	tang huai qiu	13
唐毅	tang yi	31
唐泽雪穗	tang ze xue sui	9
唐洁	tang jie	2
唐清建	tang qing jian	2
唐炯	tang jiong	17
唐熙	tang xi	10
唐瑞	tang rui	5
唐磊	tang lei	17
唐笑	tang xiao	6
唐肃	tang su	25
唐芬	tang fen	2
唐芸洲	tang yun zhou	2
唐重	tang zhong	2
唐隆	tang long	6
商思源	shang si yuan	2
商挺	shang ting	3
商盘	shang pan	3
商衍鎏	shang yan liu	29
商鸿逵	shang hong kui	5
善住	shan zhu	3
喻培伦	yu pei lun	41
喻恩泰	yu en tai	32
喻昌	yu chang	16
喻林祥	yu lin xiang	21
喻红	yu hong	35
嘎立立	ga li li	3
四元奈生美	si yuan nai sheng mei	1
图伯特	tu bo te	44
圜土	yuan tu	9
土安	tu an	8
土鼓	tu gu	12
圣通	sheng tong	5
地节	di jie	5
坂本真	ban ben zhen	43
坐山雕	zuo shan diao	2
埃尔克耶尔	ai er ke ye er	1
埃布登	ai bu deng	4
埃德尔曼	ai de er man	44
基冈	ji gang	5
基马尔	ji ma er	4
堵胤锡	du yin xi	39
堺利彦	jie li yan	36
塔信	ta xin	6
塔尔德利	ta er de li	36
塞尔赫	sai er he	9
墨翟	mo di	41
夏业良	xia ye liang	46
夏书绅	xia shu shen	4
夏伯和	xia bo he	2
夏侯和	xia hou he	2
夏侯威	xia hou wei	48
夏侯惠	xia hou hui	17
夏侯杰	xia hou jie	12
夏同	xia tong	4
夏同善	xia tong shan	20
夏国章	xia guo zhang	2
夏宏	xia hong	5
夏寿田	xia shou tian	20
夏尚朴	xia shang pu	4
夏恽	xia yun	16
夏敬渠	xia jing qu	14
夏敬观	xia jing guan	24
夏文彦	xia wen yan	4
夏曾佑	xia zeng you	45
夏木真理	xia mu zhen li	3
夏树芳	xia shu fang	11
夏梦	xia meng	7
夏榕	xia rong	3
夏汝弼	xia ru bi	6
夏炯	xia jiong	4
夏荷生	xia he sheng	2
夏銮	xia luan	10
夏颖	xia ying	17
外丙	wai bing	33
外黄	wai huang	7
大原	da yuan	8
大原丽子	da yuan li zi	38
大地真央	da di zhen yang	49
大岛由加利	da dao you jia li	14
大政绚	da zheng xuan	43
大暮维人	da mu wei ren	30
大松博文	da song bo wen	17
大桥卓弥	da qiao zhuo mi	20
大汕	da shan	22
大江千里	da jiang qian li	24
大涵	da han	4
大策	da ce	6
大良造	da liang zao	28
大行令	da xing ling	21
大谷太郎	da gu tai lang	20
大贯妙子	da guan miao zi	47
大须	da xu	6
天海佑希	tian hai you xi	6
天纪	tian ji	4
天野浩成	tian ye hao cheng	35
太丁	tai ding	3
太史院	tai shi yuan	16
太戊	tai wu	2
太熙	tai xi	6
太田光	tai tian guang	25
太田裕美	tai tian yu mei	11
太田雄贵	tai tian xiong gui	11
太甲	tai jia	5
太祖努尔哈赤	tai zu nu er ha chi	17
头曼	tou man	3
奈保尔	nai bao er	14
奈瓦尔	nai wa er	10
奉礼郎	feng li lang	45
奉高	feng gao	3
奏曹掾	zou cao yuan	2
奔霄	ben xiao	4
奕詝	yi zhu	5
奚冈	xi gang	19
奚疑	xi yi	3
奚美娟	xi mei juan	47
奥维兰	ao wei lan	10
如妃	ru fei	5
如德	ru de	6
妇好	fu hao	7
妙才	miao cai	3
妙真	miao zhen	2
妫满	gui man	9
妲已	da yi	2
妹喜	mei xi	17
姚中英	yao zhong ying	9
姚仁安	yao ren an	4
姚仁寿	yao ren shou	3
姚仔	yao zai	2
姚以价	yao yi jie	19
姚北辰	yao bei chen	4
姚华	yao hua	31
姚名达	yao ming da	40
姚国辉	yao guo hui	5
姚培谦	yao pei qian	2
姚堂	yao tang	10
姚夏	yao xia	37
姚岚	yao lan	8
姚希孟	yao xi meng	19
姚弘	yao hong	8
姚怀祥	yao huai xiang	12
姚文俊	yao wen jun	1
姚文瀚	yao wen han	1
姚明恭	yao ming gong	10
姚柬之	yao jian zhi	3
姚椿	yao chun	5
姚水娟	yao shui juan	21
姚永朴	yao yong pu	20
姚永概	yao yong gai	12
姚洋	yao yang	5
姚洪业	yao hong ye	1
姚涛	yao tao	7
姚淑	yao shu	26
姚澜	yao lan	4
姚燧	yao sui	20
姚燮	yao xie	24
姚珩	yao heng	1
姚琛	yao chen	32
姚琮	yao cong	14
姚礼修	yao li xiu	1
姚祥	yao xiang	7
姚福	yao fu	2
姚绶	yao shou	3
姚能	yao neng	5
姚芸竹	yao yun zhu	2
姚范	yao fan	16
姚觐元	yao jin yuan	6
姚采颖	yao cai ying	22
姚际恒	yao ji heng	24
姚集鲁	yao ji lu	2
姜丰	jiang feng	40
姜丹书	jiang dan shu	14
姜勋	jiang xun	26
姜培琳	jiang pei lin	3
姜声扬	jiang sheng yang	13
姜宸英	jiang chen ying	34
姜寒	jiang han	11
姜广平	jiang guang ping	2
姜建铭	jiang jian ming	34
姜彤	jiang tong	4
姜惠贞	jiang hui zhen	27
姜昊	jiang hao	9
姜易	jiang yi	2
姜晖	jiang hui	7
姜桂	jiang gui	48
姜椿芳	jiang chun fang	25
姜楠	jiang nan	19
姜汉忠	jiang han zhong	5
姜浩波	jiang hao bo	8
姜筠	jiang yun	1
姜薇	jiang wei	1
姜贞	jiang zhen	16
姬云	ji yun	3
姬元	ji yuan	3
姬光	ji guang	2
姬兰	ji lan	2
姬友	ji you	5
姬发	ji fa	5
姬周	ji zhou	5
姬哙	ji kuai	2
姬喜	ji xi	8
姬奭	ji shi	3
姬完	ji wan	2
姬封	ji feng	2
姬平	ji ping	3
姬度	ji du	2
姬康	ji kang	3
姬延	ji yan	17
姬开	ji kai	2
姬强	ji qiang	4
姬旦	ji dan	13
姬晋	ji jin	2
姬林	ji lin	4
姬满	ji man	3
姬玉	ji yu	19
姬班	ji ban	2
姬申	ji shen	2
姬秋	ji qiu	23
姬苏	ji su	3
姬蒯聩	ji kuai kui	2
姬虞	ji yu	2
姬诡诸	ji gui zhu	2
姬诵	ji song	4
姬起	ji qi	2
姬辄	ji zhe	3
姬重耳	ji chong er	3
姬野	ji ye	2
姬钊	ji zhao	3
姬静	ji jing	6
威公	wei gong	3
威娜	wei na	6
威帝	wei di	18
威廉托马斯	wei lian tuo ma si	2
威阿	wei a	4
娄义华	lou yi hua	6
娄健	lou jian	3
娄雷	lou lei	6
嬴子楚	ying zi chu	19
嬴柱	ying zhu	8
嬴稷	ying ji	17
子丹	zi dan	6
子义	zi yi	5
子云	zi yun	7
子伯	zi bo	2
子尤	zi you	3
子建	zi jian	6
子桓	zi huan	3
子高	zi gao	5
子鱼	zi yu	6
孔从洲	kong cong zhou	24
孔令晖	kong ling hui	13
孔传鋕	kong chuan zhi	2
孔伯华	kong bo hua	5
孔元措	kong yuan cuo	30
孔媛媛	kong yuan yuan	1
孔宙	kong zhou	48
孔宪培	kong xian pei	23
孔广林	kong guang lin	16
孔广森	kong guang sen	42
孔广陶	kong guang tao	2
孔昱	kong yu	25
孔毓圻	kong yu qi	24
孔比	kong bi	3
孔琳琳	kong lin lin	34
孔璋	kong zhang	22
孔甲	kong jia	4
孔硕	kong shuo	9
孔祥明	kong xiang ming	14
孔祥瑞	kong xiang rui	9
孔秀	kong xiu	4
孔繁森	kong fan sen	45
孔继涑	kong ji su	34
孔齐	kong qi	3
孙东山	sun dong shan	1
孙中新	sun zhong xin	2
孙乾	sun qian	12
孙云晓	sun yun xiao	12
孙亿	sun yi	3
孙仁	sun ren	5
孙作	sun zuo	3
孙倩	sun qian	6
孙光大	sun guang da	3
孙光宪	sun guang xian	30
孙光祀	sun guang si	5
孙光裕	sun guang yu	5
孙克弘	sun ke hong	8
孙刚	sun gang	11
孙勇征	sun yong zheng	8
孙嘉淦	sun jia gan	37
孙国柱	sun guo zhu	4
孙坤	sun kun	3
孙堂	sun tang	3
孙奇逢	sun qi feng	34
孙奕	sun yi	18
孙威	sun wei	18
孙宝珊	sun bao shan	6
孙小茹	sun xiao ru	1
孙少先	sun shao xian	2
孙山	sun shan	8
孙岩	sun yan	21
孙岳颁	sun yue ban	5
孙干	sun gan	4
孙庚	sun geng	3
孙廷铨	sun ting quan	10
孙异	sun yi	2
孙德谦	sun de qian	7
孙志伟	sun zhi wei	3
孙志宏	sun zhi hong	2
孙忠同	sun zhong tong	15
孙恭	sun gong	10
孙慎行	sun shen xing	26
孙懋	sun mao	22
孙承恩	sun cheng en	43
孙承泽	sun cheng ze	30
孙据	sun ju	2
孙文涛	sun wen tao	1
孙明东	sun ming dong	3
孙明瑾	sun ming jin	14
孙智正	sun zhi zheng	1
孙朗	sun lang	3
孙本文	sun ben wen	19
孙林	sun lin	10
孙树成	sun shu cheng	3
孙桓	sun huan	47
孙桢	sun zhen	7
孙梁	sun liang	6
孙梅	sun mei	7
孙殿起	sun dian qi	5
孙毓汶	sun yu wen	30
孙永清	sun yong qing	27
孙沄	sun yun	1
孙河	sun he	10
孙洁	sun jie	31
孙浪	sun lang	4
孙海峰	sun hai feng	8
孙淦	sun gan	13
孙滨	sun bin	9
孙灏	sun hao	16
孙炎	sun yan	28
孙犁	sun li	37
孙玉庭	sun yu ting	21
孙玥	sun yue	29
孙玺	sun xi	15
孙珑	sun long	2
孙琮	sun cong	6
孙甘露	sun gan lu	4
孙登	sun deng	4
孙睿	sun rui	10
孙秉枢	sun bing shu	17
孙立群	sun li qun	48
孙綝	sun chen	4
孙纯	sun chun	12
孙绪	sun xu	8
孙艾	sun ai	3
孙蕙	sun hui	10
孙虹钢	sun hong gang	5
孙衣言	sun yi yan	23
孙超曾	sun chao zeng	3
孙逊	sun xun	34
孙逸飞	sun yi fei	3
孙道明	sun dao ming	1
孙道静	sun dao jing	4
孙里	sun li	2
孙铨	sun quan	7
孙铸	sun zhu	1
孙锵鸣	sun qiang ming	13
孙隆	sun long	5
孙雄	sun xiong	22
孙雪泥	sun xue ni	1
孙飞	sun fei	9
孙高	sun gao	4
孝庄皇后	xiao zhuang huang hou	12
孟京涛	meng jing tao	5
孟优	meng you	20
孟坦	meng tan	13
孟复	meng fu	37
孟尧	meng yao	6
孟昭忠	meng zhao zhong	2
孟欣	meng xin	36
孟湄	meng mei	3
孟爽	meng shuang	4
孟珍	meng zhen	3
孟立国	meng li guo	2
孟节	meng jie	3
孟起	meng qi	3
孟超然	meng chao ran	3
孟达	meng da	11
季佐	ji zuo	3
季宁	ji ning	6
季小军	ji xiao jun	5
季振同	ji zhen tong	39
季振宜	ji zhen yi	18
季本	ji ben	6
季红	ji hong	6
季芝昌	ji zhi chang	18
季麟	ji lin	36
学蕴	xue yun	1
宁随	ning sui	2
宇文成都	yu wen cheng du	28
宇文虚中	yu wen xu zhong	31
宇文阐	yu wen chan	47
宇鹏	yu peng	19
安众	an zhong	4
安倍吉俊	an bei ji jun	23
安又琪	an you qi	39
安德王	an de wang	2
安惠	an hui	7
安文钦	an wen qin	7
安汉	an han	5
安沂华	an yi hua	4
安泽豪	an ze hao	6
安熙	an xi	4
安琥	an hu	18
安祚永	an zuo yong	23
安童	an tong	4
安致远	an zhi yuan	9
安藤政信	an teng zheng xin	49
安西奇	an xi qi	4
安达佑实	an da you shi	10
安钧璨	an jun can	30
宋一平	song yi ping	45
宋世德	song shi de	10
宋之的	song zhi di	35
宋伯仁	song bo ren	1
宋俊德	song jun de	5
宋公	song gong	5
宋冰洁	song bing jie	3
宋善美	song shan mei	19
宋嘉宝	song jia bao	3
宋国强	song guo qiang	9
宋国青	song guo qing	5
宋子千	song zi qian	6
宋定国	song ding guo	1
宋广平	song guang ping	2
宋开春	song kai chun	2
宋微子	song wei zi	27
宋念申	song nian shen	1
宋思仁	song si ren	2
宋恕	song shu	43
宋无	song wu	3
宋旭	song xu	20
宋晋	song jin	24
宋晓军	song xiao jun	7
宋景诗	song jing shi	44
宋曹	song cao	11
宋权	song quan	5
宋果	song guo	16
宋柯	song ke	30
宋殇公	song shang gong	35
宋毅	song yi	12
宋汶	song wen	17
宋炜	song wei	32
宋燕	song yan	18
宋献	song xian	29
宋玉林	song yu lin	3
宋珏	song jue	4
宋琪	song qi	15
宋琬	song wan	35
宋白	song bai	4
宋祖德	song zu de	15
宋策	song ce	6
宋纁	song xun	3
宋耕	song geng	2
宋至	song zhi	7
宋英杰	song ying jie	19
宋荦	song luo	44
宋蔼龄	song ai ling	21
宋谦	song qian	34
宋达	song da	7
宋雪林	song xue lin	6
宋霖	song lin	9
宋骏业	song jun ye	4
宏瑜	hong yu	3
宗周	zong zhou	6
宗子	zong zi	5
宗安	zong an	2
宗宝	zong bao	5
宗朗	zong lang	2
宗楷	zong kai	17
宗永生	zong yong sheng	3
宗泰	zong tai	5
宗涛	zong tao	6
宗王	zong wang	4
宗珊	zong shan	8
宗璞	zong pu	36
宗臣	zong chen	4
官廉	guan lian	30
定妃	ding fei	2
实源	shi yuan	1
宣华华	xuan hua hua	8
宣恒	xuan heng	5
宣永光	xuan yong guang	2
宫东风	gong dong feng	3
宫少朋	gong shao peng	5
宫本直毅	gong ben zhi yi	19
家弓家正	jia gong jia zheng	29
家永三郎	jia yong san lang	32
容嫔	rong pin	32
容有略	rong you lve	12
寇遐	kou xia	24
寝陵	qin ling	5
寸性奇	cun xing qi	32
寿里	shou li	4
封谞	feng xu	14
封锡禄	feng xi lu	3
尉迟琳嘉	yu chi lin jia	20
小乙	xiao yi	6
小县真树	xiao xian zhen shu	7
小向美奈子	xiao xiang mei nai zi	42
小天	xiao tian	11
小室友里	xiao shi you li	25
小岛南	xiao dao nan	30
小岛圣	xiao dao sheng	19
小川悦司	xiao chuan yue si	20
小松拓也	xiao song tuo ye	3
小林优子	xiao lin you zi	34
小林优美	xiao lin you mei	16
小林惠美	xiao lin hui mei	23
小林爱	xiao lin ai	3
小林觉	xiao lin jue	42
小桥惠	xiao qiao hui	4
小波尔加	xiao bo er jia	4
小泽圆	xiao ze yuan	13
小泽玛利亚	xiao ze ma li ya	4
小爱	xiao ai	10
小甲	xiao jia	6
小辛	xiao xin	3
小野丽莎	xiao ye li sha	41
小阪由佳	xiao ban you jia	14
小鹿纯子	xiao lu chun zi	13
少宰	shao zai	48
少正	shao zheng	4
尚其亨	shang qi heng	41
尚威	shang wei	4
尚广	shang guang	3
尚玄	shang xuan	23
尚进	shang jin	6
尤乘	you cheng	1
尤侗	you dong	34
尤利塞斯	you li sai si	20
尤怡	you yi	2
尤珍	you zhen	33
尤良	you liang	9
尤荫	you yin	10
尤颖钦	you ying qin	5
尹中立	yin zhong li	9
尹丽川	yin li chuan	17
尹会一	yin hui yi	8
尹卫红	yin wei hong	3
尹宗禹	yin zong yu	5
尹旭	yin xu	2
尹相杰	yin xiang jie	20
尹礼	yin li	26
尹默	yin mo	26
尼耳斯	ni er si	6
尾生	wei sheng	5
居廉	ju lian	48
居节	ju jie	6
屈万里	qu wan li	37
屈修	qu xiu	2
屈轶	qu yi	1
展子虔	zhan zi qian	15
屠娇娇	tu jiao jiao	20
屠滽	tu yong	42
山口晶	shan kou jing	11
山口理惠	shan kou li hui	13
山口登	shan kou deng	18
山城宏	shan cheng hong	33
山奇	shan qi	6
山崎一	shan qi yi	4
山崎真由美	shan qi zhen you mei	2
山本润子	shan ben run zi	10
山本百合子	shan ben bai he zi	31
山本萨夫	shan ben sa fu	23
山樱	shan ying	9
山涛	shan tao	6
山田信夫	shan tian xin fu	33
山田美穗	shan tian mei sui	30
山田规三生	shan tian gui san sheng	23
岑凯伦	cen kai lun	18
岑威	cen wei	1
岑昏	cen hun	20
岑永康	cen yong kang	34
岑科	cen ke	37
岩佐真悠子	yan zuo zhen you zi	45
岩本薰	yan ben xun	28
岩田达明	yan tian da ming	3
岳岱	yue dai	4
岳正	yue zheng	3
岳美中	yue mei zhong	7
岳雷	yue lei	33
岳高	yue gao	2
岸惠子	an hui zi	33
岸本加世子	an ben jia shi zi	25
崇恩	chong en	4
崔元星	cui yuan xing	2
崔勇	cui yong	41
崔哲翰	cui zhe han	2
崔圭丙	cui gui bing	6
崔夫人	cui fu ren	26
崔奕	cui yi	3
崔子范	cui zi fan	4
崔岩	cui yan	17
崔志刚	cui zhi gang	10
崔明	cui ming	6
崔明勋	cui ming xun	18
崔晓光	cui xiao guang	2
崔林	cui lin	7
崔毅	cui yi	22
崔江熙	cui jiang xi	9
崔纪	cui ji	12
崔美善	cui mei shan	23
崔蔚林	cui wei lin	7
崔陟	cui zhi	2
崔颢	cui hao	45
嵇含	ji han	39
嵇文甫	ji wen fu	29
嵇曾筠	ji zeng yun	20
川井郁子	chuan jing yu zi	4
川口开治	chuan kou kai zhi	38
川岛直美	chuan dao zhi mei	27
川岛茉树代	chuan dao mo shu dai	40
州泰	zhou tai	6
左宝贵	zuo bao gui	31
左尹	zuo yin	24
左执法	zuo zhi fa	12
左晓蕾	zuo xiao lei	8
左正	zuo zheng	9
左齐	zuo qi	4
巨平	ju ping	5
