# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
关系模型	guan xi mo xing	103
关系网	guan xi wang	103
关羽	guan yu	3140
关联	guan lian	13273
关联公司	guan lian gong si	264
关节	guan jie	4679
关节囊	guan jie nang	50
关节炎	guan jie yan	1011
关节疼痛	guan jie teng tong	91
关节软骨	guan jie ruan gu	59
关节镜	guan jie jing	60
关节面	guan jie mian	157
关西	guan xi	9478
关进	guan jin	1204
关里	guan li	24
关键	guan jian	35862
关键字	guan jian zi	2117
关键是	guan jian shi	7060
关键词	guan jian ci	1650
关键路径	guan jian lu jing	77
关门	guan men	4258
关门主义	guan men zhu yi	43
关门大吉	guan men da ji	87
关门山	guan men shan	61
关门打狗	guan men da gou	12
关闭	guan bi	30760
关闸广场	guan zha guang chang	122
关闸马路	guan zha ma lu	91
关防	guan fang	202
关隘	guan ai	363
关饷	guan xiang	3
兴	xing	61148
兴业	xing ye	2382
兴业公司	xing ye gong si	68
兴业银行	xing ye yin hang	474
兴中路	xing zhong lu	76
兴义市	xing yi shi	118
兴亚	xing ya	340
兴亡	xing wang	344
兴修	xing xiu	450
兴兵	xing bing	354
兴冲冲	xing chong chong	79
兴利除弊	xing li chu bi	42
兴办	xing ban	1431
兴化	xing hua	2084
兴化县	xing hua xian	175
兴化市	xing hua shi	205
兴化府	xing hua fu	165
兴化府莆	xing hua fu pu	428
兴化路	xing hua lu	59
兴华街	xing hua jie	298
兴县	xing xian	1542
兴发	xing fa	273
兴叹	xing tan	42
兴味	xing wei	76
兴国	xing guo	3036
兴国路	xing guo lu	70
兴头	xing tou	29
兴头儿上	xing tou er shang	6
兴奋	xing fen	9909
兴奋剂	xing fen ji	1348
兴奋性	xing fen xing	117
兴妖作怪	xing yao zuo guai	5
兴学	xing xue	383
兴宁	xing ning	918
兴宁县	xing ning xian	137
兴宁市	xing ning shi	241
兴安	xing an	4488
兴安路	xing an lu	133
兴宾	xing bin	76
兴寿	xing shou	60
兴州	xing zhou	382
兴工	xing gong	199
兴工街	xing gong jie	51
兴师	xing shi	116
兴师动众	xing shi dong zhong	45
兴师问罪	xing shi wen zui	73
兴平县	xing ping xian	79
兴平市	xing ping shi	120
兴府	xing fu	294
兴废	xing fei	147
兴建	xing jian	45187
兴文	xing wen	399
兴旺	xing wang	1071
兴旺发达	xing wang fa da	57
兴替	xing ti	21
兴村	xing cun	518
兴泰	xing tai	117
兴盛	xing sheng	3279
兴福寺	xing fu si	310
兴胜	xing sheng	91
兴致	xing zhi	945
兴致勃勃	xing zhi bo bo	115
兴艺	xing yi	6
兴衰	xing shuai	659
兴许	xing xu	302
兴起	xing qi	9017
兴趣	xing qu	39147
兴达	xing da	290
兴郡	xing jun	301
兴隆	xing long	4499
兴隆台	xing long tai	52
兴隆庄	xing long zhuang	116
兴隆村	xing long cun	67
兴隆街	xing long jie	100
兴隆路	xing long lu	112
兴风作浪	xing feng zuo lang	105
兴高采烈	xing gao cai lie	250
兵	bing	61795
兵丁	bing ding	333
兵不厌诈	bing bu yan zha	18
兵不血刃	bing bu xue ren	146
兵临城下	bing lin cheng xia	161
兵书	bing shu	327
兵刃	bing ren	182
兵制	bing zhi	600
兵力	bing li	11243
兵卒	bing zu	368
兵卫	bing wei	4548
兵变	bing bian	2633
兵员	bing yuan	1081
兵器	bing qi	8523
兵团	bing tuan	11866
兵团司令部	bing tuan si ling bu	112
兵士	bing shi	1081
兵备	bing bei	861
兵备副	bing bei fu	226
兵备副使	bing bei fu shi	486
兵备道	bing bei dao	1017
兵家	bing jia	452
兵工	bing gong	895
兵工厂	bing gong chang	2560
兵库	bing ku	1295
兵库县	bing ku xian	5560
兵强马壮	bing qiang ma zhuang	37
兵役	bing yi	3269
兵役制	bing yi zhi	136
兵役法	bing yi fa	231
兵戈	bing ge	49
兵戎	bing rong	44
兵戎相见	bing rong xiang jian	108
兵房	bing fang	154
兵权	bing quan	874
兵械	bing xie	52
兵油子	bing you zi	3
兵法	bing fa	1482
兵源	bing yuan	363
兵火	bing huo	154
兵灾	bing zai	66
兵痞	bing pi	21
兵祸	bing huo	95
兵种	bing zhong	1802
兵科	bing ke	1975
兵站	bing zhan	671
兵舰	bing jian	87
兵船	bing chuan	342
兵荒马乱	bing huang ma luan	134
兵营	bing ying	2584
兵蚁	bing yi	135
兵谏	bing jian	111
兵败	bing bai	2544
兵败如山倒	bing bai ru shan dao	94
兵贵神速	bing gui shen su	20
兵车	bing che	880
兵部	bing bu	8964
兵部侍	bing bu shi	3
兵部侍郎	bing bu shi lang	1305
兵部右	bing bu you	13
兵部右侍	bing bu you shi	278
兵饷	bing xiang	158
兵马	bing ma	3016
兵马俑	bing ma yong	800
兵马司	bing ma si	154
其	ji	32784
其	qi	655680
其中	qi zhong	346675
其乐无穷	qi le wu qiong	128
其人	qi ren	1921
其他	qi ta	371796
其他人	qi ta ren	15066
其他的	qi ta de	22326
其余	qi yu	31159
其兄	qi xiong	2128
其后	qi hou	61637
其境	qi jing	368
其妻	qi qi	3092
其它	qi ta	40327
其实	qi shi	133449
其实你	qi shi ni	4095
其实就是	qi shi jiu shi	2777
其实我	qi shi wo	27279
其实我是	qi shi wo shi	801
其实是	qi shi shi	15151
其弟	qi di	3505
其时	qi shi	2800
其林	qi lin	1296
其次	qi ci	6854
其母	qi mu	3206
其父	qi fu	9523
其误	qi wu	29
其貌不扬	qi mao bu yang	124
其间	qi jian	7203
其顿	qi dun	10388
具	ju	47965
具体	ju ti	31533
具体化	ju ti hua	327
具体而微	ju ti er wei	26
具名	ju ming	621
具备	ju bei	13761
具庆	ju qing	17
具庆下	ju qing xia	2279
具文	ju wen	50
具有	ju you	104491
具有法律约束力	ju you fa lv yue shu li	111
具结	ju jie	72
典	dian	19960
典中典	dian zhong dian	200
典册	dian ce	14
典卖	dian mai	36
典型	dian xing	17598
典型化	dian xing hua	13
典型性	dian xing xing	78
典娜	dian na	24
典当	dian dang	448
典押	dian ya	11
典故	dian gu	2320
典礼	dian li	30977
典章	dian zhang	513
典籍	dian ji	3700
典范	dian fan	3344
典藏	dian cang	3016
典语	dian yu	7
典雅	dian ya	872
典韦	dian wei	264
兹	ci	3428
兹	zi	68563
兹别	zi bie	94
兹堡	zi bao	445
兹曼	zi man	1567
兹河	zi he	153
兹省	zi sheng	199
兹韦	zi wei	324
养	yang	66096
养乐	yang le	1507
养了	yang le	4971
养人	yang ren	188
养伤	yang shang	1062
养兵	yang bing	65
养分	yang fen	1272
养女	yang nv	1699
养子	yang zi	4740
养家	yang jia	782
养家糊口	yang jia hu kou	470
养尊处优	yang zun chu you	85
养廉	yang lian	169
养心	yang xin	371
养性	yang xing	190
养息	yang xi	33
养成	yang cheng	4468
养护	yang hu	1327
养料	yang liao	116
养殖	yang zhi	4425
养殖业	yang zhi ye	523
养殖场	yang zhi chang	523
养母	yang mu	1039
养气	yang qi	75
养汉	yang han	17
养活	yang huo	1902
养父	yang fu	1926
养父母	yang fu mu	415
养狗	yang gou	3306
养狗狗	yang gou gou	341
养猪	yang zhu	1525
养猫	yang mao	2853
养生	yang sheng	4558
养生之道	yang sheng zhi dao	77
养畜	yang chu	15
养病	yang bing	1760
养眼	yang yan	1091
养神	yang shen	226
养精蓄锐	yang jing xu rui	299
养老	yang lao	3165
养老金	yang lao jin	1043
养老院	yang lao yuan	1667
养肥	yang fei	738
养育	yang yu	2184
养胃	yang wei	587
养膘	yang biao	351
养虎遗患	yang hu yi huan	1
养路	yang lu	54
养路工	yang lu gong	17
养路费	yang lu fei	14
养颜	yang yan	443
养鱼	yang yu	719
养鸡	yang ji	450
养鸡场	yang ji chang	120
兼	jian	88100
兼任	jian ren	26408
兼侍	jian shi	360
兼具	jian ju	2301
兼副	jian fu	711
兼备	jian bei	944
兼容	jian rong	4076
兼容并包	jian rong bing bao	56
兼容并蓄	jian rong bing xu	97
兼容性问题	jian rong xing wen ti	72
兼并	jian bing	2060
兼收并蓄	jian shou bing xu	60
兼施	jian shi	76
兼有	jian you	1362
兼爱	jian ai	173
兼程	jian cheng	249
兼管	jian guan	1126
兼而有之	jian er you zhi	108
兼职	jian zhi	5374
兼营	jian ying	535
兼课	jian ke	200
兼顾	jian gu	2425
兽	shou	32399
兽人	shou ren	2047
兽医	shou yi	3742
兽医学	shou yi xue	588
兽性	shou xing	160
兽欲	shou yu	9
兽环	shou huan	5
兽电	shou dian	488
兽类	shou lei	751
兽脚	shou jiao	2192
兽药	shou yao	147
兽行	shou xing	13
冀	ji	5349
冀东	ji dong	1341
冀中	ji zhong	1331
冀南	ji nan	795
冀县	ji xian	138
冀察	ji cha	837
冀州	ji zhou	1716
冀州市	ji zhou shi	80
冀望	ji wang	217
冀朝鼎	ji chao ding	121
冀鲁	ji lu	601
冀鲁豫	ji lu yu	744
冁	chan	3
内	nei	459263
内中	nei zhong	290
内乡	nei xiang	838
内乱	nei luan	2274
内争	nei zheng	77
内亲	nei qin	65
内人	nei ren	767
内伤	nei shang	141
内侄	nei zhi	23
内侧	nei ce	3938
内债	nei zhai	37
内兄	nei xiong	66
内出血	nei chu xue	196
内分泌	nei fen mi	947
内分泌系统	nei fen mi xi tong	140
内分泌腺	nei fen mi xian	86
内切酶	nei qie mei	74
内力	nei li	572
内功	nei gong	479
内务	nei wu	8789
内助	nei zhu	41
内勤	nei qin	148
内华达州	nei hua da zhou	2386
内卢	nei lu	3303
内卷	nei juan	190
内厝	nei cuo	93
内向	nei xiang	2575
内向型	nei xiang xing	47
内含	nei han	2362
内含子	nei han zi	245
内因	nei yin	275
内在	nei zai	4367
内在美	nei zai mei	214
内地	nei di	20225
内地段	nei di duan	188
内场	nei chang	1466
内城	nei cheng	1298
内埔	nei bu	1166
内壁	nei bi	1277
内外	nei wai	5617
内外交困	nei wai jiao kun	73
内外夹攻	nei wai jia gong	20
内奸	nei jian	334
内存	nei cun	6416
内存不足	nei cun bu zu	82
内存分配	nei cun fen pei	62
内存卡	nei cun ka	249
内存地址	nei cun di zhi	160
内存模块	nei cun mo kuai	51
内存泄漏	nei cun xie lou	51
内存空间	nei cun kong jian	136
内存管理	nei cun guan li	209
内宅	nei zhai	52
内定	nei ding	892
内室	nei shi	102
内容	nei rong	99652
内宾	nei bin	7
内山完造	nei shan wan zao	56
内幕	nei mu	1756
内幕交易	nei mu jiao yi	203
内应	nei ying	832
内庭	nei ting	228
内廷	nei ting	661
内弟	nei di	94
内当家	nei dang jia	6
内径	nei jing	349
内心	nei xin	22229
内心戏	nei xin xi	399
内心深处	nei xin shen chu	733
内心的	nei xin de	3606
内忧外患	nei you wai huan	246
内急	nei ji	58
内情	nei qing	596
内愧	nei kui	2
内战	nei zhan	24113
内扣	nei kou	215
内掌柜	nei zhang gui	9
内控	nei kong	94
内搭	nei da	620
内政	nei zheng	14303
内敛	nei lian	746
内景	nei jing	276
内服	nei fu	201
内村光良	nei cun guang liang	69
内查外调	nei cha wai diao	4
内核	nei he	3219
内核对象	nei he dui xiang	62
内核开发	nei he kai fa	52
内毒素	nei du su	94
内江县	nei jiang xian	258
内江市	nei jiang shi	422
内河	nei he	1491
内流	nei liu	420
内流区	nei liu qu	734
内流区诸	nei liu qu zhu	670
内海	nei hai	2314
内涝	nei lao	227
内涵	nei han	5663
内湾	nei wan	1011
内热	nei re	274
内燃机	nei ran ji	3198
内环	nei huan	695
内环线	nei huan xian	219
内环路	nei huan lu	201
内瑞	nei rui	17
内瑞拉	nei rui la	2213
内田有纪	nei tian you ji	99
内画	nei hua	107
内疚	nei jiu	1448
内痔	nei zhi	22
内皮	nei pi	361
内皮尔	nei pi er	207
内皮细胞	nei pi xi bao	361
内省	nei xing	1213
内眷	nei juan	12
内秀	nei xiu	235
内科	nei ke	2331
内科学	nei ke xue	192
内窥镜	nei kui jing	121
内线	nei xian	1955
内网	nei wang	187
内置	nei zhi	3727
内耗	nei hao	101
内耳	nei er	335
内联网	nei lian wang	91
内聚力	nei ju li	43
内聚性	nei ju xing	82
内胎	nei tai	112
内胚层	nei pei ceng	84
内脏	nei zang	1862
内蒙	nei meng	2187
内蒙古	nei meng gu	13903
内蒙古军区	nei meng gu jun qu	223
内蒙古自治区	nei meng gu zi zhi qu	8205
内蕴	nei yun	62
内行	nei hang	311
内衣	nei yi	3940
内衬	nei chen	316
内装修	nei zhuang xiu	48
内裤	nei ku	1258
内讧	nei hong	815
内设	nei she	3379
内详	nei xiang	2
内质网	nei zhi wang	422
内购	nei gou	161
内贸	nei mao	114
内费	nei fei	9
内费尔	nei fei er	40
内费尔德	nei fei er de	34
内资	nei zi	92
内迁	nei qian	586
内连接	nei lian jie	56
内退	nei tui	27
内部	nei bu	50829
内里	nei li	2448
内野	nei ye	722
内野圣阳	nei ye sheng yang	96
内野手	nei ye shou	1012
内销	nei xiao	198
内阁	nei ge	32970
内陆	nei lu	23156
内陆国	nei lu guo	100
内陆河	nei lu he	64
内陆湖	nei lu hu	50
内陷	nei xian	68
内隐记忆	nei yin ji yi	54
内需	nei xu	245
内页	nei ye	1166
内饰	nei shi	930
内黄	nei huang	284
冈	gang	30939
冈区	gang qu	293
冈县	gang xian	261
冈山	gang shan	10334
冈崎	gang qi	2285
冈市	gang shi	939
冈本	gang ben	2025
冈本信彦	gang ben xin yan	130
冈本圭人	gang ben gui ren	71
冈本真夜	gang ben zhen ye	71
冈村	gang cun	1061
冈村宁次	gang cun ning ci	274
冈田	gang tian	3280
冈田准一	gang tian zhun yi	146
冈田将生	gang tian jiang sheng	154
冈站	gang zhan	680
冈萨	gang sa	690
冈萨雷斯	gang sa lei si	1340
冉	ran	3158
冉冉	ran ran	259
冉闵	ran min	430
册	ce	17984
册亨	ce heng	94
册子	ce zi	317
册封	ce feng	6006
册页	ce ye	88
再	zai	392795
再一次	zai yi ci	4237
再三	zai san	1096
再三再四	zai san zai si	10
再下	zai xia	898
再不然	zai bu ran	62
再世	zai shi	427
再也	zai ye	19817
再买	zai mai	3494
再会	zai hui	1318
再保险公司	zai bao xian gong si	73
再则	zai ze	62
再利用	zai li yong	1289
再加	zai jia	3224
再去	zai qu	14139
再吃	zai chi	3638
再启动	zai qi dong	96
再多	zai duo	4142
再娶	zai qu	372
再婚	zai hun	2132
再嫁	zai jia	375
再审	zai shen	573
再就业	zai jiu ye	160
再度	zai du	37905
再怎么	zai zen me	1512
再找	zai zhao	2755
再接再厉	zai jie zai li	1091
再教育	zai jiao yu	889
再有	zai you	3495
再来	zai lai	14387
再植	zai zhi	22
再次	zai ci	79786
再版	zai ban	2716
再犯	zai fan	536
再现	zai xian	2749
再生	zai sheng	5911
再生不良性贫血	zai sheng bu liang xing pin xue	55
再生产	zai sheng chan	211
再生能力	zai sheng neng li	285
再看	zai kan	7795
再看看	zai kan kan	2092
再睡	zai shui	2610
再给	zai gei	4675
再给你	zai gei ni	1125
再者	zai zhe	1397
再见	zai jian	25849
再认识	zai ren shi	69
再议	zai yi	524
再说	zai shuo	21080
再说吧	zai shuo ba	2667
再过	zai guo	2368
再造	zai zao	1070
冏	jiong	517
冒	mao	8462
冒	mo	423
冒充	mao chong	2014
冒出	mao chu	1194
冒出来	mao chu lai	1004
冒号	mao hao	217
冒名	mao ming	197
冒名顶替	mao ming ding ti	189
冒失	mao shi	351
冒失鬼	mao shi gui	31
冒头	mao tou	46
冒尖	mao jian	10
冒广生	mao guang sheng	77
冒得	mao de	430
冒昧	mao mei	965
冒死	mao si	182
冒汗	mao han	307
冒泡	mao pao	1577
冒火	mao huo	252
冒烟	mao yan	850
冒牌	mao pai	550
冒牌货	mao pai huo	271
冒犯	mao fan	1612
冒用	mao yong	347
冒痘	mao dou	220
冒着	mao zhe	1097
冒菜	mao cai	812
冒进	mao jin	389
冒险	mao xian	26167
冒雨	mao yu	416
冒顿单于	mo du chan yu	118
冒领	mao ling	110
冒风险	mao feng xian	44
冔	xu	21
冕	mian	3186
冕宁	mian ning	326
冗	rong	435
冗余	rong yu	901
冗员	rong yuan	104
冗杂	rong za	18
冗长	rong chang	941
写	xie	137999
写下	xie xia	6333
写了	xie le	12479
写作	xie zuo	18144
写作业	xie zuo ye	2238
写信	xie xin	5364
写字	xie zi	4437
写字台	xie zi tai	108
写字楼	xie zi lou	2113
写字间	xie zi jian	17
写完	xie wan	4514
写实	xie shi	2758
写家	xie jia	10
写意	xie yi	516
写成	xie cheng	9324
写手	xie shou	595
写景	xie jing	151
写本	xie ben	572
写法	xie fa	3210
写照	xie zhao	785
写生	xie sheng	1456
写的	xie de	22146
写真	xie zhen	11048
写稿	xie gao	609
写论文	xie lun wen	2224
写诗	xie shi	1552
写轮眼	xie lun yan	534
写道	xie dao	12237
写错	xie cuo	415
写错了	xie cuo le	701
军	jun	253527
军乐	jun yue	357
军乐团	jun yue tuan	401
军乐队	jun yue dui	571
军事	jun shi	111707
军事化	jun shi hua	956
军事博物馆	jun shi bo wu guan	477
军事审判法	jun shi shen pan fa	55
军事检察院	jun shi jian cha yuan	454
军事法庭	jun shi fa ting	1583
军事科学院	jun shi ke xue yuan	711
军事管制	jun shi guan zhi	1333
军人	jun ren	20818
军代表	jun dai biao	414
军令	jun ling	1175
军令如山	jun ling ru shan	16
军令状	jun ling zhuang	22
军兵种	jun bing zhong	301
军军长	jun jun zhang	4321
军刀	jun dao	1307
军分区	jun fen qu	4558
军列	jun lie	40
军制	jun zhi	300
军副	jun fu	820
军副军	jun fu jun	1
军副军长	jun fu jun zhang	1270
军力	jun li	1461
军功	jun gong	1873
军功章	jun gong zhang	45
军务	jun wu	2766
军区	jun qu	31501
军区总医院	jun qu zong yi yuan	136
军医	jun yi	3594
军史	jun shi	350
军号	jun hao	174
军品	jun pin	173
军售	jun shou	494
军团	jun tuan	26054
军国主义	jun guo zhu yi	917
军地	jun de	25
军地	jun di	200
军垦	jun ken	153
军士	jun shi	1872
军备	jun bei	2309
军大衣	jun da yi	347
军委	jun wei	3255
军委总政治部	jun wei zong zheng zhi bu	90
军姿	jun zi	135
军威	jun wei	162
军婚	jun hun	67
军嫂	jun sao	65
军官	jun guan	24524
军容	jun rong	197
军属	jun shu	232
军屯	jun tun	277
军山	jun shan	271
军工	jun gong	1152
军工路	jun gong lu	142
军师	jun shi	2123
军帽	jun mao	169
军徽	jun hui	199
军心	jun xin	711
军情	jun qing	1082
军控	jun kong	110
军援	jun yuan	761
军攻	jun gong	477
军政	jun zheng	7725
军方	jun fang	10154
军旅	jun lv	1488
军旗	jun qi	1447
军服	jun fu	1358
军机	jun ji	3275
军权	jun quan	553
军校	jun xiao	6466
军械	jun xie	2009
军棋	jun qi	33
军歌	jun ge	645
军民	jun min	3864
军法	jun fa	1746
军港	jun gang	985
军火	jun huo	2279
军火商	jun huo shang	336
军火库	jun huo ku	446
军烈属	jun lie shu	6
军犬	jun quan	264
军用	jun yong	7997
军礼	jun li	160
军种	jun zhong	1385
军第	jun di	4387
军第三	jun di san	636
军第二	jun di er	860
军第十	jun di shi	328
军管	jun guan	495
军管会	jun guan hui	807
军籍	jun ji	5436
军粮	jun liang	859
军粮城	jun liang cheng	61
军纪	jun ji	639
军统	jun tong	1299
军职	jun zhi	1242
军舰	jun jian	10550
军节	jun jie	27
军节度	jun jie du	566
军节度使	jun jie du shi	4581
军营	jun ying	4003
军衔	jun xian	9681
军衣	jun yi	37
军装	jun zhuang	1546
军规	jun gui	171
军警	jun jing	1859
军训	jun xun	7059
军费	jun fei	1204
军车	jun che	417
军转民	jun zhuan min	21
军运	jun yun	162
军部	jun bu	2558
军长	jun zhang	3612
军阀	jun fa	4769
军队	jun dui	81098
军队转业干部	jun dui zhuan ye gan bu	63
军阶	jun jie	1713
军需	jun xu	2388
军饷	jun xiang	808
军马	jun ma	691
军马场	jun ma chang	87
军龄	jun ling	20
农	nong	31749
农三师	nong san shi	51
农业	nong ye	45520
农业化	nong ye hua	129
农业国	nong ye guo	78
农业大学	nong ye da xue	3244
农业委员会	nong ye wei yuan hui	1075
农业局	nong ye ju	271
农业展览馆	nong ye zhan lan guan	57
农业社	nong ye she	47
农业税	nong ye shui	160
农业银行	nong ye yin hang	135
农事	nong shi	704
农产品	nong chan pin	3263
农产品市场	nong chan pin shi chang	64
农会	nong hui	2322
农作物	nong zuo wu	3346
农具	nong ju	691
农农最	nong nong zui	659
农副业	nong fu ye	35
农副产品	nong fu chan pin	265
农办	nong ban	73
农化	nong hua	116
农历	nong li	14103
农历新年	nong li xin nian	1330
农友	nong you	84
农商	nong shang	867
农地	nong di	1836
农场	nong chang	13436
农垦	nong ken	1191
农大	nong da	932
农夫	nong fu	2462
农奴	nong nu	1448
农奴主	nong nu zhu	42
农妇	nong fu	155
农委	nong wei	107
农委会	nong wei hui	1018
农学	nong xue	1644
农学院	nong xue yuan	3040
农安	nong an	499
农家	nong jia	1872
农家乐	nong jia le	411
农家肥	nong jia fei	13
农工	nong gong	3334
农工商	nong gong shang	368
农庄	nong zhuang	1096
农忙	nong mang	120
农户	nong hu	783
农时	nong shi	52
农最	nong zui	7
农机	nong ji	419
农机具	nong ji ju	48
农机站	nong ji zhan	12
农村	nong cun	28112
农村信用社	nong cun xin yong she	187
农村发展研究中心	nong cun fa zhan yan jiu zhong xin	59
农林	nong lin	3779
农林大学	nong lin da xue	203
农林牧渔	nong lin mu yu	88
农校	nong xiao	344
农民	nong min	22514
农民工	nong min gong	1282
农民战争	nong min zhan zheng	219
农活儿	nong huo er	1
农牧场	nong mu chang	105
农用	nong yong	480
农田	nong tian	3964
农神龙	nong shen long	56
农科	nong ke	392
农科所	nong ke suo	61
农科院	nong ke yuan	160
农耕	nong geng	1447
农膜	nong mo	3
农舍	nong she	517
农艺	nong yi	369
农艺师	nong yi shi	85
农药	nong yao	3263
农行	nong hang	262
农讲所	nong jiang suo	90
农谚	nong yan	21
农贷	nong dai	33
农贸市场	nong mao shi chang	292
农资	nong zi	61
农转非	nong zhuan fei	27
农轻重	nong qing zhong	1
农运会	nong yun hui	30
农闲	nong xian	130
冠	guan	34109
冠以	guan yi	3302
冠佑	guan you	115
冠佑他	guan you ta	278
冠冕堂皇	guan mian tang huang	157
冠军	guan jun	170212
冠军赛	guan jun sai	6403
冠名	guan ming	4911
冠子	guan zi	60
冠希	guan xi	303
冠心病	guan xin bing	196
冠状动脉	guan zhuang dong mai	507
冠状病毒	guan zhuang bing du	21375
冠王	guan wang	2047
冠生园	guan sheng yuan	101
冠英	guan ying	1102
冠词	guan ci	754
冠鹤	guan he	69
冢	zhong	14548
冢宰	zhong zai	161
冢站	zhong zhan	1002
冤	yuan	2219
冤仇	yuan chou	53
冤假错案	yuan jia cuo an	253
冤冤相报	yuan yuan xiang bao	127
冤大头	yuan da tou	135
冤孽	yuan nie	44
冤家	yuan jia	769
冤家路窄	yuan jia lu zhai	49
冤屈	yuan qu	293
冤情	yuan qing	236
冤枉	yuan wang	2112
冤案	yuan an	902
冤狱	yuan yu	568
冤种	yuan zhong	200
冤苦	yuan ku	3
冤魂	yuan hun	330
冥	ming	6738
冥器	ming qi	28
冥寿	ming shou	46
冥币	ming bi	107
冥府	ming fu	653
冥思	ming si	55
冥思苦想	ming si ku xiang	21
冥想	ming xiang	1022
冥王星	ming wang xing	1962
冥界	ming jie	1767
冥钞	ming chao	40
冥顽	ming wan	17
冥顽不灵	ming wan bu ling	20
冬	dong	24941
冬不拉	dong bu la	53
冬令	dong ling	207
冬令营	dong ling ying	107
冬储	dong chu	6
冬夜	dong ye	841
冬天	dong tian	30268
冬天的	dong tian de	2816
冬奥	dong ao	1898
冬奥会	dong ao hui	2000
冬季	dong ji	42369
冬宫	dong gong	264
冬寒	dong han	50
冬小麦	dong xiao mai	39
冬日	dong ri	1139
冬月	dong yue	376
冬枣	dong zao	162
冬汛	dong xun	3
冬泳	dong yong	232
冬灌	dong guan	24
冬烘	dong hong	4
冬瓜	dong gua	1527
冬眠	dong mian	2086
冬种	dong zhong	7
冬笋	dong sun	130
冬练	dong lian	10
冬至	dong zhi	3902
冬芽	dong ya	71
冬菇	dong gu	314
冬菜	dong cai	46
冬藏	dong cang	28
冬虫夏草	dong chong xia cao	115
冬衣	dong yi	142
冬装	dong zhuang	416
冬训	dong xun	179
冬贮	dong zhu	9
冬运会	dong yun hui	48
冬闲	dong xian	7
冬雨	dong yu	203
冬青	dong qing	1467
冬麦	dong mai	16
冮	gang	50
冯	feng	32827
冯	ping	1641
冯云山	feng yun shan	98
冯保	feng bao	179
冯友兰	feng you lan	244
冯君	feng jun	77
冯国璋	feng guo zhang	484
冯子材	feng zi cai	55
冯小刚	feng xiao gang	608
冯巩	feng gong	218
冯庸	feng yong	67
冯延巳	feng yan si	105
冯异	feng yi	238
冯弘	feng hong	243
冯德伦	feng de lun	163
冯梦龙	feng meng long	246
冯沅君	feng yuan jun	51
冯玉祥	feng yu xiang	2803
冯诺伊曼	feng nuo yi man	52
冯跋	feng ba	247
冯钦哉	feng qin zai	69
冯雪峰	feng xue feng	189
冯骥才	feng ji cai	87
冰	bing	49654
冰冷	bing leng	1228
冰冻	bing dong	1438
冰凉	bing liang	697
冰凌	bing ling	63
冰刀	bing dao	93
冰场	bing chang	186
冰块	bing kuai	1681
冰坝	bing ba	21
冰坨	bing tuo	12
冰壶	bing hu	2384
冰天雪地	bing tian xue di	347
冰姐	bing jie	372
冰室	bing shi	1157
冰封	bing feng	1098
冰山	bing shan	1384
冰岛	bing dao	8646
冰峰	bing feng	235
冰川	bing chuan	13488
冰川清志	bing chuan qing zhi	56
冰床	bing chuang	17
冰心	bing xin	596
冰挂	bing gua	6
冰排	bing pai	3
冰晶	bing jing	498
冰期	bing qi	777
冰柜	bing gui	310
冰棍	bing gun	1188
冰棍儿	bing gun er	147
冰棒	bing bang	475
冰毒	bing du	297
冰水	bing shui	607
冰沙	bing sha	375
冰河	bing he	2629
冰洋	bing yang	20
冰消瓦解	bing xiao wa jie	14
冰淇	bing qi	23
冰淇凌	bing qi ling	169
冰淇淋	bing qi lin	5377
冰清玉洁	bing qing yu jie	78
冰溜	bing liu	5
冰激凌	bing ji ling	1566
冰火	bing huo	431
冰灯	bing deng	135
冰炭	bing tan	4
冰点	bing dian	753
冰片	bing pian	274
冰球	bing qiu	15567
冰皮月饼	bing pi yue bing	152
冰盖	bing gai	780
冰砖	bing zhuan	45
冰硬	bing ying	4
冰碴儿	bing cha er	3
冰窖	bing jiao	156
冰箱	bing xiang	6136
冰粉	bing fen	468
冰糕	bing gao	219
冰糖	bing tang	896
冰糖葫芦	bing tang hu lu	259
冰肌玉骨	ning ji yu gu	10
冰船	bing chuan	21
冰花	bing hua	356
冰袋	bing dai	138
冰谷	bing gu	12
冰车	bing che	39
冰道	bing dao	12
冰醋酸	bing cu suan	70
冰释	bing shi	270
冰镇	bing zhen	565
冰镐	bing gao	55
冰雕	bing diao	418
冰雪	bing xue	2884
冰雪聪明	bing xue cong ming	149
冰雹	bing bao	1643
冰霜	bing shuang	246
冰面	bing mian	448
冰鞋	bing xie	65
冱	hu	7
冲	chong	32790
冲一波	chong yi bo	20
冲入	chong ru	1788
冲冲冲	chong chong chong	18
冲决	chong jue	30
冲凉	chong liang	323
冲出	chong chu	3184
冲击	chong ji	12421
冲击波	chong ji bo	1077
冲刷	chong shua	878
冲刺	chong ci	3197
冲剂	chong ji	29
冲力	chong li	239
冲动	chong dong	7024
冲劲儿	chong jin er	5
冲印	chong yin	320
冲压	chong ya	769
冲向	chong xiang	1223
冲垮	chong kua	178
冲天	chong tian	664
